city,lat,lon,start,lost,liberated,changes,theatre,anchor,fronts,source,note
София,42.6977,23.3219,foreign,,1944-09-16,,Болгария,yes,,https://bg.wikipedia.org/wiki/%D0%A1%D1%8A%D0%B2%D0%B5%D1%82%D1%81%D0%BA%D0%BE-%D0%B1%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B0_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0,Вход без сопротивления после переворота Отечественного фронта 9 сентября
Будапешт (Буда),47.4950,19.0350,foreign,,1945-02-13,,Венгрия,yes,,https://ru.wikipedia.org/wiki/Будапештская_операция,Капитуляция гарнизона крепости Буды после 108-дневной осады
Будапешт (Пешт),47.5000,19.0850,foreign,,1945-01-18,,Венгрия,yes,,https://ru.wikipedia.org/wiki/Будапештская_операция,Левобережная (восточная) часть города
Дебрецен,47.5316,21.6273,foreign,,1944-10-20,,Венгрия,yes,,https://ru.wikipedia.org/wiki/Дебреценская_операция,2-й Украинский фронт
Дьёр,47.6875,17.6504,foreign,,1945-03-28,,Венгрия,yes,,https://ru.wikipedia.org/wiki/Венская_наступательная_операция,"Венская операция,  преследование отступающих немецких войск"
Кечкемет,46.9000,19.6900,foreign,,1944-10-31,,Венгрия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Мишкольц,48.1035,20.7784,foreign,,1944-12-03,,Венгрия,yes,,https://ru.wikipedia.org/wiki/Дебреценская_операция,4-й Украинский фронт
Ньиредьхаза,47.9500,21.7200,foreign,,1944-10-31,,Венгрия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Печ,46.0700,18.2300,foreign,,1944-11-29,,Венгрия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Сегед,46.2530,20.1414,foreign,,1944-10-11,,Венгрия,yes,,https://ru.wikipedia.org/wiki/Дебреценская_операция,2-й Украинский фронт
Секешфехервар,47.1900,18.4200,foreign,,1945-03-22,1944-12-23:empire;1945-01-22:foreign;1945-03-22:empire,Венгрия,yes,,хроника Будапештской и Балатонской операций,"взят 23.12.1944, отбит немцами 22.01.1945, окончательно взят 22.03.1945"
Сомбатхей,47.2300,16.6200,foreign,,1945-03-29,,Венгрия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Шопрон,47.6817,16.5845,foreign,,1945-04-01,,Венгрия,yes,,https://ru.wikipedia.org/wiki/Венская_наступательная_операция,Венская операция
Эгер,47.9000,20.3700,foreign,,1944-11-30,,Венгрия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Баутцен,51.1800,14.4200,foreign,,1945-04-22,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Берлин,52.5200,13.4050,foreign,,1945-04-25,,Германия,yes,,https://ru.wikipedia.org/wiki/Берлинская_операция,"кольцо вокруг Берлина замкнуто 25.04.1945, Рейхстаг взят 30.04, гарнизон капитулировал 02.05.1945 - ставим дату установления контроля над городом, а не капитуляции; Капитуляция берлинского гарнизона"
Виттенберг,51.8700,12.6500,foreign,,1945-05-08,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Губен,51.9500,14.7100,foreign,,1945-04-19,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Гёрлиц,51.1500,14.9900,foreign,,1945-05-08,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Дрезден,51.0504,13.7373,foreign,,1945-05-08,,Германия,yes,,https://ru.wikipedia.org/wiki/Пражская_операция,1-й Украинский фронт на завершающем этапе Пражской операции
Котбус,51.7600,14.3300,foreign,,1945-04-22,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Кюстрин,52.5875,14.6486,foreign,,1945-03-30,,Германия,yes,,https://berlin.museum-digital.de/object/72683,"Ноейштадт занят к 30.03; крепость на острове (цитадель) капитулировала позже,  23.04.1945"
Магдебург,52.1205,11.6276,foreign,,,,Германия,yes,,https://en.wikipedia.org/wiki/Battle_of_Magdeburg,занят западными союзниками; в советскую зону в окне слоя не входил. 9-я американская армия; передан советской зоне оккупации 1-4.07.1945
Нойбранденбург,53.5600,13.2600,foreign,,1945-04-29,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Потсдам,52.3906,13.0645,foreign,,1945-04-27,,Германия,yes,,https://ru.wikipedia.org/wiki/Берлинская_операция,Взят до общей капитуляции Берлина
Пренцлау,53.3200,13.8600,foreign,,1945-04-27,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Росток,54.0887,12.1400,foreign,,1945-05-01,,Германия,yes,,https://de.wikipedia.org/wiki/Stettin-Rostocker_Operation,Штеттин-Ростокская операция 20.04-05.05.1945
Рюген (Берген),54.4167,13.4333,foreign,,1945-05-05,,Германия,yes,,https://www.nd-aktuell.de/artikel/1136400.zweiter-weltkrieg-auf-ruegen-der-pfarrer-als-krieger.html,"Немцы взорвали дамбу Рюгендамм 02.05,  остров занят практически без боёв к 5 мая"
Свинемюнде,53.9100,14.2500,foreign,,1945-05-05,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Торгау,51.5597,13.0022,foreign,,1945-04-25,,Германия,yes,,https://ru.wikipedia.org/wiki/Встреча_на_Эльбе,"Место встречи 1-го Украинского фронта и 1-й американской армии на Эльбе,  13:30 25.04.1945"
Франкфурт-на-Одере,52.3412,14.5511,foreign,,1945-04-23,,Германия,yes,,https://en.wikipedia.org/wiki/Battle_of_Frankfurt_an_der_Oder,"Берлинская операция,  взят в ходе прорыва обороны на Одере"
Хемниц,50.8278,12.9214,foreign,,1945-05-08,,Германия,yes,,https://www.mironde.com/litterata/8555/feature/am-14-april-1945-endete-der-krieg-in-der-region-chemnitz-zwickau,"Вермахт отошёл 6-7 мая,  город передан советскому коменданту 8 мая,  хотя первоначально к городу подходили и американцы"
Циттау,50.9000,14.8100,foreign,,1945-05-09,,Германия,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Штральзунд,54.3093,13.0818,foreign,,1945-05-01,,Германия,yes,,http://ino.blogsport.de/ueber-uns/der-zweite-weltkrieg/die-befreiung-mecklenburg-vorpommerns-im-april-1945/die-befreiung-stralsunds/,90-я гвардейская Ропшинская стрелковая дивизия вошла без боя рано утром 1 мая
Гумбиннен,54.5900,22.2000,foreign,,1945-01-21,,Германия (Вост. Пруссия),yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Инстербург,54.6300,21.8200,foreign,,1945-01-22,,Германия (Вост. Пруссия),yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Тильзит,55.0800,21.8800,foreign,,1945-01-20,,Германия (Вост. Пруссия),yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Киркенес,69.7269,30.0450,foreign,,1944-10-25,,Норвегия,yes,,https://ria.ru/20191029/1560305536.html,Единственный занятый советскими войсками город Норвегии; войска выведены к 25.09.1945
Августов,53.8400,22.9800,foreign,,1944-10-23,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Бельско-Бяла,49.8200,19.0500,foreign,,1945-02-12,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Быдгощ,53.1235,18.0084,foreign,,1945-01-23,,Польша,yes,,https://pl.wikipedia.org/wiki/Bitwa_o_Bydgoszcz,"Бои 23-27.01.1945; официальная польская дата 24.01,  в русской традиции чаще 23.01"
Валбжих,50.7700,16.2800,foreign,,1945-05-08,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Валч,53.2700,16.4700,foreign,,1945-02-11,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Варшава,52.2297,21.0122,foreign,,1945-01-17,,Польша,yes,,https://ru.wikipedia.org/wiki/Варшавско-Познанская_операция,1-я армия Войска Польского и 47-я армия РККА
Варшава-Прага,52.2530,21.0450,foreign,,1944-09-14,,Польша,yes,,https://ru.wikipedia.org/wiki/Варшавско-Пражская_операция,Взято правобережное предместье; левобережная Варшава и Варшавское восстание в это время подавлялись немцами отдельно
Вроцлав (Бреслау),51.1079,17.0385,foreign,,1945-05-06,,Польша,yes,,https://ru.wikipedia.org/wiki/Осада_Бреслау,Крепость капитулировала на следующий день после падения Берлина
Гданьск (Данциг),54.3520,18.6466,foreign,,1945-03-30,,Польша,yes,,https://ru.wikipedia.org/wiki/Восточно-Померанская_операция,2-й Белорусский фронт
Гдыня,54.5189,18.5305,foreign,,1945-03-28,,Польша,yes,,https://en.wikipedia.org/wiki/Battle_of_Gdynia,Есть расхождение источников: 26 или 28 марта 1945
Гливице,50.2900,18.6700,foreign,,1945-01-24,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Жешув,50.0413,21.9990,foreign,,1944-08-02,,Польша,yes,,https://pl.wikipedia.org/wiki/Bitwa_o_Rzesz%C3%B3w_(1944),Бои 29.07-02.08.1944; 102 стрелковый корпус 13-й армии совместно с партизанами АК
Замосць,50.7200,23.2500,foreign,,1944-07-25,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Зелёна-Гура,51.9400,15.5100,foreign,,1945-02-14,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Катовице,50.2649,19.0238,foreign,,1945-01-27,,Польша,yes,,https://dziennikzachodni.pl/27-stycznia-1945-wyzwolenie-katowic-przez-armie-czerwona/ar/c1-16017751,Верхнесилезская операция; город взят почти без боёв и разрушений
Кельце,50.8661,20.6286,foreign,,1945-01-15,,Польша,yes,,https://mhki.kielce.eu/aktualnosci/bitwa-o-kielce-15-16-stycznia-1945-r,1-й Украинский фронт
Клодзко,50.4400,16.6500,foreign,,1945-05-09,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Кольберг (Колобжег),54.1755,15.5762,foreign,,1945-03-18,,Польша,yes,,https://pl.wikipedia.org/wiki/Bitwa_o_Ko%C5%82obrzeg,Бои 4-18.03.1945; 1-я армия Войска Польского при поддержке РККА
Кошалин,54.1900,16.1800,foreign,,1945-03-04,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Краков,50.0647,19.9450,foreign,,1945-01-19,,Польша,yes,,https://ru.wikipedia.org/wiki/Висло-Одерская_операция,1-й Украинский фронт; город взят почти без разрушений
Легница,51.2100,16.1600,foreign,,1945-02-09,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Лодзь,51.7592,19.4560,foreign,,1945-01-19,,Польша,yes,,https://ru.wikipedia.org/wiki/Висло-Одерская_операция,1-й Белорусский фронт
Ломжа,53.1781,22.0592,foreign,,1944-09-13,,Польша,yes,,https://historialomzy.pl/lomza-w-latach-ii-wojny-swiatowej/,49-я армия 2-го Белорусского фронта ген. Гришина
Люблин,51.2465,22.5684,foreign,,1944-07-24,,Польша,yes,,https://ru.wikipedia.org/wiki/Люблинско-Брестская_операция,2-я танковая армия и 8-я гв. армия; здесь создан ПКНО
Мелец,50.2900,21.4200,foreign,,1944-08-06,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Млава,53.1100,20.3800,foreign,,1945-01-19,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Новы-Сонч,49.6200,20.7000,foreign,,1945-01-20,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Ольштын,53.7800,20.4900,foreign,,1945-01-22,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Ополе,50.6751,17.9213,foreign,,1945-01-24,,Польша,yes,,https://opolska360.pl/festung-oppeln-padlo-80-lat-temu-ale-najgorsze-zaczelo-sie-potem,Правобережный Festung Oppeln пал после самоубийства коменданта фон Пфайля в ночь на 22.01; штурм 23-24.01.1945
Освенцим,50.0300,19.2100,foreign,,1945-01-27,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Плоцк,52.5500,19.7100,foreign,,1945-01-21,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Познань,52.4064,16.9252,foreign,,1945-02-23,,Польша,yes,,https://ru.wikipedia.org/wiki/Познанско-Мезеритцкая_операция,Крепость капитулировала после долгого штурма (цитадель)
Пшемысль,49.7838,22.7679,foreign,,1944-07-27,,Польша,yes,,https://archiwum.ipn.gov.pl/download/1/554587/Rzeszow1.pdf,69-я армия ген. В.Я. Колпакчи
Пётркув,51.4100,19.7000,foreign,,1945-01-18,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Радом,51.4027,21.1471,foreign,,1945-01-16,,Польша,yes,,http://zwir.org.pl/?page_id=8334,"1-й Украинский фронт,  Висло-Одерская операция"
Рацибуж,50.0900,18.2200,foreign,,1945-03-31,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Санок,49.5563,22.2077,foreign,,1944-08-03,,Польша,yes,,https://pl.wikipedia.org/wiki/Walki_o_Sanok,"38-я армия ген. Москаленко; город переходил из рук в руки,  окончательно занят к 10.08.1944"
Слупск,54.4600,17.0300,foreign,,1945-03-08,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Сувалки,54.1115,22.9308,foreign,,1944-10-23,,Польша,yes,,https://www.radio.bialystok.pl/wiadomosci/suwalki/id/231877,3-й Белорусский фронт
Тарнув,50.0100,20.9900,foreign,,1945-01-18,,Польша,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Торунь,53.0138,18.5981,foreign,,1945-02-01,,Польша,yes,,https://toruntour.pl/6225/armia-czerwona-zajmuje-torun-1-lutego-1945-r,Гарнизон капитулировал 1 февраля 1945
Хелм,51.1333,23.4667,foreign,,1944-07-23,,Польша,yes,,https://ru.wikipedia.org/wiki/Люблинско-Брестская_операция,Первый крупный польский город западнее линии Керзона взятый 1-м Белорусским фронтом
Ченстохова,50.8118,19.1203,foreign,,1945-01-16,,Польша,yes,,https://pl.wikipedia.org/wiki/Wyzwolenie_Cz%C4%99stochowy,1-й Украинский фронт
Штеттин (Щецин),53.4285,14.5528,foreign,,1945-04-26,,Польша,yes,,https://ru.wikipedia.org/wiki/Восточно-Померанская_операция,2-й Белорусский фронт
Эльблонг (Эльбинг),54.1522,19.4088,foreign,,1945-02-10,,Польша,yes,,https://historia.bibliotekaelblaska.pl/artykul/zdobycie-elblaga-10-luty-1945,"Бои с конца января,  окончательно взят 10.02.1945"
Кёнигсберг,54.7104,20.4522,foreign,,1945-04-09,,Россия (быв. Германия),yes,,https://ru.wikipedia.org/wiki/Кёнигсбергская_операция,3-й Белорусский фронт; гарнизон капитулировал
Пиллау,54.6489,19.9106,foreign,,1945-04-25,,Россия (быв. Германия),yes,,https://warcats.ru/2021/03/19/poslednij-oplot-vostochnoj-prussii-srazhenie-za-pillau/,Последний оплот Восточной Пруссии; в источниках встречаются 25 и 26 апреля
Арад,46.1866,21.3123,foreign,,1944-10-09,,Румыния,yes,,https://ro.wikipedia.org/wiki/Istoria_Timi%C8%99oarei,57-й стрелковый корпус; далее наступление на Дебрецен
Бакэу,46.5700,26.9100,foreign,,1944-08-25,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Ботошани,47.7486,26.6694,foreign,,1944-04-07,,Румыния,yes,,https://guu.ru/%D0%B4%D0%B5%D0%BD%D1%8C-%D0%B2%D1%8B%D1%85%D0%BE%D0%B4%D0%B0-%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B9-%D0%B0%D1%80%D0%BC%D0%B8%D0%B8-%D0%BD%D0%B0-%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D1%83-%D1%81/,"2-й Украинский фронт,  первая волна Румынии,  за пределами советских границ 1941"
Брашов,45.6427,25.5887,foreign,,1944-09-05,,Румыния,yes,,https://www.aesgs.ro/iesirea-romaniei-din-razboi-23-august-1944-si-participarea-la-victoria-natiunilor-unite-lectii-de-istorie/,Занят к 5 сентября 1944; после 23.08 Румыния воюет на стороне антигитлеровской коалиции
Бухарест,44.4268,26.1025,foreign,,1944-08-31,,Румыния,yes,,https://historyrussia.org/sobytiya/31-avgusta-1944-goda-ot-nemetsko-fashistskikh-zakhvatchikov-byl-osvobozhden-bukharest.html,После переворота 23.08.1944 и выхода Румынии из войны на стороне Оси
Галац,45.4353,28.0080,foreign,,1944-08-24,,Румыния,yes,,https://ru.wikipedia.org/wiki/Ясско-Кишинёвская_операция,3-й Украинский фронт; порт на Дунае
Дорохой,47.9600,26.4000,foreign,,1944-04-07,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Клуж,46.7712,23.6236,foreign,,1944-10-11,,Румыния,yes,,https://www.rador.ro/2015/05/11/eliberarea-transilvaniei-de-nord/,"Дебреценская операция,  2-й Украинский фронт совместно с румынской армией"
Констанца,44.1765,28.6348,foreign,,1944-08-29,,Румыния,yes,,https://ru.wikipedia.org/wiki/Ясско-Кишинёвская_операция,Черноморский флот и 3-й Украинский фронт
Крайова,44.3200,23.8000,foreign,,1944-09-05,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Орадя,47.0722,21.9211,foreign,,1944-10-12,,Румыния,yes,,https://www.rador.ro/2024/10/25/25-octombrie-1944-ziua-armatei-romane-eliberarea-careiului-si-sfarsitul-ocupatiei-in-transilvania-de-nord/,Дебреценская операция
Плоешти,44.9469,26.0189,foreign,,1944-08-30,,Румыния,yes,,https://ru.wikipedia.org/wiki/Ясско-Кишинёвская_операция,Крупнейший нефтепромысловый район Румынии
Роман,46.9300,26.9300,foreign,,1944-08-24,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Рэдэуци,47.8500,25.9200,foreign,,1944-04-02,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Сату-Маре,47.7900,22.8800,foreign,,1944-10-25,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Сибиу,45.7900,24.1500,foreign,,1944-09-08,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Сучава,47.6500,26.2600,foreign,,1944-08-25,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Тимишоара,45.7489,21.2087,foreign,,1944-08-26,,Румыния,yes,,http://www.ziuadevest.ro/timisoara-11-septembrie-1944-schimbarea-cursul-istoriei-timisoarei-pentru-patru-decenii/,Германский гарнизон капитулировал перед румынскими войсками без участия РККА на этом этапе
Тыргу-Муреш,46.5400,24.5600,foreign,,1944-09-28,,Румыния,yes,,хроника наступательных операций РККА 1944-1945; где город есть в справочнике - сверено с ним,
Яссы,47.1585,27.6014,foreign,,1944-08-21,,Румыния,yes,,https://ru.wikipedia.org/wiki/Ясско-Кишинёвская_операция,2-й Украинский фронт
Алакуртти,66.9700,30.3400,empire,1941-08-20,1944-09-19,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",финская оккупация 1941-1944; отход к границе 1940 г. по Московскому перемирию 19.09.1944
Алитус,54.4000,24.0500,empire,1941-06-23,1944-07-15,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Алушта,44.6766,34.4058,empire,1941-11-04,1944-04-15,,СССР,yes,,"общая хроника обороны Крыма 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Анапа,44.8951,37.3169,empire,1942-08-31,1943-09-21,,СССР,yes,"СКФ, силы ЧФ; Новороссийско-Таманская операция","общая хроника Битвы за Кавказ 1942; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Апостолово,47.6667,33.7167,empire,1941-08-18,1944-02-05,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Армавир,44.9916,41.1257,empire,1942-08-07,1943-01-24,,СССР,yes,ЗакФ (Северная группа войск); Северо-Кавказская операция,"ru.wikipedia.org: Армавиро-Майкопская операция; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",встречается также дата 06.08
Артёмовск (Бахмут),48.5956,37.9997,empire,1941-11-01,1943-09-05,,СССР,yes,ЮЗФ; Донбасская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Ахтырка,50.3103,34.8917,empire,1941-10-11,1943-08-25,1941-10-11:foreign;1943-02-23:empire;1943-03-11:foreign;1943-08-25:empire,СССР,yes,ВорФ; Харьковская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф","город вновь занят противником после освобождения; повторно занят немцами в марте 1943 г. (контрудар под Харьковом), окончательно освобождён в августе 1943 г."
Барановичи,53.1325,26.0064,empire,1941-06-27,1944-07-08,,СССР,yes,1 БФ; наступление на барановичско-слонимском направлении,"yadvashem.org: Барановичи; specreport.belta.by; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Белгород,50.5977,36.5858,empire,1941-10-24,1943-08-05,1941-10-24:foreign;1943-02-09:empire;1943-03-18:foreign;1943-08-05:empire,СССР,yes,ВорФ; Харьковская операция,"общая хроника Харьковской оборонительной операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","город вновь занят противником после освобождения; повторно занят немцами в марте 1943 г., окончательно освобождён в августе 1943 г."
Белосток,53.1325,23.1688,empire,1941-06-27,1944-07-27,,СССР,yes,,"yadvashem.org: Белосток; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","советский с 17.09.1939; 20.09.1944 передан польской администрации, официально - договор о границе 16.08.1945"
Бельцы,47.7639,27.9294,empire,1941-07-09,1944-03-26,,СССР,yes,2 УФ; Уманско-Ботошанская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Бердичев,49.8944,28.6122,empire,1941-07-08,1944-01-05,,СССР,yes,1 УФ; Житомирско-Бердичевская операция,"yadvashem.org: Бердичев; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Бердянск,46.7800,36.7900,empire,1941-10-06,1943-09-17,,СССР,yes,,"общая хроника Донбасской операции 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",координата сдвинута на 2 км вглубь: сам город стоит на урезе воды и выпадает даже из нетронутого контура источника (проверено на срезе 1946)
