place,lat,lon,date,expect,row,note
Москва,55.7558,37.6176,1571-05-24,not_empire,crimea-moscow-1571,"ОБЯЗАТЕЛЬНАЯ ПРОВЕРКА КУРАТОРА: 24 мая 1571 года войско Девлет-Гирея сожгло город (3 июня по новому стилю). С 28.08.2026 набег вырезает красное - решение куратора: «какая разница на час или на два, Москву сожгли»"
Москва,55.7558,37.6176,1571-06-01,empire,,через неделю после набега строки уже нет
Москва,55.7558,37.6176,1521-08-01,not_empire,crimea-moscow-1521,"поход Мехмеда I Гирея: посады сожжены, город откупился грамотой. Набег вырезает красное с 28.08.2026"
Молоди,55.2000,37.5900,1572-07-30,empire,molodi-1572,"поход остановлен южнее города; координаты круга исправлены 28.08.2026 - стоял в 25 км западнее самого села"
Котлы,55.6800,37.6200,1591-07-04,empire,crimea-moscow-1591,до города дошли но города не взяли
Москва,55.7558,37.6176,1611-01-01,not_empire,moscow-1610-1612,гарнизон Речи Посполитой с 21.09.1610
Москва,55.7558,37.6176,1613-01-01,empire,,гарнизон капитулировал 26-27.10.1612
Новгород,58.5200,31.2700,1613-01-01,not_empire,,закрыто срезами ядра (агент ядра): вычтено срезом 1611-07-16
Новгород,58.5200,31.2700,1620-01-01,empire,,возвращено срезом 1617-02-27
Нелькан,57.6333,136.1500,1924-08-01,not_empire,tungus-1924,"столица Временного центрального тунгусского национального управления: отряд Артемьева занял село 10.05.1924, советской администрации до 09.05.1925 не было"
Нелькан,57.6333,136.1500,1923-06-01,empire,,"до восстания земля под советской властью - окно открывается только 10.05.1924"
Нелькан,57.6333,136.1500,1925-07-01,empire,,"09.05.1925 подписан мирный договор с СССР, управление самораспустилось"
Аян (точка сдвинута вглубь),56.4500,138.1000,1924-08-01,not_empire,tungus-1924,"порт взят 06.06.1924 после восемнадцатичасового боя; сам порт стоит на береговой линии контура OSM, поэтому проверочная точка сдвинута на 4 км вглубь"
Усть-Мая,60.4167,134.5333,1924-08-01,empire,,"западный край выреза: Усть-Майское повстанцы навестили набегом 04.03.1925, но не держали"
Охотское побережье (точка сдвинута вглубь),60.0000,142.0000,1924-08-01,empire,,"гарнизон Охотска порт удержал, вырез сюда не доходит; сам Охотск проверить нельзя - обзорный контур среза 1922 береговую полосу не покрывает"
Коломна,55.0900,38.7700,1521-07-29,not_empire,crimea-moscow-1521,"28 июля 1521 года войско перешло Оку близ Коломны, разбив стоявшие на берегу полки"
Нижний Новгород,56.3300,44.0000,1521-08-01,not_empire,crimea-moscow-1521,"второе крыло похода: казанское войско Сахиб-Гирея взяло город; дат источник не даёт, окно по общему сроку похода"
Рязань,54.6300,39.7400,1521-08-12,not_empire,crimea-moscow-1521,"отход к Переяславлю-Рязанскому и осада, отбитая вылазкой Хабара Симского"
Рязань,54.6300,39.7400,1521-09-01,empire,,"войско ушло за Оку в первой половине августа - земля снова имперская"
Подольск,55.4300,37.5500,1572-07-28,not_empire,molodi-1572,"после переправы по Сенькину броду передовые части вышли к Пахре и перерезали дороги на Москву"
Тула,54.2000,37.6200,1591-07-02,not_empire,,"войско шло Муравским шляхом на Тулу и Дедилов; обзорный контур источника на 1587 год Тулы не содержит вовсе, поэтому здесь и так чёрное, а эпизод в попапе не ищем"
Серпухов,54.9200,37.4100,1591-07-07,not_empire,crimea-moscow-1591,"отход к Серпухову с переправой обратно через Оку, преследование до Тулы"
Москва,55.7558,37.6176,1591-07-04,empire,crimea-moscow-1591,"сторож: у Котлов и Данилова монастыря империя устояла, посады уцелели - вид contested"
