city,lat,lon,date,expected,phase,source,note
Одесса,46.4825,30.7233,1941-11-01,not_empire,отступление 1941,хроника операций Великой Отечественной войны,оставлена 16.10.1941
Харьков,49.9935,36.2304,1941-12-01,not_empire,отступление 1941,хроника операций Великой Отечественной войны,взят 24.10.1941
Орёл,52.9703,36.0635,1941-11-01,not_empire,отступление 1941,хроника операций Великой Отечественной войны,взят 03.10.1941
Тула,54.1961,37.6182,1941-12-01,empire,битва за Москву,хроника операций Великой Отечественной войны,"осаждена, но не взята"
Дмитров,56.34,37.52,1941-12-01,empire,битва за Москву,хроника операций Великой Отечественной войны,"вермахт дошёл до Яхромы, Дмитров удержан"
Кашира,54.84,38.17,1941-12-01,empire,битва за Москву,хроника операций Великой Отечественной войны,южный фас: Гудериан остановлен под Каширой
Рязань,54.63,39.74,1941-12-01,empire,битва за Москву,хроника операций Великой Отечественной войны,
Калинин,56.8587,35.9176,1941-12-01,not_empire,битва за Москву,хроника операций Великой Отечественной войны,"взят 14.10, освобождён 16.12.1941"
Калинин,56.8587,35.9176,1942-01-01,empire,контрнаступление,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 16.12.1941
Ростов-на-Дону,47.2357,39.7015,1941-12-01,empire,контрнаступление,"«Освобождение городов» (М.: Воениздат, 1985)","взят 21.11, отбит 29.11.1941"
Мурманск,68.9585,33.0827,1942-01-01,empire,Заполярье,хроника операций Великой Отечественной войны,не был взят
Петрозаводск,61.7849,34.3469,1941-11-01,not_empire,финский театр,хроника операций Великой Отечественной войны,взят финнами 01.10.1941
Выборг,60.7136,28.7472,1942-01-01,not_empire,финский театр,хроника операций Великой Отечественной войны,взят финнами 29.08.1941
Хельсинки,60.17,24.94,1943-01-01,not_empire,финский театр,хроника операций Великой Отечественной войны,Финляндия не оккупировалась
Севастополь,44.6054,33.522,1942-06-01,empire,Крым 1942,хроника операций Великой Отечественной войны,осада: город держался до 04.07.1942
Керчь,45.3453,36.4707,1942-01-01,empire,Крым 1942,"«Освобождение городов» (М.: Воениздат, 1985)","Керченско-Феодосийский десант, взята 30.12.1941"
Керчь,45.3453,36.4707,1942-06-01,not_empire,Крым 1942,хроника операций Великой Отечественной войны,потеряна 15.05.1942
Воронеж,51.672,39.1843,1942-09-01,not_empire,Блау,хроника операций Великой Отечественной войны,правобережье взято 06-07.07.1942
Ростов-на-Дону,47.2357,39.7015,1942-09-01,not_empire,Блау,хроника операций Великой Отечественной войны,потерян 23-24.07.1942
Краснодар,45.0355,38.9753,1942-10-01,not_empire,Кавказ 1942,хроника операций Великой Отечественной войны,взят 12.08.1942
Элиста,46.3155,44.2621,1942-10-01,not_empire,Кавказ 1942,хроника операций Великой Отечественной войны,взята 12.08.1942
Грозный,43.3169,45.6981,1942-11-01,empire,Кавказ 1942,хроника операций Великой Отечественной войны,не был взят
Владикавказ,43.0225,44.682,1942-11-01,empire,Кавказ 1942,хроника операций Великой Отечественной войны,не был взят
Астрахань,46.3497,48.0408,1942-11-01,empire,Кавказ 1942,хроника операций Великой Отечественной войны,не была взята
Махачкала,42.98,47.5,1942-11-01,empire,Кавказ 1942,хроника операций Великой Отечественной войны,
Сталинград,48.708,44.5133,1942-12-01,empire,Сталинград,хроника операций Великой Отечественной войны,
Ленинград,59.9343,30.3351,1943-01-01,empire,блокада,хроника операций Великой Отечественной войны,
Ростов-на-Дону,47.2357,39.7015,1943-03-01,empire,зима 1942/43,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 14.02.1943
Краснодар,45.0355,38.9753,1943-03-01,empire,зима 1942/43,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 12.02.1943
Воронеж,51.672,39.1843,1943-02-01,empire,зима 1942/43,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 25.01.1943
Харьков,49.9935,36.2304,1943-03-01,empire,зима 1942/43,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 16.02.1943 - и снова потерян 16.03
Харьков,49.9935,36.2304,1943-04-01,not_empire,весна 1943,"«Освобождение городов» (М.: Воениздат, 1985)",потерян 16.03.1943
Харьков,49.9935,36.2304,1943-09-01,empire,Курская дуга,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 23.08.1943
Ржев,56.2593,34.3247,1943-01-01,not_empire,Ржевский выступ,хроника операций Великой Отечественной войны,выступ держался до марта 1943
Ржев,56.2593,34.3247,1943-05-01,empire,Ржевский выступ,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 03.03.1943
Курск,51.7304,36.1926,1943-08-01,empire,Курская дуга,"«Освобождение городов» (М.: Воениздат, 1985)",
Орёл,52.9703,36.0635,1943-07-01,not_empire,Курская дуга,хроника операций Великой Отечественной войны,освобождён только 05.08.1943
Орёл,52.9703,36.0635,1943-09-01,empire,Курская дуга,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 05.08.1943
Смоленск,54.7818,32.0401,1943-09-01,not_empire,возврат 1943,хроника операций Великой Отечественной войны,освобождён только 25.09.1943
Смоленск,54.7818,32.0401,1943-11-01,empire,возврат 1943,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 25.09.1943
Новороссийск,44.7239,37.7684,1943-08-01,not_empire,Кубань 1943,хроника операций Великой Отечественной войны,освобождён 16.09.1943
Донецк,48.0159,37.8028,1943-10-01,empire,Донбасс 1943,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 08.09.1943
Днепропетровск,48.4647,35.0462,1943-12-01,empire,Днепр 1943,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 25.10.1943
Гомель,52.4345,30.9754,1943-12-01,empire,возврат 1943,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 26.11.1943
Псков,57.8194,28.3319,1943-01-01,not_empire,север 1943,хроника операций Великой Отечественной войны,освобождён 23.07.1944
Новгород,58.5215,31.2755,1944-03-01,empire,снятие блокады,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 20.01.1944
Севастополь,44.6054,33.522,1944-06-01,empire,Крым 1944,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 09.05.1944
Одесса,46.4825,30.7233,1944-05-01,empire,Одесская операция,"«Освобождение городов» (М.: Воениздат, 1985)",освобождена 10.04.1944
Витебск,55.1904,30.2049,1944-06-01,not_empire,«Багратион»,хроника операций Великой Отечественной войны,освобождён 26.06.1944
Витебск,55.1904,30.2049,1944-07-01,empire,«Багратион»,"«Освобождение городов» (М.: Воениздат, 1985)",
Львов,49.8397,24.0297,1944-07-01,not_empire,Львовско-Сандомирская,хроника операций Великой Отечественной войны,освобождён 27.07.1944
Львов,49.8397,24.0297,1944-08-01,empire,Львовско-Сандомирская,"«Освобождение городов» (М.: Воениздат, 1985)",
Брест,52.0976,23.6879,1944-08-01,empire,«Багратион»,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 28.07.1944
Вильнюс,54.6872,25.2797,1944-08-01,empire,«Багратион»,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 13.07.1944
Выборг,60.7136,28.7472,1944-07-01,empire,Карелия 1944,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 20.06.1944
Петрозаводск,61.7849,34.3469,1944-08-01,empire,Карелия 1944,"«Освобождение городов» (М.: Воениздат, 1985)",освобождён 28.06.1944
Таллин,59.437,24.7536,1944-09-01,not_empire,Прибалтика 1944,хроника операций Великой Отечественной войны,освобождён 22.09.1944
Таллин,59.437,24.7536,1944-10-01,empire,Прибалтика 1944,"«Освобождение городов» (М.: Воениздат, 1985)",
Рига,56.9496,24.1052,1944-09-01,not_empire,Прибалтика 1944,хроника операций Великой Отечественной войны,освобождена 13.10.1944
Рига,56.9496,24.1052,1944-11-01,empire,Прибалтика 1944,"«Освобождение городов» (М.: Воениздат, 1985)",
Лиепая,56.5046,21.0108,1945-01-01,not_empire,Курляндский котёл,хроника операций Великой Отечественной войны,котёл держался до 09.05.1945 - модель обязана оставить его чёрным
Лиепая,56.5046,21.0108,1945-03-01,not_empire,Курляндский котёл,хроника операций Великой Отечественной войны,
Лиепая,56.5046,21.0108,1945-05-09,empire,Курляндский котёл,"«Освобождение городов» (М.: Воениздат, 1985)",капитуляция группы армий «Курляндия»
Кишинёв,47.0105,28.8638,1944-08-01,not_empire,Ясско-Кишинёвская,хроника операций Великой Отечественной войны,освобождён 24.08.1944
Кишинёв,47.0105,28.8638,1944-09-01,empire,Ясско-Кишинёвская,"«Освобождение городов» (М.: Воениздат, 1985)",
Печенга,69.5486,31.1706,1944-09-01,not_empire,Заполярье 1944,хроника операций Великой Отечественной войны,освобождена 15.10.1944
Печенга,69.5486,31.1706,1944-12-01,empire,Заполярье 1944,"«Освобождение городов» (М.: Воениздат, 1985)",
Люблин,51.2465,22.5684,1944-07-01,not_empire,Польша 1944,хроника операций Великой Отечественной войны,взят 24.07.1944
Люблин,51.2465,22.5684,1944-08-01,empire,Польша 1944,хроника операций Великой Отечественной войны,
Варшава,52.2297,21.0122,1944-09-01,not_empire,Польша 1944,хроника операций Великой Отечественной войны,левобережье взято только 17.01.1945
Варшава,52.2297,21.0122,1944-12-01,not_empire,Польша 1944,хроника операций Великой Отечественной войны,фронт стоял по Висле с августа 1944
Бухарест,44.4268,26.1025,1944-08-01,not_empire,Румыния 1944,хроника операций Великой Отечественной войны,взят 31.08.1944
Бухарест,44.4268,26.1025,1944-10-01,empire,Румыния 1944,хроника операций Великой Отечественной войны,
Констанца,44.1765,28.6348,1944-10-01,empire,Румыния 1944,хроника операций Великой Отечественной войны,взята 29.08.1944
София,42.6977,23.3219,1944-09-01,not_empire,Болгария 1944,хроника операций Великой Отечественной войны,взята 16.09.1944
София,42.6977,23.3219,1944-10-01,empire,Болгария 1944,хроника операций Великой Отечественной войны,
Белград,44.7866,20.4489,1944-10-01,not_empire,Югославия 1944,хроника операций Великой Отечественной войны,взят 20.10.1944
Белград,44.7866,20.4489,1944-11-01,empire,Югославия 1944,хроника операций Великой Отечественной войны,
Загреб,45.81,15.98,1945-05-01,not_empire,Югославия 1945,хроника операций Великой Отечественной войны,"освобождён НОАЮ, советских войск там не было"
Дебрецен,47.5316,21.6273,1944-11-01,empire,Венгрия 1944,хроника операций Великой Отечественной войны,взят 20.10.1944
Будапешт,47.495,19.035,1945-01-01,not_empire,Венгрия 1945,хроника операций Великой Отечественной войны,Буда взята 13.02.1945
Будапешт,47.495,19.035,1945-03-01,empire,Венгрия 1945,хроника операций Великой Отечественной войны,
Ужгород,48.6208,22.2879,1944-10-01,not_empire,Закарпатье,"«Освобождение городов» (М.: Воениздат, 1985)",взят 27-28.10.1944; в СССР - по договору 29.06.1945
Ужгород,48.6208,22.2879,1944-12-01,empire,Закарпатье,"«Освобождение городов» (М.: Воениздат, 1985)",
Краков,50.0647,19.945,1945-02-01,empire,Висло-Одерская,хроника операций Великой Отечественной войны,взят 19.01.1945
Познань,52.4064,16.9252,1945-02-01,not_empire,Висло-Одерская,хроника операций Великой Отечественной войны,гарнизон держался до 23.02.1945
Познань,52.4064,16.9252,1945-03-01,empire,Висло-Одерская,хроника операций Великой Отечественной войны,
Вроцлав,51.1079,17.0385,1945-03-01,not_empire,Бреслау,хроника операций Великой Отечественной войны,крепость держалась до 06.05.1945 в глубоком тылу фронта
Вроцлав,51.1079,17.0385,1945-05-09,empire,Бреслау,хроника операций Великой Отечественной войны,
Кёнигсберг,54.7104,20.4522,1945-03-01,not_empire,Вост. Пруссия,хроника операций Великой Отечественной войны,взят 09.04.1945
Кёнигсберг,54.7104,20.4522,1945-05-01,empire,Вост. Пруссия,хроника операций Великой Отечественной войны,
Гданьск,54.352,18.6466,1945-04-01,empire,Померания,хроника операций Великой Отечественной войны,взят 30.03.1945
Берлин,52.52,13.405,1945-04-01,not_empire,Европа 1945,хроника операций Великой Отечественной войны,штурм начался 16.04.1945
Вена,48.2082,16.3738,1945-04-01,not_empire,Австрия 1945,хроника операций Великой Отечественной войны,взята 13.04.1945
Вена,48.2082,16.3738,1945-05-01,empire,Австрия 1945,хроника операций Великой Отечественной войны,
Линц,48.3069,14.2858,1945-05-09,not_empire,Австрия 1945,хроника операций Великой Отечественной войны,взят американцами 05.05.1945
Зальцбург,47.8,13.04,1945-05-09,not_empire,Австрия 1945,хроника операций Великой Отечественной войны,американская зона
Лейпциг,51.3397,12.3731,1945-05-09,not_empire,линия Эльбы,хроника операций Великой Отечественной войны,взят американцами 18.04.1945; в советскую зону передан 01.07.1945
Магдебург,52.1205,11.6276,1945-05-09,not_empire,линия Эльбы,хроника операций Великой Отечественной войны,взят американцами 18.04.1945
Гамбург,53.55,9.99,1945-05-09,not_empire,линия Эльбы,хроника операций Великой Отечественной войны,британская зона
Мюнхен,48.14,11.58,1945-05-09,not_empire,линия Эльбы,хроника операций Великой Отечественной войны,американская зона
Пльзень,49.74,13.37,1945-05-09,not_empire,Чехия 1945,хроника операций Великой Отечественной войны,взят американцами 06.05.1945
Дрезден,51.0504,13.7373,1945-05-01,not_empire,Европа 1945,хроника операций Великой Отечественной войны,взят 08.05.1945
Дрезден,51.0504,13.7373,1945-05-09,empire,Европа 1945,хроника операций Великой Отечественной войны,
Братислава,48.1486,17.1077,1945-05-01,empire,Чехословакия 1945,хроника операций Великой Отечественной войны,взята 04.04.1945
Прага,50.0755,14.4378,1945-05-01,not_empire,Чехословакия 1945,хроника операций Великой Отечественной войны,взята 09.05.1945
Киркенес,69.7269,30.045,1944-12-01,empire,Норвегия,хроника операций Великой Отечественной войны,взят 25.10.1944; советские войска выведены 25.09.1945
Киркенес,69.7269,30.045,1944-09-01,not_empire,Норвегия,хроника операций Великой Отечественной войны,
Осло,59.91,10.75,1945-05-09,not_empire,Норвегия,хроника операций Великой Отечественной войны,освобождена западными союзниками
Харбин,45.8038,126.535,1945-08-01,not_empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,война с Японией с 09.08.1945
Мукден,41.8057,123.4315,1945-09-01,empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,взят 19-21.08.1945
Порт-Артур,38.8079,121.262,1945-09-03,empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,взят 23.08.1945; база СССР до 1955
Пхеньян,39.0392,125.7625,1945-08-01,not_empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,
Пхеньян,39.0392,125.7625,1945-09-03,empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,взят 24.08.1945; советские войска до декабря 1948
Южно-Сахалинск,46.9591,142.7383,1945-08-01,not_empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,"Тойохара, японский Карафуто"
Южно-Сахалинск,46.9591,142.7383,1945-09-03,empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,взят 25.08.1945
Кунашир,44.0333,145.8667,1945-09-03,empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,занят 01.09.1945
Саппоро,43.06,141.35,1945-09-03,not_empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,Хоккайдо занят не был
Варшава,52.2297,21.0122,1945-08-01,empire,стык с послевоенным,хроника операций Великой Отечественной войны,оккупация держится ядром до конца 1945; с 1946 - слой сферы влияния
Варшава,52.2297,21.0122,1945-12-01,empire,стык с послевоенным,хроника операций Великой Отечественной войны,
Прага,50.0755,14.4378,1945-08-01,empire,стык с послевоенным,хроника операций Великой Отечественной войны,советские войска выведены в декабре 1945
Берлин,52.52,13.405,1945-12-01,empire,стык с послевоенным,хроника операций Великой Отечественной войны,советская зона оккупации
Вена,48.2082,16.3738,1945-08-01,empire,стык с послевоенным,хроника операций Великой Отечественной войны,советская зона Австрии до 1955; в слое сферы Австрии нет - за куратором
Будапешт,47.495,19.035,1945-12-01,empire,стык с послевоенным,хроника операций Великой Отечественной войны,
Бухарест,44.4268,26.1025,1945-12-01,empire,стык с послевоенным,хроника операций Великой Отечественной войны,
София,42.6977,23.3219,1945-12-01,empire,стык с послевоенным,хроника операций Великой Отечественной войны,
Белград,44.7866,20.4489,1945-08-01,not_empire,стык с послевоенным,хроника операций Великой Отечественной войны,"Красная армия ушла из Югославии в мае 1945, дальше страну держал Тито"
Ужгород,48.6208,22.2879,1945-08-01,empire,Закарпатье,хроника операций Великой Отечественной войны,договор с Чехословакией 29.06.1945
Кёнигсберг,54.7104,20.4522,1945-09-03,empire,Вост. Пруссия,хроника операций Великой Отечественной войны,Потсдам 02.08.1945
Лейпциг,51.3397,12.3731,1945-08-01,not_empire,линия Эльбы,хроника операций Великой Отечественной войны,"передан в советскую зону 01.07.1945 - у нас пока не показан, см. README"
Гамбург,53.55,9.99,1945-12-01,not_empire,стык с послевоенным,хроника операций Великой Отечественной войны,британская зона
Мюнхен,48.14,11.58,1945-12-01,not_empire,стык с послевоенным,хроника операций Великой Отечественной войны,американская зона
Хельсинки,60.17,24.94,1945-12-01,not_empire,стык с послевоенным,хроника операций Великой Отечественной войны,Финляндия не оккупировалась
Харбин,45.8038,126.535,1945-12-01,empire,Дальний Восток 1945,хроника операций Великой Отечественной войны,советская администрация до мая 1946
