place,lat,lon,date,expect,why,source,note
Будапешт,47.498,19.04,1956-11-05,intervention,операция «Вихрь» 04.11.1956,enrs.eu/article/the-hungarian-revolution-1956,
Будапешт,47.498,19.04,1956-11-03,bloc,последний день до ввода танков,enrs.eu,
Будапешт,47.498,19.04,1991-06-20,none,вывод Южной группы войск завершён 19.06.1991,pestbuda.hu,
Бухарест,44.433,26.1,1989-12-23,none,падение Чаушеску 22.12.1989,data/sphere/registry.csv,
Бухарест,44.433,26.1,1970-01-01,bloc,"в ОВД и СЭВ, хотя советских войск с 1958 года нет",muse.jhu.edu/article/434037,
София,42.698,23.322,1989-11-11,none,смещение Живкова 10.11.1989,data/sphere/registry.csv,
София,42.698,23.322,1960-01-01,bloc,член ОВД и СЭВ,"UNTS т. 219, № I-2962",
Тирана,41.328,19.818,1961-12-02,bloc,последний день до разрыва,gw2ru.com/history/61622,
Тирана,41.328,19.818,1961-12-04,none,разрыв дипломатических отношений 03.12.1961,gw2ru.com/history/61622,
Вена,48.208,16.373,1950-01-01,occupation,"советская зона Австрии — Нижняя Австрия, Бургенланд и Вена",2001-2009.state.gov/r/pa/ho/time/lw/107185.htm,
Инсбрук,47.269,11.404,1950-01-01,none,"Тироль — французская зона, сферой не красится",там же,"Проверка того, что зона взята восточной третью, а не страной целиком."
Зальцбург,47.809,13.055,1950-01-01,none,Зальцбург — американская зона,там же,
Вена,48.208,16.373,1955-11-01,none,войска выведены к концу октября 1955,Государственный договор 15.05.1955,
Белград,44.787,20.449,1946-06-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","UNTS т. 116, № I-1573",
Хельсинки,60.17,24.938,1960-01-01,none,Финляндия вынесена в disputed.csv,data/sphere/disputed.csv,
Улан-Батор,47.886,106.906,1970-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","International Legal Materials, март 1966",
Улан-Батор,47.886,106.906,1940-01-01,client_military,"протокол о взаимопомощи 12.03.1936, советские войска на территории",протокол 12.03.1936,
Харбин,45.803,126.534,1946-03-01,occupation,советские войска в Маньчжурии до 03.05.1946,en.wikipedia.org/wiki/Soviet_occupation_of_Manchuria,
Харбин,45.803,126.534,1947-01-01,none,вывод из Маньчжурии завершён 03.05.1946,там же,
Пекин,39.904,116.407,1955-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","UNTS т. 226, № I-3103",
Пхеньян,39.019,125.755,1946-06-01,occupation,советская администрация севернее 38-й параллели,"FRUS 1949, vol. VII, part 2, doc. 266",
Пхеньян,39.019,125.755,1970-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",worldjpn.net/documents/texts/docs/19610706.T1E.html,
Сеул,37.567,126.978,1950-01-01,none,южнее 38-й параллели сфера не идёт,FRUS 1949,
Ханой,21.028,105.854,1960-01-01,client_military,ДРВ — советская военная помощь,"Odd Arne Westad, The Global Cold War",
Сайгон,10.823,106.63,1960-01-01,none,ЧИНИТ ДЕФЕКТ: до правки весь Вьетнам 1954-1976 красился одним контуром,"CShapes 2.0, gwcode 816 и 817",Ключевая проверка дефекта из ограничения 3 README.
Сайгон,10.823,106.63,1980-01-01,client_military,"база Камрань: соглашение об использовании 02.05.1979, военное присутствие — не союзный договор, из показа не выводится",worldjpn.net/documents/texts/docs/19781103.T1E.html,
Камрань,11.921,109.159,1995-01-01,client_military,база в Камрани по соглашению 02.05.1979 пережила СССР,irp.fas.org/imint/vn_crb1.htm,
Камрань,11.921,109.159,2003-01-01,none,Россия ушла из Камрани 02.05.2002,"globalsecurity.org, mil-020327-3d99487d",
Вьентьян,17.975,102.633,1980-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",data/sphere/registry.csv,
Пномпень,11.556,104.928,1985-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",ebsco.com,
Пномпень,11.556,104.928,1990-01-01,none,вывод вьетнамских войск завершён в сентябре 1989,ebsco.com,
Кабул,34.556,69.208,1979-12-24,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","cawater-info.net, текст договора",
Кабул,34.556,69.208,1979-12-26,intervention,ввод войск 25.12.1979,"Washington Post, 16.02.1989",
Кабул,34.556,69.208,1989-06-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","Odd Arne Westad, The Global Cold War",
Кабул,34.556,69.208,1992-04-17,none,падение Наджибуллы 16.04.1992,там же,
Кабул,34.556,69.208,1970-01-01,none,до Саурской революции 27.04.1978 сферой не красится,adst.org/2016/04/the-saur-revolution,
Дели,28.614,77.209,1975-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",worldjpn.net/documents/texts/docs/19710809.T3E.html,
Багдад,33.315,44.366,1975-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","FRUS 1969–76 т. E-4, док. 321",
Каир,30.044,31.236,1950-01-01,none,до оружейной сделки 27.09.1955 сферой не красится,"Odd Arne Westad, The Global Cold War",
Каир,30.044,31.236,1960-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",там же,
Каир,30.044,31.236,1971-06-01,client_military,операция «Кавказ» — советские зенитчики в Египте,topwar.ru/104935,
Каир,30.044,31.236,1972-07-17,client_military,последний день до объявления о высылке 18.07.1972,"FRUS 1969-1976, vol. XIII, doc. 241",
Каир,30.044,31.236,1973-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","sadat.umd.edu, текст договора",
Каир,30.044,31.236,1976-03-13,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","Peking Review, № 13, 1976",
Каир,30.044,31.236,1976-03-15,none,Народное собрание денонсировало договор 14.03.1976,"Peking Review, № 13, 1976",
Дамаск,33.513,36.292,1975-01-01,client_military,"ПМТО в Тартусе с 1971 года, советники",en.wikipedia.org/wiki/Tartus_naval_base,
Дамаск,33.513,36.292,1985-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","consultant.ru, документ № 20664",
Тартус,34.889,35.887,2020-01-01,intervention,"российская операция с 30.09.2015, соглашение по Тартусу 18.01.2017",english.aawsat.com,ПРОДОЛЖЕНИЕ СЮЖЕТА — рамку подтверждает куратор.
Дамаск,33.513,36.292,2000-01-01,none,между распадом СССР и интервенцией 2015 года слой молчит,data/sphere/registry.csv,
Аден,12.786,45.019,1979-10-24,client_military,последний день до подписания договора,"Fred Halliday, Revolution and Foreign Policy",
Аден,12.786,45.019,1979-10-26,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","International Legal Materials, S0020782900048804a",ЧИНИТ ДЕФЕКТ: Южный Йемен выпадал из слоя целиком.
Аден,12.786,45.019,1985-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",там же,Ключевая проверка дефекта из ограничения 3 README.
Аден,12.786,45.019,1990-06-01,none,объединение Йемена 22.05.1990,там же,
Аден,12.786,45.019,1965-01-01,none,до «поправительного движения» 22.06.1969 сферой не красится,en.wikipedia.org/wiki/South_Yemen–Soviet_Union_relations,
Сана,15.369,44.191,1980-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту","CIA PA M 80-10019, 11.01.1980",
Триполи,32.887,13.191,1980-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",CIA RP 79-10002C,
Алжир,36.754,3.06,1975-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",CIA-RDP78-03061A000400020007-0,
Могадишо,2.047,45.318,1975-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","ru.wikipedia.org, российско-сомалийские отношения",
Бербера,10.436,45.014,1975-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",globalsecurity.org/military/world/somalia/berbera.htm,
Могадишо,2.047,45.318,1977-11-12,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","Washington Post, 26.11.1977",
Могадишо,2.047,45.318,1977-11-14,none,Сомали денонсировало договор и выслало советских военных 13.11.1977,"Washington Post, 26.11.1977",
Могадишо,2.047,45.318,1968-01-01,none,до переворота Сиада Барре 21.10.1969 сферой не красится,data/sphere/registry.csv,
Аддис-Абеба,9.005,38.763,1975-01-01,none,"до мая 1977 года Москва была с Сомали, а не с Эфиопией",DTIC ADA082219,Разворот Москвы в войне за Огаден: два соседа меняются местами.
Аддис-Абеба,9.005,38.763,1980-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","ru.wikipedia.org, договор с Социалистической Эфиопией",
Аддис-Абеба,9.005,38.763,1992-01-01,none,падение режима Менгисту 21.05.1991,data/sphere/registry.csv,
Луанда,-8.839,13.234,1980-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",docs.historyrussia.org/ru/nodes/493385,
Луанда,-8.839,13.234,1974-01-01,none,до независимости 11.11.1975 сферой не красится,misiones.cubaminrex.cu,
Мапуту,-25.966,32.567,1980-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","Washington Post, 01.04.1977",
Мапуту,-25.966,32.567,1988-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",en.wikipedia.org/wiki/Nkomati_Accord,
Браззавиль,-4.264,15.243,1980-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","en.wikipedia.org, 1968 Congo coup",confidence low: военного соглашения или базы не найдено.
Котону,6.366,2.427,1980-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",en.wikipedia.org/wiki/People%27s_Republic_of_Benin,
Антананариву,-18.879,47.508,1980-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",wildmadagascar.org,confidence low: договора не найдено.
Конакри,9.641,-13.578,1975-01-01,client_military,аэродром Конакри принимает Ту-95РЦ с лета 1973 года,globalsecurity.org/wmd/world/russia/tu-95-west.htm,
Конакри,9.641,-13.578,1985-01-01,none,Секу Туре ограничил доступ в 1977 году,"Christian Science Monitor, 27.05.1981",
Бамако,12.639,-8.003,1965-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","journals.rudn.ru, article/view/33063",
Бамако,12.639,-8.003,1975-01-01,none,переворот Мусы Траоре 19.11.1968 закрыл окно,"en.wikipedia.org, 1968 Malian coup",
Бамако,12.639,-8.003,2023-01-01,client_military,Вагнер в Мали с конца декабря 2021,"CSIS, Tracking the Arrival of Russia’s Wagner Group in Mali",ПРОДОЛЖЕНИЕ СЮЖЕТА — рамку подтверждает куратор.
Банги,4.394,18.558,2020-01-01,client_military,российские инструкторы в ЦАР с января 2018 года,Группа экспертов ООН по ЦАР,ПРОДОЛЖЕНИЕ СЮЖЕТА — рамку подтверждает куратор.
Уагадугу,12.371,-1.52,2025-01-01,client_military,заведено 28.08.2026 по решению куратора: присутствие империи на земле,data/sphere/disputed.csv,
Ниамей,13.512,2.112,2025-01-01,client_military,заведено 28.08.2026 по решению куратора: присутствие империи на земле,data/sphere/disputed.csv,
Хартум,15.501,32.559,2025-01-01,none,Судан вынесен в disputed.csv — соглашение не ратифицировано,data/sphere/disputed.csv,
Гавана,23.113,-82.366,1970-01-01,client_military,"бригада с декабря 1962, Лурдес, СЭВ с 1972 года",en.wikipedia.org/wiki/Lourdes_SIGINT_station,
Гавана,23.113,-82.366,1958-01-01,none,до восстановления дипотношений 08.05.1960 сферой не красится,data/sphere/registry.csv,
Гавана,23.113,-82.366,1995-01-01,client_military,заведено 28.08.2026 по решению куратора: присутствие империи на земле,data/sphere/disputed.csv,
Манагуа,12.115,-86.236,1985-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",history.com/this-day-in-history/february-26,
Манагуа,12.115,-86.236,1991-01-01,none,поражение сандинистов на выборах 25.02.1990,там же,
Каракас,10.481,-66.904,2026-01-01,none,Венесуэла вынесена в disputed.csv,data/sphere/disputed.csv,
Москва,55.756,37.617,1970-01-01,none,"сама империя — это ядро, а не сфера",tools/build_data.py,
Москва,55.756,37.617,1946-01-01,none,то же на стыке с ВМВ,tools/build_data.py,
Стокгольм,59.329,18.069,1970-01-01,none,"нейтрал, в сферу не входил никогда",—,
Тегеран,35.689,51.389,1980-01-01,none,"в сферу не входил; северный Иран 1941-1946 — вопрос слоя ВМВ, не сферы","README, ограничение 17",
Токио,35.69,139.692,1970-01-01,none,в сферу не входил никогда,—,
Белград,44.787,20.449,1945-08-01,none,стык с ВМВ: занятую Европу до 31.12.1945 ведёт ядро,tools/build_ww2.py,
Белград,44.787,20.449,1948-06-27,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Белград,44.787,20.449,1948-06-30,none,резолюция Коминформа 28.06.1948 — КПЮ исключена,data/sphere/registry.csv,
Пекин,39.904,116.407,1950-04-10,none,канун вступления договора в силу 11.04.1950,"UNTS т. 226, № I-3103",
Пекин,39.904,116.407,1960-08-30,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Пекин,39.904,116.407,1965-01-01,none,после отзыва специалистов в 1960 году Китай из показа уходит,"ЦК КПК, февраль 1964",
Шанхай,31.23,121.474,1955-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Дели,28.614,77.209,1971-08-08,none,канун подписания договора 09.08.1971,data/sphere/registry.csv,
Дели,28.614,77.209,1971-08-10,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Дели,28.614,77.209,1992-06-01,none,окно закрыто распадом СССР 26.12.1991,data/sphere/registry.csv,
Бомбей,19.076,72.878,1985-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Багдад,33.315,44.366,1958-12-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",CIA-RDP79R01141A001300080002-6,
Багдад,33.315,44.366,1965-01-01,none,между окнами: 16.08.1963 — 16.07.1968 Ирак из показа уходит,"FRUS 1961–63 т. XVIII, док. 311",
Багдад,33.315,44.366,1972-04-08,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Багдад,33.315,44.366,1972-04-10,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Багдад,33.315,44.366,1981-01-01,none,советское эмбарго с 22.09.1980 закрывает окно,CIA-RDP08S02113R000100230001-3,
Триполи,32.887,13.191,1969-08-01,none,до переворота 01.09.1969,data/sphere/registry.csv,
Триполи,32.887,13.191,1975-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",country-data.com/cgi-bin/query/r-8263.html,
Триполи,32.887,13.191,2000-01-01,none,между советским окном и современным: с 27.12.1991 по 30.09.2018 пусто,data/sphere/registry.csv,
Бенгази,32.119,20.087,2021-01-01,client_military,"современное окно: на 01.07.2020 базирование в Джуфре, Брак-эш-Шати, Кардабии, Себхе и Ваддане","ООН, S/2021/229, п. 93–97",
Алжир,36.753,3.06,1962-06-01,none,до независимости 05.07.1962 контура нет,data/sphere/registry.csv,
Алжир,36.753,3.06,1970-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",data/sphere/registry.csv,
Алжир,36.753,3.06,1995-01-01,none,советское окно закрыто 26.12.1991; современный период остаётся в disputed.csv,data/sphere/disputed.csv,
Сана,15.369,44.191,1955-01-01,none,до первых советских поставок октября 1956 года,data/sphere/registry.csv,
Сана,15.369,44.191,1965-01-01,client_military,воздушный мост и советские лётчики в боях 1963 и 1967 годов,"FRUS 1964–68 т. XXI, док. 464",
Сана,15.369,44.191,1975-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","UNTS т. 553, № I-8094",
Сана,15.369,44.191,1991-01-01,none,объединение Йемена 22.05.1990 закрывает окно,data/sphere/registry.csv,
Тель-Авив,32.085,34.781,1947-01-01,none,"государства ещё нет, контур CShapes начинается 14.05.1948",data/sphere/registry.csv,
Тель-Авив,32.085,34.781,1948-08-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","Middle East Quarterly, Winter 2019",
Тель-Авив,32.085,34.781,1955-01-01,none,после выборов в Кнессет 25.01.1949 Москва снимает поддержку,data/sphere/registry.csv,
Аккра,5.603,-0.187,1962-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","UNTS т. 399, № I-5734",
Аккра,5.603,-0.187,1965-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",CIA-RDP78T05929A001300120003-1,
Аккра,5.603,-0.187,1967-01-01,none,"переворот 24.02.1966, высылка советских специалистов",CIA IM № 1158/66,
Нуакшот,18.079,-15.965,1975-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",CIA-RDP08S01350R000601970003-2,
Нуакшот,18.079,-15.965,1980-01-01,none,"между окнами: соглашение расторгнуто в ноябре 1978, совместное предприятие заведено с 1981 года",data/sphere/registry.csv,
Нуакшот,18.079,-15.965,1985-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",CIA-RDP08S01350R000601960004-2,
Бисау,11.862,-15.598,1970-01-01,none,"до 10.09.1974 территория португальская, эпизода нет",data/sphere/registry.csv,
Бисау,11.862,-15.598,1980-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту","UNTS т. 1024, № I-15042",
Прая,14.933,-23.513,1970-01-01,none,до независимости 05.07.1975,data/sphere/registry.csv,
Прая,14.933,-23.513,1978-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",CIA-RDP85T00287R000402160002-9,
Прая,14.933,-23.513,1985-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Сан-Томе,0.336,6.733,1970-01-01,none,до независимости 12.07.1975,data/sphere/registry.csv,
Сан-Томе,0.336,6.733,1980-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",istmat.org/node/22498,
Малабо,3.75,8.783,1975-01-01,client_military,"катера, БТР, до 330 советников соцлагеря к 1977 году; порт Луба",CIA-RDP85T01058R000100110001-3,
Малабо,3.75,8.783,1985-01-01,none,после заговора 1983 года военные техники отозваны,data/sphere/registry.csv,
Лусака,-15.417,28.283,1970-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Лусака,-15.417,28.283,1985-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту","Shubin, «The USSR and Southern Africa»",
Лусака,-15.417,28.283,1995-01-01,none,окно закрыто распадом СССР,data/sphere/registry.csv,
Дар-эс-Салам,-6.792,39.208,1955-01-01,none,до дипотношений с Танганьикой 11.12.1961,data/sphere/registry.csv,
Дар-эс-Салам,-6.792,39.208,1965-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Додома,-6.163,35.752,1980-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту","NIE, октябрь 1976, п. 98–99",
Кампала,0.317,32.581,1968-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",country-data.com/cgi-bin/query/r-14165.html,
Кампала,0.317,32.581,1971-06-01,none,"между окнами: переворот Амина 25.01.1971, контракт июля 1972 года впереди",data/sphere/registry.csv,
