city,lat,lon,date,controller,expected,source,note
Омск,54.99,73.37,1918-11-15,directory,empire,"Временное Всероссийское правительство (Уфимская директория); data/crosscheck/siberia_actors_1917_1925.md","03.11.1918 Сибирское правительство отменило декларацию и сдало власть Директории, 04.11 его министерства стали всероссийским Советом министров - окно самостоятельности к этому срезу закрыто"
Омск,54.99,73.37,1919-03-01,kolchak,empire,"Smele, Civil War in Siberia (1996)",столица Колчака - империя, а не отдельная Сибирь
Омск,54.99,73.37,1919-10-15,kolchak,empire,"Smele, Civil War in Siberia (1996)",столица Колчака до 14.11.1919
Омск,54.99,73.37,1919-11-20,bolsheviks,empire,"Директивы командования фронтов РККА, т. 2",РККА взяла Омск 14.11.1919
Томск,56.49,84.97,1918-09-01,siberia,not_empire,"Декларация о государственной самостоятельности Сибири 04.07.1918; решение куратора 18.08.2026","Сибирская областная дума в Томске; 21.09.1918 её здание займут войска с арестом части депутатов, 10.11.1918 дума самораспустится"
Новониколаевск,55.03,82.92,1919-11-20,kolchak,empire,"Smele, Civil War in Siberia (1996)",РККА возьмёт город 14.12.1919
Красноярск,56.01,92.87,1919-12-17,kolchak,empire,"Smele, Civil War in Siberia (1996)",РККА возьмёт Красноярск 07.01.1920
Иркутск,52.29,104.28,1919-12-17,whites,empire,"Smele, Civil War in Siberia (1996)",Политцентр и РККА возьмут Иркутск в январе-марте 1920
Иркутск,52.29,104.28,1920-03-20,bolsheviks,empire,"Smele, Civil War in Siberia (1996)",РККА в Иркутске 07.03.1920
Чита,52.03,113.50,1920-03-20,semenov,empire,"Smele, Civil War in Siberia (1996)","«читинская пробка» Семёнова: атаман - имперская фракция, взят 22.10.1920"
Владивосток,43.12,131.89,1919-10-15,whites_entente,empire,"Smele, Civil War in Siberia (1996)",интервенция с русской белой администрацией (Хорват, Розанов) до 25.10.1922
Владивосток,43.12,131.89,1920-11-17,dvr,empire,"ГВЭ 2010, Дальневосточная республика",буфер ДВР - имперская конструкция
Якутск,62.03,129.73,1918-09-01,siberia,not_empire,"Декларация о государственной самостоятельности Сибири 04.07.1918","якутские органы работали внутри сибирской рамки; окно закроется 03.11.1918 передачей власти Директории"
Якутск,62.03,129.73,1919-01-01,whites,empire,"ГВЭ 2010","после переворота Колчака Якутия - белый тыл, то есть империя (баг, пойманный куратором)"
Якутск,62.03,129.73,1920-03-20,bolsheviks,empire,"ГВЭ 2010",советская власть в Якутске восстановлена 15.12.1919
Семипалатинск,50.41,80.23,1918-11-15,alash,not_empire,"ГВЭ 2010; II Всеказахский съезд 13.12.1917","Алаш-Орда (восточное отделение); автономия ликвидирована 09.03.1920"
Ташкент,41.31,69.24,1918-08-15,bolsheviks,empire,"ГВЭ 2010, Туркестанская АССР",Туркестанская АССР - отрезанный от Москвы анклав той же империи
Ташкент,41.31,69.24,1918-11-15,bolsheviks,empire,"ГВЭ 2010, Туркестанская АССР",анклав Туркестанской АССР
Верный,43.24,76.89,1919-06-01,bolsheviks,empire,"ГВЭ 2010, Семиреченский фронт",Семиречье в составе Туркестанской АССР
Хива,41.38,60.36,1919-06-01,khiva,not_empire,"ГВЭ 2010, Хивинский поход",Хивинское ханство до 02.02.1920
Хива,41.38,60.36,1920-03-20,bolsheviks,empire,"ГВЭ 2010, Хорезмская НСР 26.04.1920",РККА взяла Хиву 02.02.1920
Бухара,39.77,64.42,1920-05-08,emirate,not_empire,"ГВЭ 2010, Бухарская операция",эмират до 02.09.1920
Бухара,39.77,64.42,1920-11-01,bolsheviks,empire,"ГВЭ 2010, Бухарская НСР 08.10.1920",РККА взяла Бухару 02.09.1920
Ашхабад,37.95,58.38,1919-02-06,transcaspia,empire,"ГВЭ 2010, Закаспийский фронт","Закаспийское временное правительство - русская белая администрация под британской интервенцией, империя"
Ашхабад,37.95,58.38,1920-03-20,bolsheviks,empire,"ГВЭ 2010, Закаспийский фронт","РККА взяла Ашхабад 09.07.1919, Красноводск 06.02.1920"
