city,lat,lon,start,lost,liberated,changes,region,anchor,source,note
Иловайск,47.9248,38.1976,foreign,,,2014-04-16:empire;2014-08-18:foreign;2014-08-29:empire,Донецкая область,yes,"УВКПЧ ООН, доклад о нарушениях прав человека в контексте иловайских событий августа 2014 года, п. 35, 37, 72-74","украинские батальоны вошли в город 18.08.2014, к 27.08 были окружены, 29.08 при выходе колонны по «зелёному коридору» расстреляны; дата первого захвата весной не найдена ни в одном источнике - день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Комсомольское,47.6688,38.0739,foreign,2014-08-27,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"сегодня Кальмиусское; день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Константиновка,48.5349,37.6924,foreign,2014-04-28,2014-07-05,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
Краматорск,48.7389,37.5844,foreign,2014-04-12,2014-07-05,,Донецкая область,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 52, 185, 211",
Красный Лиман,48.9801,37.8168,foreign,2014-04-12,2014-06-04,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"сегодня Лиман; вернулся под контроль Украины в начале июня, а не в ходе июльского наступления"
Курахово,47.9835,37.2826,foreign,,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,в 2014-2015 годах остался под контролем Украины
Логвиново,48.3790,38.3468,foreign,,,2014-04-16:empire;2014-07-28:foreign;2015-02-09:empire,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,09.02.2015 занятием Логвинова перерезана дорога на Дебальцево - «котёл» закрылся; попытка отбить село 13-14.02.2015 не удалась
Макеевка,48.0448,37.9635,foreign,2014-04-13,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
Мангуш,47.0568,37.3078,foreign,2022-03-01,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"в 2014 году под контроль вооружённых формирований не переходил; занят в начале марта 2022 года при обходе Мариуполя с запада, день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Мариуполь,47.0958,37.5500,foreign,,,2014-04-13:empire;2014-06-13:foreign;2022-04-21:empire,Донецкая область,yes,"УВКПЧ ООН, доклад о положении с правами человека в Украине от 15.06.2014, п. 189","контроль переходил из рук в руки: 13.04.2014 занято здание горсовета, 09.05.2014 - штурм здания милиции (ЕСПЧ, § 187), 13.06.2014 город очищен. За датой 13.06.2014 стоит только пресса - документа уровня ООН или Европейского суда по правам человека на неё нет. В 2022 году город с 24.02 в блокаде, но до 02.04.2022 занят не был. 21.04.2022 российская сторона объявила город занятым, «Азовсталь» держалась до 20.05.2022 - на снимке DeepStateMAP от 30.04.2022 город закрашен занятым"
Марьинка,47.9401,37.5022,foreign,2014-04-16,2014-08-05,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата захвата: день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Николаевка,48.8611,37.7619,foreign,2014-04-16,2014-07-04,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата захвата: день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Новоазовск,47.1139,38.0831,foreign,2014-08-27,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"в апреле 2014 года над зданием администрации подняли флаг, но город остался украинским; военное занятие - 27.08.2014, с ним открылась приморская полоса на Мариуполь"
Пески,48.0660,37.6745,foreign,,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,село под аэропортом оставалось за украинскими войсками весь период
Покровск,48.2771,37.1772,foreign,,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"01.05.2014 над горсоветом на день подняли флаг «ДНР», контроля это не дало. Прежнее, советское имя города снято переименованием 2016 года"
Северск,48.8676,38.0902,foreign,2014-04-18,2014-07-10,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
Селидово,48.1501,37.3019,foreign,,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
Славянск,48.8523,37.6058,foreign,2014-04-12,2014-07-05,,Донецкая область,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 52, 55, 66",12.04.2014 группа под командой Игоря Гиркина заняла здания в Славянске; к 20.04.2014 город был под вооружёнными формированиями целиком (§ 55); 05.07.2014 они отошли из Славянска и окрестных городов к Донецку (§ 66)
Снежное,48.0221,38.7635,foreign,2014-04-29,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,дату даёт один вторичный источник
Соледар,48.6957,38.0672,foreign,2014-04-12,2014-07-21,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата захвата: взят в одном кусте со Славянском, отдельного пруфа нет"
Старобешево,47.7498,38.0252,foreign,2014-08-27,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"как и в Новоазовске, апрельский флаг на здании администрации - не занятие города; военное занятие - конец августа 2014 года"
Тельманово,47.4125,38.0187,foreign,2014-08-27,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"сегодня Бойковское; день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Торез,48.0261,38.6181,foreign,2014-04-29,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дату даёт один вторичный источник; вблизи города 17.07.2014 сбит рейс MH17 - территория тогда была под вооружёнными формированиями (ЕСПЧ, § 69)"
Углегорск,48.3120,38.2609,foreign,,,2014-04-16:empire;2014-08-12:foreign;2015-01-29:empire,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата январского взятия расходится: 29.01.2015 (украинские и англоязычные источники) против 30-31.01.2015 (российские); дата захвата весной 2014 - день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Угледар,47.7810,37.2461,foreign,,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
Харцызск,48.0340,38.1498,foreign,2014-04-14,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
Чернухино,48.3278,38.5019,foreign,,,2014-04-16:empire;2014-07-28:foreign;2015-02-18:empire,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"посёлок в дебальцевском выступе, идёт за Дебальцевом; день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Шахтёрск,48.0550,38.4459,foreign,2014-04-15,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"31.07.2014 украинские подразделения вошли на окраины, контроля над городом не установили"
Ямполь,48.9401,37.9601,foreign,2014-04-16,2014-06-19,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата захвата: день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Ясиноватая,48.1271,37.8590,foreign,2014-04-13,,,Донецкая область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,узел под контролем «ДНР» непрерывно до 2022 года; сообщение о взятии украинскими войсками 17.08.2014 другими источниками не подтверждается
Армянск,46.1133,33.6904,foreign,2014-02-27,,,Крым,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 46","полуостров в слое не красится этим билдером (его красит собственный эпизод), но как якорь он нужен: с него шло наступление на юг Украины в 2022 году"
Джанкой,45.7120,34.3927,foreign,2014-02-27,,,Крым,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 46","полуостров в слое не красится этим билдером (его красит собственный эпизод), но как якорь он нужен: с него шло наступление на юг Украины в 2022 году"
Евпатория,45.1943,33.3748,foreign,2014-02-27,,,Крым,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 46","полуостров в слое не красится этим билдером (его красит собственный эпизод), но как якорь он нужен: с него шло наступление на юг Украины в 2022 году"
Керчь,45.3636,36.6115,foreign,2014-02-27,,,Крым,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 46","полуостров в слое не красится этим билдером (его красит собственный эпизод), но как якорь он нужен: с него шло наступление на юг Украины в 2022 году"
Севастополь,44.5737,33.4006,foreign,2014-02-27,,,Крым,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 46","полуостров в слое не красится этим билдером (его красит собственный эпизод), но как якорь он нужен: с него шло наступление на юг Украины в 2022 году"
Симферополь,44.9521,34.1025,foreign,2014-02-27,,,Крым,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 46","полуостров в слое не красится этим билдером (его красит собственный эпизод), но как якорь он нужен: с него шло наступление на юг Украины в 2022 году"
Алчевск,48.4702,38.8010,foreign,2014-04-30,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
Антрацит,48.1164,39.0886,foreign,2014-05-05,,,Луганская область,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 58",Европейский суд по правам человека датирует «началом мая 2014 года» приход в Антрацит первых казачьих отрядов под командой Николая Козицына; часть источников говорит об апреле
Беловодск,49.2068,39.5912,foreign,2022-02-24,,,Луганская область,yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)","приграничный райцентр: в 2014-2015 годах под контролем Украины, занят в первые дни вторжения 2022 года"
Белокуракино,49.5264,38.7354,foreign,2022-03-01,,,Луганская область,yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",то же приближение
Брянка,48.5036,38.6643,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"встречающаяся дата «с 07.04.2014» - административная, привязанная к захвату здания Службы безопасности в Луганске, а не к занятию самого города"
Дьяково,47.9436,39.1285,foreign,2014-08-07,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"пограничная полоса, которую до августа 2014 года держали украинские войска сектора Д; отдельных дат по сёлам источники не дают - день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Изварино,48.2858,39.8913,foreign,2014-08-07,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"пункт пропуска на границе: украинские пограничники держали его до 07.08.2014, когда его заняли в ходе августовского вторжения. Источники путают статус пункта пропуска и статус самого посёлка"
Кировск,48.6414,38.6479,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"сегодня Голубовка; день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Красная Таловка,48.8449,39.8423,foreign,2022-02-24,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"пограничное село севернее Станицы Луганской: в 2014-2015 годах осталось под контролем Украины, занято в первый день вторжения 2022 года"
Краснодон,48.2951,39.7297,foreign,2014-04-29,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"сегодня Сорокино; день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Красный Луч,48.1351,38.9199,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,сегодня Хрустальный; под контроль Украины не возвращался
Кременная,49.0463,38.2179,foreign,2022-04-18,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"в 2014 году под контроль вооружённых формирований не переходила; занята 18.04.2022 - на снимке DeepStateMAP от 03.04.2022 город ещё украинский, на снимке от 30.04.2022 уже занят"
Лисичанск,48.9173,38.4286,foreign,2014-05-22,2014-07-24,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,сто два дня под вооружёнными формированиями
Луганск,48.5717,39.2973,foreign,2014-04-06,,,Луганская область,yes,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 50, 56","06.04.2014 занято здание областного управления Службы безопасности Украины, 27.04 объявлена «ЛНР», 29.04 захвачено здание областной администрации"
Луганский аэропорт,48.4175,39.3739,foreign,2014-09-01,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"оборона держалась с апреля 2014 года, последний день - 31.08.2014, аэропорт оставлен в ночь на 1 сентября. Координаты поставлены вручную: в OpenStreetMap объект как населённый пункт не ищется"
Лутугино,48.4008,39.1981,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Марковка,49.5239,39.5682,foreign,2022-02-24,,,Луганская область,yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)","приграничный пункт, занят в первый день вторжения"
Меловое,49.3801,40.1255,foreign,2022-02-24,,,Луганская область,yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)","приграничный пункт, занят в первый день вторжения"
Новоайдар,48.9596,38.9938,foreign,,,2014-05-11:empire;2014-05-14:foreign;2022-02-25:empire,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"в 2014 году оккупация длилась три дня; в 2022 году занят в первые дни вторжения, на снимке DeepStateMAP от 03.04.2022 - занят"
Первомайск,48.6252,38.5373,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,под контроль Украины не возвращался
Перевальск,48.4374,38.8078,foreign,2014-06-01,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,источники дают «начало июня 2014 года»
Попасная,48.6323,38.3777,foreign,2014-05-02,2014-07-22,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата захвата: день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение; операция за город шла 18-22.07.2014"
Ровеньки,48.0898,39.3680,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,источники расходятся: 07.04.2014 (административная дата) или май 2014 года
Рубежное,49.0329,38.3726,foreign,,,2014-05-22:empire;2014-07-21:foreign;2022-03-16:empire,Луганская область,yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)","дата захвата 2014 года: день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение. В 2022 году источники дают середину марта, на снимке DeepStateMAP от 03.04.2022 город занят"
Сватово,49.4177,38.1457,foreign,2022-03-06,,,Луганская область,yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)","в 2014 году не переходил; дата 2022 года - приближение по окну первых дней вторжения, точного числа в источниках нет, на снимке от 03.04.2022 занят"
Свердловск,48.0811,39.6426,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"сегодня Довжанск; день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Северодонецк,48.9479,38.4936,foreign,2014-05-22,2014-07-22,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,
Славяносербск,48.6947,38.9863,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Станица Луганская,48.6430,39.4957,foreign,,,2014-04-16:empire;2014-06-14:foreign;2022-02-24:empire,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"хронология «маятниковая»: первый вход украинских войск 14.06.2014, окончательно закрепились к 21.08.2014"
Станично-Луганское село,48.6519,39.5350,foreign,2022-02-24,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,село Валуйское под Станицей Луганской; в 2014-2015 годах под контролем Украины
Старобельск,49.2822,38.8974,foreign,2022-02-25,,,Луганская область,yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",то же приближение
Стаханов,48.5596,38.6500,foreign,2014-05-02,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"сегодня Кадиевка; источники дают окно 28.04-02.05.2014, под контроль Украины город больше не возвращался"
Счастье,48.7453,39.1711,foreign,,,2014-04-16:empire;2014-06-14:foreign;2022-02-24:empire,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"дата захвата 2014 года: день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Троицкое,49.9074,38.2868,foreign,2022-03-01,,,Луганская область,yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",то же приближение
Червонопартизанск,48.0762,39.7736,foreign,2014-08-07,,,Луганская область,yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"сегодня Вознесеновка; пограничный пункт пропуска, утрачен в том же августовском вторжении"
Ахтырка,50.3115,34.8869,foreign,,,,"Украина, вне зоны занятия",yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,атака 24.02.2022 отбита
Барвенково,48.9030,37.0246,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Белая Церковь,49.7970,30.1158,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Бровары,50.5111,30.7900,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Васильков,50.1781,30.3175,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Великая Новосёлка,47.8437,36.8396,foreign,,,,"Украина, вне зоны занятия",yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"на снимке DeepStateMAP от 03.04.2022 пункт закрашен занятым, но украинский контроль там держался до 2025 года - расхождение записано, за якорем оставлена украинская сторона"
Винница,49.2320,28.4680,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Вознесенск,47.5680,31.3339,foreign,,,,"Украина, вне зоны занятия",yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,атака 2-9 марта 2022 года отбита
Вышгород,50.5824,30.4851,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Гуляйполе,47.6655,36.2657,foreign,,,,"Украина, вне зоны занятия",yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"российские подразделения входили 05.03.2022, были выбиты; на снимке DeepStateMAP от 03.04.2022 город украинский"
Днепр,49.6243,31.6667,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Житомир,50.2601,28.6696,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Запорожье,47.8508,35.1183,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Ивано-Франковск,48.9225,24.7103,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Ичня,50.8623,32.3910,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Киев,50.4500,30.5241,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Козелец,50.9161,31.1168,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Коростень,50.9491,28.6418,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Кременчуг,49.0929,33.4308,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Кривой Рог,47.9103,33.3918,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Кропивницкий,48.5106,32.2656,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Лебедин,50.5810,34.4753,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Лозовая,48.8842,36.3160,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Луцк,50.7451,25.3201,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Львов,49.8420,24.0316,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Нежин,51.0465,31.8806,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Николаев,46.9759,31.9940,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Никополь,47.5692,34.3917,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Обухов,50.1102,30.6270,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Овруч,51.3260,28.8027,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Одесса,46.4843,30.7323,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Орехов,47.5754,35.7855,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
