city,lat,lon,start,start_day,end_day,changes,theatre,anchor,source,note
Рига,56.9496,24.1052,foreign,,,1919-01-03:empire;1919-05-22:foreign,балтия,yes,"Директивы Главкома, примечание сборника №34 с.145-146 («3 января вступили в Ригу») — НОВОЕ прямое подтверждение; директива №606/ш ~6.01.1919 («ввиду взятия Риги»); доклад №289 24.06.1919 (потеря, уже было)","03.01 ПОДТВЕРЖДЕНО документом дословно и точно (редакционное примечание сборника 1969, не пересказ вики) — апгрейд с «вики+косвенно»; 22.05 подтверждено документом (без изменений, было и в старом файле) | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Елгава,56.6511,23.7214,foreign,,,1919-01-09:empire;1919-03-18:foreign,балтия,yes,"lv.wiki; Директивы Главкома №491/ш 15.12.1918 (ещё цель), №606/ш ~6.01.1919 (ещё цель), №156 20.01.1919 (уже удерживается) — бракетируют; примечание №59 (контекст марта)","09.01 не дано документом дословно, но БРАКЕТИРОВАНО (не взята 15.12 и 6.01, удерживается 20.01); 18.03 контекст подтверждён («в начале марта» наступление на Митаву), точный день — вторичная литература | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Даугавпилс,55.8747,26.5364,empire,,,1918-02-18:foreign;1918-12-09:empire;1920-01-03:foreign,балтия,yes,"lsm.lv (герм.оккупация); Директивы Главкома, «Перечень документов» — «9 декабря. Директива... о создании укрепленной позиции вокруг Двинска» (НОВОЕ точное совпадение) + записи 01.06.1919, 27.08.1919 (удержание), 06-08.01.1920 (кризис)","18.02 документа не найдено; 09.12 ПОДТВЕРЖДЕНО документом — дата документа ТОЧНО совпадает с датой события (сверх уже бывшей в старом файле цитаты); 03.01.1920 контекст усилен (кризисные донесения 6-8.01.1920), точный день — общеизвестная операция | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Резекне,56.5089,27.3319,empire,,,1918-02-21:foreign;1918-12-01:empire;1920-01-21:foreign,балтия,yes,"lv.wiki Rēzeknes atbrīvošana (1920); Директивы Главкома, доклад Главкому №129 «Январь 1919 г.» («Режица — Валк — Гайнаш» как линия фронта) — контекст","21.02.1918 документа не найдено; 01.12.1918 контекст подтверждён (Режица уже в глубоком тылу фронта на январь 1919), точный день не найден; 21.01.1920 подтверждено документом дословно (без изменений, было в старом файле) | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Лудза,56.5478,27.7178,empire,,,1918-02-25:foreign;1918-12-01:empire;1920-01-26:foreign,балтия,yes,"Директивы Главкома док.№10/21 с.29 (страница уточнена, было ~21); веб (Латгальская операция)","25.02.1918 ПОДТВЕРЖДЕНО документом (без изменения даты, была и в старом файле — здесь только уточнена страница источника: с.29, не ~21); 01.12.1918 документа не найдено; 26.01.1920 документа не найдено | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Лиепая,56.5053,21.0107,foreign,,,,балтия,yes,"Директивы Главкома, примечания сборника №28 с.133 (брит.эскадра свободно в Либаве 1.12.1918) и №34 с.145-146 (туда бежало правительство Латвии) — НОВОЕ; lsm.lv","негативный факт («никогда не взята») ПОДТВЕРЖДЁН документом дважды (два редакционных примечания академического сборника 1969), сверх прежнего lsm.lv | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Вентспилс,57.3894,21.5606,foreign,,,1919-01-31:empire;1919-02-24:foreign,балтия,yes,"Директивы Главкома, примечание сборника №59 с.800 (аннотирует документ на с.363) — НОВОЕ, разрешает старое противоречие","СТАРОЕ ПРОТИВОРЕЧИЕ РАЗРЕШЕНО: взятие красными «в конце января 1919» (точный день источник не называет — условно взят последний день месяца, 31.01) и потеря Балтийскому ландесверу ТОЧНО 24.02.1919 (документ называет день). Мартовская директива о десантах в Виндаве (была в старом файле) теперь непротиворечива — к марту Виндава уже 6 дней не советская | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Тукумс,56.9678,23.1547,foreign,,,1919-01-03:empire;1919-03-15:foreign,балтия,yes,"lsm.lv; militaryheritagetourism.info; Директивы Главкома №156 20.01.1919 (контекст удержания), примечание №59 (контекст марта)","03.01 контекст усилен (на 20.01 уже удерживается), точный день — вторичная лит-ра; 15.03 контекст подтверждён (наступление «в начале марта» на Тукум), точный день — вторичная лит-ра | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Вильнюс,54.6872,25.2797,foreign,,,1919-01-05:empire;1919-04-20:foreign;1920-07-14:empire;1920-08-26:foreign,балтия,yes,"Директивы Главкома №614/ш(6.01) и №649/ш(12.01, «ввиду достижения линии Вильно») — бракетируют 05.01; доклад №289 + отдельное редакц. примечание сборника (оба подтверждают 20.04); en.wiki (даты 1920, без изменений)","05.01 БРАКЕТИРОВАНО документом (директива от 6.01 обсуждает продвижение УЖЕ ЗА Вильно, директива от 12.01 прямо говорит «ввиду достижения» этой линии), точный день — вики; 20.04 ПОДТВЕРЖДЕНО документом дважды (основной текст доклада №289 и отдельное редакционное примечание того же сборника); 14.07.1920 и 26.08.1920 документа не найдено | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Каунас,54.8985,23.9036,foreign,,,,балтия,yes,"en.wiki Lithuanian-Soviet War; Директивы Главкома №150(6.01, только разведка), №754/ш(31.01, приказ взять силой — не взят), №311(22.02, только разведка) — НОВОЕ тройное подтверждение",негативный факт («большевиками не взят») ПОДТВЕРЖДЁН документом трижды на протяжении января-февраля 1919 (сверх прежнего en.wiki) | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md
Шяуляй,55.9349,23.3140,foreign,,,1919-01-15:empire;1919-03-11:foreign,балтия,yes,"веб (karys.lt и др.); Директивы Главкома №150(6.01, ещё цель), №156(20.01, уже удерживается) — бракетируют; примечание №59 (контекст марта)","15.01 не дано документом дословно, но БРАКЕТИРОВАНО (цель на 6.01, удерживается на 20.01); 11.03 контекст подтверждён («в начале марта» наступление на Шавли), точный день — вторичная лит-ра | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Паневежис,55.7347,24.3571,foreign,,,1919-01-09:empire;1919-03-24:foreign;1919-04-04:empire;1919-05-20:foreign;1919-05-21:empire;1919-05-23:foreign,балтия,yes,"en.wiki Lithuanian-Soviet War; Директивы Главкома №150(6.01, ещё цель), №156(20.01, уже удерживается), доклад №289(22.05, «давил со стороны Поневежа»)","09.01 БРАКЕТИРОВАНО документом (цель на 6.01, удерживается на 20.01); 24.03, 04.04, 20.05, 21.05 документа не найдено (только вики, без изменений); 23.05 (окончательный уход) — контекст усилен (доклад от 24.06.1919 фиксирует давление со стороны Поневежа уже на ~22.05, за день до финальной даты — согласуется), точный день — вики | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Гродно,53.6884,23.8258,foreign,,,1920-07-19:empire;1920-09-26:foreign,балтия,yes,"Директивы Главкома №754/ш(31.01.1919, приказ взять силой — закрывает пробел старого файла для 1919); телеграмма №636 Каменева 23.07.1920 («19 числа занят Гродно») — НОВОЕ точное подтверждение; запись 24.09.1920 («литовский участок») — контекст; en.wiki, ru.wiki (без изменений для 26.09)","НЕГАТИВНЫЙ факт 1919 (не входил в Литбел) ПОДТВЕРЖДЁН документом — было «нужен документ» в старом файле, теперь закрыто; 19.07.1920 ПОДТВЕРЖДЕНО документом дословно (прямая цитата оперативной телеграммы Главкома — апгрейд с «2 независимых вики»); 26.09.1920 документа не найдено для точного дня (контекст усилен директивой от 24.09 о «литовском участке») | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Алуксне,57.4225,27.0450,empire,,,1918-02-27:foreign;1918-12-07:empire;1919-01-31:foreign,балтия,yes,"en.wiki Latvian War of Independence; Директивы Главкома, доклад №129 «Январь 1919 г.» («Ревель — Валк — Мариенбург — Остров» как линия фронта) — контекст","доп., не входил в список задания; контекст декабрьского удержания подтверждён документом (город в линии фронта на январь 1919), точные дни (27.02, 07.12, 31.01) документа не найдено | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Гулбене,57.1667,26.7500,empire,,,1918-02-28:foreign,балтия,no,веб (sargs.lv/lsm.lv хронология 1918),"НЕ ГОЛОСУЕТ: взятие красными в декабре 1918 года и уход в 1919 году розыск не проверял (b6_baltia_1917_1920.csv: «взятие красными в 1918/19 не проверялось»); с одной февральской датой якорь давал дыру посреди Латвийской ССР. | доп., не входил в список задания; документа не найдено, без изменений | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Зилупе,56.3833,28.1167,empire,,,1918-02-25:foreign;1918-12-01:empire;1920-02-01:foreign,балтия,yes,lv.wiki (латгальская операция),"доп., не входил в список задания; документа не найдено ни для одной даты (по аналогии с Резекне/Лудзой — тот же уезд, но отдельно не встретилось в документах), без изменений | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Тапа,59.2611,25.9550,empire,,,1918-02-26:foreign;1918-12-24:empire;1919-01-09:foreign,балтия,yes,"en.wiki Estonian War of Independence; Директивы Главкома, доклад ~9.01.1919 («Тапса, Везенберга и Нарвы» — укрепления) — контекст","доп., не входил в список задания; контекст удержания на 9.01.1919 подтверждён документом (узловая станция ещё наша и укрепляется в тот же день, когда по CSV она формально уже потеряна — не противоречие, а точное попадание в день перелома); точные дни всех трёх смен — документа не найдено | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_baltia_1917_1920_sverka.md"
Лида,53.8916,25.3023,foreign,,,1919-02-10:empire;1919-04-17:foreign;1920-07-17:empire;1920-09-28:foreign,польша,yes,"ru.wikipedia «Бои за Лиду (1919)» (ссылка на А.П.Грицкевич «Западный фронт РСФСР 1918-1920»): «16 апреля 1919 года в 5 часов утра группа начала наступление на Лиду», «к 5 часам утра Лида была захвачена» (польскими войсками); тот же источник, контекст: «23 марта 1919 года польский рейдовый отряд… атаковал Лиду и занял казармы, но был выбит советскими войсками» (город ещё наш); обзорные вторичные источники (WielkaHistoria и агрегаторы на базе английской и белорусской статей): «by the beginning of February 1919 the Red Army... [occupied]... Lida», «From April 17, 1919 to July 17, 1920, the Lida region was occupied by Polish forces»; kresy.pl «Bitwa niemeńska 20–29 września 1920», dzieje.pl (Лида взята 28.09.1920, на следующий день — визит Пилсудского и Рыдз-Смиглы)","10.02.1919 — ОЦЕНКА (документ и точная дата не найдены, только общее «к началу февраля»); 17.04.1919 подтверждено дословно ru.wiki с опорой на Грицкевича — это дата, которую куратор уже держал в задании; 17.07.1920 — только вторичный агрегатор без сноски на первоисточник, документа не найдено, но дата правдоподобна (Лида на трассе Вильна—Гродно, взята за два дня до Гродно 19.07); 28.09.1920 — вторичная лит-ра о Неманской операции, день конкретный | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_front1920_polsha_2026-09-22.md"
Волковыск,53.1647,24.4582,foreign,,,1920-07-24:empire;1920-09-23:foreign,польша,yes,"pl.wikipedia «Wołkowysk» (сырой wikitext через action=raw): «24 lipca 1920 – wyparcie sił polskich, zajęcie miasta przez bolszewicką 16 Armię», ссылка на Wyszczelski L. «Wojna polsko-rosyjska 1919–1920», t.1, s.600, гл. «Odwrót znad Auty i Berezyny»; Директивы Главкома, докладная записка №5162/оп 993/ш 24.08.1920 17:50, Минск: «Запфронт уже выстраивается по линии Волковыск — Пружаны — Кобрин — все пункты в наших руках» (файл baltia1917_direktivy_glavkoma_krasnoy_armii_1969_djvu.txt, строка ~38658); kresy.pl «Bitwa niemeńska 20–29 września 1920»: «23 września части 4 Armii начали атаку на Wołkowysk… захвачен тем же вечером»","24.07.1920 подтверждено вторичной академической лит-рой с постраничной сноской (Вышчельский); 24.08.1920 (город ещё наш) ПОДТВЕРЖДЕНО ПЕРВИЧНЫМ документом дословно; 23.09.1920 вечером — вторичная лит-ра о Неманской операции, день конкретный, но сам документ Генштаба не вскрыт | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_front1920_polsha_2026-09-22.md"
Барановичи,53.1323,26.0184,foreign,,,1919-02-01:empire;1919-04-19:foreign;1920-07-20:empire;1920-09-30:foreign,польша,yes,"pl.wikipedia «Baranowicze» (сырой wikitext): «18 kwietnia 1919 siły polskie ponownie zaatakowały Baranowicze… 19 kwietnia dokonano szturmu i do godziny 7:00 całkowicie oczyszczono miasto», а также контекст «18 marca 1919 polski oddział kawalerii 13 pułku Ułanów Wileńskich… dokonał rajdu i przejściowo odbił Baranowicze» (город наш и в марте); Директивы Главкома, директива №4502/оп 956/ш 30.07.1920: «продвижение 16 армии Западного фронта, наступающей через Барановичи на Волковыск» (файл …, строка ~38135 — контекст, город уже позади фронта к 30.07); открытые пересказы коммюнике польского Генштаба от 30.09.1920: «Wielkopolska group, наступая со стороны Слонима, взяла Барановичи 30-го числа»","01.02.1919 — ОЦЕНКА (не найдено, по аналогии с общим занятием региона Западной армией к началу 1919, см. Лида/Пинск); 19.04.1919 подтверждено дословно польским источником дважды (штурм и более ранний мартовский рейд); 20.07.1920 — БРАКЕТИРОВАНО документом (директива 30.07 говорит о 16-й армии уже ЗА Барановичами на пути к Волковыску, взятому 24.07 — Барановичи должны быть взяты раньше; Слоним рядом по документу взят 22.07, дата Барановичей поставлена на день раньше как оценка, точный день документа не найдено); 30.09.1920 — вторичный пересказ коммюнике, дата конкретная, но сам оригинал коммюнике не вскрыт | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_front1920_polsha_2026-09-22.md"
Слоним,53.0927,25.3193,foreign,,,1920-07-22:empire;1920-09-24:foreign,польша,yes,"Директивы Главкома, записка Каменева Склянскому №2155/сек 23.07.1920 18:55 (документ №636 сборника): «Сейчас в Смоленске… 19 числа занят Гродно, а вчера Слоним» (файл baltia1917_direktivy_glavkoma_krasnoy_armii_1969_djvu.txt, строка 40014); дата ухода — не найдено, оценка интерполяцией между соседями (Волковыск 23.09 вечером, Гродно 26.09)","22.07.1920 ПОДТВЕРЖДЕНО документом дословно (прямая цитата оперативной телеграммы Главкома; «вчера» считается от даты документа 23.07.1920); дата ухода (24.09.1920) — ОЦЕНКА, ни документа, ни вторичной лит-ры с точным днём не найдено; город лежит географически между Волковыском и Барановичами, взятыми 23.09 и 30.09 — дата подобрана внутри этого окна | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_front1920_polsha_2026-09-22.md"
Пинск,52.1114,26.1025,foreign,,,1919-01-15:empire;1919-03-05:foreign;1920-07-15:empire;1920-09-26:foreign,польша,yes,"historia.org.pl «Wojna polsko-bolszewicka 1919–1921 – kalendarium», dzieje.pl «Kalendarium wojny polsko-bolszewickiej»: «Polskie wojska zdobyły Pińsk 5 marca 1919» (в числе первых польских успехов, вместе со взятием Nowogródek и Wilna в начале апреля генералом Шептицким); обзорный контекст (агрегатор): «Zachodnia Armia zajęła… Pińsk» к началу 1919; Директивы Главкома — Пинск в сборнике почти не упоминается отдельной строкой для 1920 года, только в общих перечислениях рубежей Мозырской группы; przystanekhistoria.pl «Stanisław Bułak-Bałachowicz i jego żołnierze»: Пинск взят силами ген. Булак-Балаховича 26.09.1920 в 16:00, взято 2400 пленных, включая штаб 4-й советской армии, 280 вагонов имущества","15.01.1919 — ОЦЕНКА (точного дня не найдено, только общий контекст занятия Полесья Западной армией к началу 1919); 05.03.1919 подтверждено вторичной лит-рой дважды независимо (historia.org.pl и dzieje.pl согласуются) — дата, которую куратор уже держал в задании; 15.07.1920 — ОЦЕНКА (документ прямо не называет день взятия Пинска в 1920 году, только общий контекст «за две недели» вместе с Минском 11.07 и Гродно 19.07 — Пинск южнее по Полесью, темп мог отличаться, поставлена середина интервала); 26.09.1920 16:00 подробно подтверждено вторичной лит-рой (число пленных, взят штаб армии противника), но сам оригинал донесения Булак-Балаховича не вскрыт | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_front1920_polsha_2026-09-22.md"
Белосток,53.1324,23.1592,foreign,,,1920-07-28:empire;1920-08-22:foreign,польша,yes,"en.wikipedia «Provisional Polish Revolutionary Committee»: «Białystok was the first major city west of the Curzon line, occupied by the Red Army on 28 July 1920»; там же — манифест Польревкома формально датирован 30 июля, но «Marchlewski… arrived in Białystok… on the night of 1–2 August»; портал 1920.gov.pl («30 lipca 1920») — текст манифеста Польревкома; wszystkoconajwazniejsze.pl / dzieje.pl «Bitwa białostocka 1920»: «22 sierpnia 1920… 1 pułk piechoty Legionów i wycofujące się spod Warszawy resztki 16 Armii… Białystok… odbity przez Polaków»; TwojaHistoria.pl даёт более широкий диапазон боя 20–23 sierpnia","28.07.1920 подтверждено дважды независимо (англ.вики и польский государственный историч. портал 1920.gov.pl, оба согласуются про занятие красными и последующее — с разрывом в несколько дней — провозглашение Польревкома); 22.08.1920 — вторичная лит-ра, один источник называет точный день боя, другой (TwojaHistoria) даёт более широкий диапазон 20–23.08 без уточнения дня взятия; документа 1969 года не найдено (Белосток в нём не упоминается по имени) | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_front1920_polsha_2026-09-22.md"
Брест-Литовск,52.0955,23.6941,foreign,,,1920-08-01:empire;1920-08-19:foreign,польша,yes,"ru.wikipedia «Первая битва за Брест (1920)» (ссылки на М.Тухачевский «Поход за Вислу», Ю.Пилсудский «Война 1920 года», А.П.Грицкевич «Западный фронт РСФСР 1918-1920»): «В 12 часов дня 1 августа… советская 10-я стрелковая дивизия атаковала польские позиции», «Крепость была покинута в ночь с 1 на 2 августа»; Директивы Главкома, директива №4578/оп 987/ш 03.08.1920 12:30: «С форсированием… и овладением Брест-Литовском наступает время объединения…» (файл baltia1917_direktivy_glavkoma_krasnoy_armii_1969_djvu.txt, строка ~40132 — бракетирует дату между приказом от 22.07 «не позднее 4 августа» и этим докладом от 3.08); svoboda.org «Город на границе»: «Советская власть просуществовала ещё 18 дней… 19 августа 1920 г. Брест-Литовск был снова оккупирован польскими войсками»","01.08.1920 ПОДТВЕРЖДЕНО дважды: ru.wiki дословно (час атаки, номер дивизии, командиры Соллогуб/Хвесин/Сикорский) и ПЕРВИЧНЫМ документом (директива от 3.08 говорит о городе как уже взятом — бракетирует дату между 22.07 и 3.08); 19.08.1920 — вторичный источник (радио «Свобода»), арифметика «1 авг + 18 дней = 19 авг» сходится с независимым источником, но дословной директивы о потере Бреста в сборнике 1969 года не найдено (документ обрывается на теме Бреста после 3.08) | даты н. ст.; сторона start - на 25.12.1917; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_front1920_polsha_2026-09-22.md"
