city,lat,lon,date,controller,expected,source,note
Ростов-на-Дону,47.23,39.72,1920-02-08,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",РККА взяла Ростов 10.01.1920
Екатеринодар,45.04,38.98,1919-10-15,whites,not_soviet,"Kenez, Civil War in South Russia (1977)",столица Кубанской рады и тыл ВСЮР
Екатеринодар,45.04,38.98,1920-03-20,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",РККА взяла Екатеринодар 17.03.1920
Царицын,48.71,44.51,1919-08-31,whites,not_soviet,"Kenez, Civil War in South Russia (1977)",Врангель взял Царицын 30.06.1919
Царицын,48.71,44.51,1920-02-08,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",РККА вернула Царицын 03.01.1920
Грозный,43.31,45.69,1919-06-01,whites,not_soviet,"Kenez, Civil War in South Russia (1977)",белые взяли Грозный 05.02.1919
Владикавказ,43.03,44.68,1920-05-08,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",РККА в Владикавказе 30.03.1920
Тбилиси,41.72,44.79,1918-03-02,transcaucasia,not_soviet,"Kazemzadeh, The Struggle for Transcaucasia (1951)",Закавказский комиссариат не признал Совнарком
Тбилиси,41.72,44.79,1919-10-15,georgia,not_soviet,"Kazemzadeh, The Struggle for Transcaucasia (1951)",Грузинская демократическая республика с 26.05.1918
Тбилиси,41.72,44.79,1920-11-17,georgia,not_soviet,"Kazemzadeh, The Struggle for Transcaucasia (1951)",независимость до 25.02.1921
Тбилиси,41.72,44.79,1921-02-25,bolsheviks,soviet,"Kazemzadeh, The Struggle for Transcaucasia (1951)",РККА в Тбилиси 25.02.1921
Баку,40.41,49.87,1918-03-02,azerbaijan,not_soviet,"Kazemzadeh, The Struggle for Transcaucasia (1951)","Бакинская коммуна 25.04-31.07.1918 - советский анклав, зонной моделью не рисуется (реш. куратора об анклавах)"
Баку,40.41,49.87,1919-10-15,azerbaijan,not_soviet,"Kazemzadeh, The Struggle for Transcaucasia (1951)",АДР с 28.05.1918
Баку,40.41,49.87,1920-05-08,bolsheviks,soviet,"Kazemzadeh, The Struggle for Transcaucasia (1951)",советизация Баку 28.04.1920
Ереван,40.18,44.51,1920-11-01,armenia,not_soviet,"Hovannisian, The Republic of Armenia (1971-1996)",Республика Армения до 02.12.1920
Ереван,40.18,44.51,1920-12-02,bolsheviks,soviet,"Hovannisian, The Republic of Armenia (1971-1996)",советизация Армении 02.12.1920
Самара,53.20,50.15,1918-08-15,komuch,not_soviet,"Smele, Civil War in Siberia (1996)",Комуч взял Самару 08.06.1918
Самара,53.20,50.15,1918-11-15,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 1",РККА вернула Самару 07.10.1918
Казань,55.79,49.11,1918-08-15,whites,not_soviet,"Smele, Civil War in Siberia (1996)",Каппель и чехословаки взяли Казань 07.08.1918
Казань,55.79,49.11,1918-10-10,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 1",РККА вернула Казань 10.09.1918
Оренбург,51.77,55.10,1918-08-15,dutov,not_soviet,"Smele, Civil War in Siberia (1996)",Дутов взял Оренбург 03.07.1918
Оренбург,51.77,55.10,1919-02-06,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 1",РККА взяла Оренбург 22.01.1919
Уфа,54.74,55.97,1919-04-20,kolchak,not_soviet,"Smele, Civil War in Siberia (1996)",Колчак взял Уфу 13.03.1919
Пермь,58.01,56.25,1919-04-20,kolchak,not_soviet,"Smele, Civil War in Siberia (1996)",пермская катастрофа 25.12.1918
Пермь,58.01,56.25,1919-07-20,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",РККА вернула Пермь 01.07.1919
Екатеринбург,56.84,60.61,1918-11-15,kolchak,not_soviet,"Smele, Civil War in Siberia (1996); атлас УІФ розд. 44",чехословаки взяли Екатеринбург 25.07.1918
Екатеринбург,56.84,60.61,1919-04-20,kolchak,not_soviet,"Smele, Civil War in Siberia (1996)",тыл Колчака
Екатеринбург,56.84,60.61,1919-07-20,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",РККА взяла Екатеринбург 14.07.1919
Челябинск,55.16,61.40,1919-06-25,kolchak,not_soviet,"Smele, Civil War in Siberia (1996)",РККА возьмёт Челябинск только 24.07.1919
Омск,54.99,73.37,1918-11-15,kolchak,not_soviet,"Smele, Civil War in Siberia (1996); атлас УІФ розд. 44",переворот Колчака в Омске 18.11.1918
Омск,54.99,73.37,1919-10-15,kolchak,not_soviet,"Smele, Civil War in Siberia (1996); атлас УІФ розд. 44",столица Колчака до 14.11.1919
Омск,54.99,73.37,1919-11-20,bolsheviks,soviet,"Директивы командования фронтов РККА, т. 2",РККА взяла Омск 14.11.1919
Новониколаевск,55.03,82.92,1919-11-20,kolchak,not_soviet,"Smele, Civil War in Siberia (1996)",РККА возьмёт город 14.12.1919
Красноярск,56.01,92.87,1919-12-17,kolchak,not_soviet,"Smele, Civil War in Siberia (1996)",РККА возьмёт Красноярск 07.01.1920
Иркутск,52.29,104.28,1919-12-17,whites,not_soviet,"Smele, Civil War in Siberia (1996)",Политцентр и РККА возьмут Иркутск в январе-марте 1920
Иркутск,52.29,104.28,1920-03-20,bolsheviks,soviet,"Smele, Civil War in Siberia (1996)",РККА в Иркутске 07.03.1920
Чита,52.03,113.50,1920-03-20,semenov,not_soviet,"Smele, Civil War in Siberia (1996)","«читинская пробка» Семёнова, взята 22.10.1920"
Владивосток,43.12,131.89,1919-10-15,entente,not_soviet,"Smele, Civil War in Siberia (1996)",интервенция с 1918 до 25.10.1922
Владивосток,43.12,131.89,1920-11-17,dvr,not_soviet,"ГВЭ 2010, Дальневосточная республика",буфер ДВР и японцы
Якутск,62.03,129.73,1920-03-20,bolsheviks,soviet,"ГВЭ 2010",советская власть в Якутске восстановлена 15.12.1919
Ташкент,41.31,69.24,1918-08-15,bolsheviks,soviet,"ГВЭ 2010, Туркестанская АССР",красный анклав, отрезанный от Москвы до 09.1919
Ташкент,41.31,69.24,1918-11-15,bolsheviks,soviet,"атлас УІФ розд. 44 (замкнутый контур Туркестана)",красный анклав
Верный,43.24,76.89,1919-06-01,bolsheviks,soviet,"ГВЭ 2010, Семиреченский фронт",Семиречье в составе Туркестанской АССР
Хива,41.38,60.36,1919-06-01,khiva,not_soviet,"ГВЭ 2010, Хивинский поход",Хивинское ханство до 02.02.1920
Хива,41.38,60.36,1920-03-20,bolsheviks,soviet,"ГВЭ 2010, Хорезмская НСР 26.04.1920",РККА взяла Хиву 02.02.1920
Бухара,39.77,64.42,1920-05-08,emirate,not_soviet,"ГВЭ 2010, Бухарская операция",эмират до 02.09.1920
Бухара,39.77,64.42,1920-11-01,bolsheviks,soviet,"ГВЭ 2010, Бухарская НСР 08.10.1920",РККА взяла Бухару 02.09.1920
Ашхабад,37.95,58.38,1919-02-06,transcaspia,not_soviet,"ГВЭ 2010, Закаспийский фронт",Закаспийское временное правительство и британцы с 12.07.1918
Ашхабад,37.95,58.38,1920-03-20,bolsheviks,soviet,"ГВЭ 2010, Закаспийский фронт",РККА взяла Ашхабад 09.07.1919, Красноводск 06.02.1920
