city,lat,lon,date,expected,phase,source,note
Херсон,46.6401,32.6144,2022-02-01,not_empire,до вторжения,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,ОБЯЗАТЕЛЬНАЯ проверка куратора. до вторжения
Мелитополь,46.8467,35.3827,2022-03-01,empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,ОБЯЗАТЕЛЬНАЯ проверка куратора. занят 26.02.2022
Донецк,48.0159,37.8013,2014-01-01,not_empire,до апреля 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,Донецк в Украине
Славянск,48.8523,37.6058,2014-04-06,not_empire,первые дни,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,в первый день захватов Славянск ещё украинский - сплошного куска в апреле не было
Краматорск,48.7389,37.5844,2014-04-06,not_empire,первые дни,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят только 12.04.2014
Краматорск,48.7389,37.5844,2014-05-01,empire,апрель-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 12.04.2014
Краматорск,48.7389,37.5844,2014-08-01,not_empire,июль 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращён 05.07.2014
Луганск,48.5717,39.2973,2014-05-01,empire,апрель-июнь 2014,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 50, 56","здание областного управления Службы безопасности занято 06.04.2014, областная администрация - 29.04.2014"
Артёмовск,48.5894,38.0021,2014-05-01,empire,апрель-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 12.04.2014
Артёмовск,48.5894,38.0021,2014-08-01,not_empire,июль 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращён 06.07.2014
Горловка,48.3059,38.0028,2014-05-01,empire,апрель-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занята 14.04.2014
Горловка,48.3059,38.0028,2015-01-01,empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,под оккупацией непрерывно
Красный Лиман,48.9801,37.8168,2014-05-01,empire,апрель-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 12.04.2014
Красный Лиман,48.9801,37.8168,2014-07-01,not_empire,июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращён 04.06.2014 - раньше июльского наступления
Северодонецк,48.9479,38.4936,2014-06-01,empire,май-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 22.05.2014
Северодонецк,48.9479,38.4936,2014-08-01,not_empire,июль 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращён 22.07.2014
Попасная,48.6323,38.3777,2014-06-01,empire,май-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занята весной 2014 года
Попасная,48.6323,38.3777,2014-08-01,not_empire,июль 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращена 22.07.2014
Дзержинск,48.3970,37.8501,2014-08-01,not_empire,июль 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращён 21.07.2014
Соледар,48.6957,38.0672,2014-08-01,not_empire,июль 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращён 21.07.2014
Новоазовск,47.1139,38.0831,2014-08-01,not_empire,до перелома,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,апрельский флаг на здании администрации контроля не дал: город оставался украинским до 27.08.2014
Новоазовск,47.1139,38.0831,2014-09-19,empire,после перелома,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 27.08.2014
Иловайск,47.9248,38.1976,2014-09-19,empire,после перелома,"УВКПЧ ООН, доклад о нарушениях прав человека в контексте иловайских событий августа 2014 года, п. 72-74",украинские батальоны вышли из окружения 29.08.2014
Донецкий аэропорт,48.0686,37.7421,2014-09-19,not_empire,осень 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,аэропорт держался с 26.05.2014 - на карте это чёрный остров в занятой зоне
Донецкий аэропорт,48.0686,37.7421,2015-02-01,empire,зима 2014/15,"УВКПЧ ООН, 9-й доклад о положении с правами человека в Украине (15.02.2015), п. 33",потерян 22.01.2015
Луганский аэропорт,48.4175,39.3739,2014-08-01,not_empire,лето 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,держался до 31.08.2014
Луганский аэропорт,48.4175,39.3739,2014-10-01,empire,после перелома,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,оставлен в ночь на 01.09.2014
Углегорск,48.3120,38.2609,2015-01-01,not_empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 29.01.2015
Углегорск,48.3120,38.2609,2015-03-01,empire,после Дебальцева,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 29.01.2015
Счастье,48.7453,39.1711,2015-01-01,not_empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращено 14.06.2014 и оставалось украинским до 2022 года
Станица Луганская,48.6430,39.4957,2015-01-01,not_empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,оставалась украинской до 2022 года
Волноваха,47.6015,37.4934,2014-09-19,not_empire,после перелома,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,город не переходил под контроль вооружённых формирований в 2014 году
Покровск,48.2771,37.1772,2014-06-01,not_empire,апрель-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,флаг на горсовете 01.05.2014 контроля не дал
Марьинка,47.9401,37.5022,2015-01-01,not_empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращена 05.08.2014
Авдеевка,48.1339,37.7467,2015-01-01,not_empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращена 30.07.2014
Харьков,49.9923,36.2310,2014-06-01,not_empire,апрель-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"здание областной администрации занимали 6-8 апреля 2014 года, контроля империя не получила - в слое города нет"
Днепр,49.6243,31.6667,2015-01-01,not_empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,рамка не разлилась
Запорожье,47.8508,35.1183,2015-01-01,not_empire,зима 2014/15,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,рамка не разлилась
Киев,50.4500,30.5241,2014-06-01,not_empire,апрель-июнь 2014,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,рамка не задевает столицу
Ростов-на-Дону,47.2223,39.7199,2014-06-01,empire,непрерывно,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"по ту сторону границы - территория самой империи, красится контуром ядра"
Симферополь,44.9521,34.1025,2014-05-01,empire,непрерывно,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"Крым красит собственный эпизод, а не этот слой"
Гостомель,50.5883,30.2591,2022-03-01,empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,аэродром занят 24.02.2022
Гостомель,50.5883,30.2591,2022-04-02,not_empire,уход из-под Киева,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,02.04.2022 Киевская область объявлена освобождённой
Буча,50.5503,30.2107,2022-03-19,empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занята 27.02.2022
Буча,50.5503,30.2107,2022-04-02,not_empire,уход из-под Киева,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,оставлена 31.03.2022
Чернобыль,51.2705,30.2196,2022-03-01,empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,зона Чернобыльской АЭС занята 24.02.2022
Чернигов,51.4941,31.2943,2022-03-19,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"город был окружён, но занят не был"
Сумы,50.9120,34.8028,2022-03-19,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,город удержан
Киев,50.4500,30.5241,2022-03-19,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,город удержан
Тростянец,50.4805,34.9647,2022-03-19,empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 01.03.2022
Тростянец,50.4805,34.9647,2022-04-02,not_empire,уход,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,возвращён 26.03.2022
Купянск,49.7133,37.6142,2022-03-01,empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 27.02.2022
Изюм,49.1913,37.2784,2022-03-01,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"заявления о взятии звучали с середины марта, полный контроль источники относят к 01.04.2022"
Энергодар,47.4901,34.6603,2022-03-01,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занят 04.03.2022
Энергодар,47.4901,34.6603,2022-03-19,empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,Запорожская АЭС занята 04.03.2022
Мариуполь,47.0958,37.5500,2022-04-02,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"город в блокаде с конца февраля, но до 02.04.2022 занят не был - «Азовсталь» держалась до 20.05.2022"
Одесса,46.4843,30.7323,2022-03-19,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,город не занят
Львов,49.8420,24.0316,2022-03-19,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,город не занят
Кременная,49.0463,38.2179,2022-04-02,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",занята только 18.04.2022; на снимке DeepStateMAP от 03.04.2022 город ещё украинский - слои сходятся
Кременная,49.0463,38.2179,2022-04-29,empire,стык с DeepStateMAP,"DeepStateMAP, снимок 30.04.2022 (первый снимок слоя в показе)",занята 18.04.2022; на снимке DeepStateMAP от 30.04.2022 город занят - слои сходятся
Мариуполь,47.0958,37.5500,2022-04-29,empire,стык с DeepStateMAP,"DeepStateMAP, снимок 30.04.2022 (первый снимок слоя в показе)",21.04.2022 российская сторона объявила город занятым; на снимке DeepStateMAP от 30.04.2022 он закрашен занятым - слои сходятся
Северодонецк,48.9479,38.4936,2022-04-29,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 30.04.2022 (первый снимок слоя в показе)",занят только в июне 2022 года; на снимке DeepStateMAP от 30.04.2022 город украинский - слои сходятся
Попасная,48.6323,38.3777,2022-04-29,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 30.04.2022 (первый снимок слоя в показе)",на снимке DeepStateMAP от 30.04.2022 город украинский - слои сходятся
Волноваха,47.6015,37.4934,2022-04-29,empire,стык с DeepStateMAP,"DeepStateMAP, снимок 30.04.2022 (первый снимок слоя в показе)",занята 11.03.2022; на снимке DeepStateMAP от 30.04.2022 город занят
Гуляйполе,47.6655,36.2657,2022-04-29,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 30.04.2022 (первый снимок слоя в показе)",на снимке DeepStateMAP от 30.04.2022 город украинский
Барвенково,48.9030,37.0246,2022-04-29,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 30.04.2022 (первый снимок слоя в показе)",на снимке DeepStateMAP от 30.04.2022 город украинский
Волноваха,47.6015,37.4934,2022-03-01,not_empire,вторжение 2022,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,занята 11.03.2022 - на 1 марта ещё украинская
Северодонецк,48.9479,38.4936,2022-04-02,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",на снимке DeepStateMAP от 03.04.2022 город украинский - слои сходятся
Славянск,48.8523,37.6058,2022-04-02,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",на снимке DeepStateMAP от 03.04.2022 город украинский - слои сходятся
Херсон,46.6401,32.6144,2022-04-02,empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",на снимке DeepStateMAP от 03.04.2022 город занят - слои сходятся
Изюм,49.1913,37.2784,2022-04-02,empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",на снимке DeepStateMAP от 03.04.2022 город занят - слои сходятся
Балаклея,49.4521,36.8398,2022-04-02,empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",на снимке DeepStateMAP от 03.04.2022 город занят - слои сходятся
Скадовск,46.1204,32.9103,2022-04-02,empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",на снимке DeepStateMAP от 03.04.2022 город занят - слои сходятся
Старобельск,49.2822,38.8974,2022-04-02,empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",на снимке DeepStateMAP от 03.04.2022 город занят - слои сходятся
Конотоп,51.2397,33.2067,2022-04-02,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",вывод войск из Сумской области завершился в первых числах апреля; на снимке DeepStateMAP от 03.04.2022 область свободна
Гуляйполе,47.6655,36.2657,2022-04-02,not_empire,стык с DeepStateMAP,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",на снимке DeepStateMAP от 03.04.2022 город украинский
