city,lat,lon,start,changes,theatre,anchor,source,note
Сольдау,53.2333,20.1833,foreign,1914-08-09:empire;1914-08-14:foreign,север,yes,"SO1 с.19 (занят I к. 9(22).08), с.91 (части I к. сбиты у Уздау 14(27).08)",высокая; отход от Сольдау начался 14(27).08 при неподтверждённом слухе о приказе
Ортельсбург,53.5622,20.9819,foreign,1914-08-09:empire;1914-08-17:foreign,север,yes,"SO1 с.19 (занят VI к. без боя 9(22).08); с.96 (VI к. атакует, затем получает приказ отходить 17(30).08)",высокая по занятию; уход – VI корпус получил приказ отходить на Мышинец в ночь на 17(30).08
Растенбург,54.0764,21.3747,foreign,1914-08-13:empire;1914-09-01:foreign,север,yes,"SO1 с.16 (13(26).08 линия Дамерау-Велау-Алленбург-Гердауэн-Бартен-Розенталь, восточнее Растенбурга)","низкая: город не назван прямо, координата на линии продвижения 1 армии 13(26).08; день ухода не найден"
Вормдитт,54.1319,20.1394,foreign,,север,yes,не найдено,"подтверждения занятия российскими войсками в 1914 г. не найдено ни в одном из просмотренных источников; вероятно, оставался германским весь период (за пределами маршрутов 1-й и 2-й армий)"
Мемель,55.7172,21.1175,foreign,,север,yes,"вторичные источники (не найдено в SO1-7, Z1-2)","рейд: по нескольким вторичным источникам (не первоисточник) город без боя занят русским отрядом (кап. 1р. Пекарский / ген. Потапов) ок. 18.03.1915, оставлен через 1-2 суток при подходе германских резервов; стиль даты не установлен (вероятно ст.ст., не подтверждено); это рейд, не смена стороны — в changes не внесено; уверенность низкая, только вики/вторичные, нужна проверка по Reichsarchiv Bd.7 или Wolff-Bureau"
Кёнигсберг,54.7104,20.4522,foreign,,север,yes,SO1 (осада 1914-1915 не увенчалась взятием),"якорь противника; в кольце блокады 1-й армией авг.-сент. 1914, город не взят ни разу за весь период"
Лётцен,54.0333,21.7667,foreign,,север,yes,"SO1 с.16 (комендант отказал в сдаче парламентёрам, 13(26).08.1914)","якорь противника; германская крепость на Мазурских озёрах, попытки склонить к сдаче в авг. 1914 не удались, ни разу не взята за весь период"
Сувалки,54.1000,22.9300,empire,1915-01-28:foreign,север,yes,Z1 с.271-272 (герм. 10 армия к 10.02 н.ст. вышла на линию Мариамполь-Людвинов-Кальвария...),"н.ст. 10.02.1915; город не назван впрямую, дата – по продвижению фронта восточнее и южнее Сувалок в ходе Зимней операции в Вост. Пруссии; после мартовского контрудара 1915 линия прошла южнее (Августов-Сувалки остались за немцами) – Z1 с.276-277; средняя уверенность"
Августов,53.8433,22.9800,empire,1915-02-08:foreign,север,yes,"Z1 с.273-276 (окружение XX корпуса в Августовских лесах, «отойти на линию Августов-Сувалки»)","н.ст. 21.02.1915 (капитуляция XX корпуса); город западнее места окружения, взят в это же время; после боёв нач. марта 1915 линия у Августова-Сувалок закреплена за немцами до конца рассматриваемого периода; средняя уверенность"
Мариамполь,54.5600,23.3500,empire,1915-01-28:foreign,север,yes,Z1 с.271 («к 10 февраля [н.ст.] германцы вышли... на линию Мариамполь-Людвинов-Кальвария...»),н.ст. 10.02.1915; высокая уверенность (прямая цитата)
Осовец,53.5886,22.6939,empire,1915-08-10:foreign,север,yes,"Зайончковский, т. 1 (1938), строка 15695 текста: армии отводятся «22 августа [н. ст.] на линию Осовец - Соколы...»; крепость оставлена и взорвана своими войсками после этого","крепость не взята штурмом, оставлена; 22.08 н. ст. = 09.08 ст. ст. - нижняя граница, день ухода не выписан; поправлено картографом 19.09"
Ковно,54.8985,23.9036,empire,1915-08-09:foreign,север,yes,"SO4 л.5193 («9(22) пала Ковно»); Z1 с.822 («крепость 22 августа [н.ст.] в руки германцев», «преступное поведение коменданта ген. Григорьева передало крепость... германцам»)","н.ст. 22.08.1915; высокая уверенность, два независимых первоисточника сходятся день-в-день"
Шавли,55.9333,23.3167,empire,1915-07-15:foreign,север,yes,"Кор. (grwar.ru) гл.«Второй период»: «в Шавли (куда он [фон Белов] перешёл 28(15) июля)»; SO4 л.15729-15731 (Z1: бои у Шавлей в конце июля [н.ст.], город переходит из рук в руки)","н.ст. 28.07.1915 – к этому дню герм. штаб Неманской армии уже в Шавли, то есть город занят не позже; точный день падения источники не называют («переходит из рук в руки»); средняя уверенность, день оценочный"
Поневеж,55.7333,24.3500,empire,1915-08-15:foreign,север,yes,"SO4 л.5967 (к 1(14).09.1915 нем. части уже действуют по линии ж.д. Поневеж-Двинск, т.е. восточнее Поневежа)","низкая: прямой даты падения не найдено ни в SO1-7, ни в Z1-2; город должен был пасть до 01(14).09.1915, оценка сентябрь заменена на середину августа как более вероятную (Курляндская операция danym Корolькова уже в июле дошла до Митавы южнее); нужна проверка"
Россиены,55.3833,23.1167,empire,1915-04-15:foreign,север,yes,"Стратегический очерк, ч. 4 (1922): «15 (28) апреля пехотная бригада заняла Россиены»","германская бригада; поправлено картографом 19.09 по первоисточнику (у розыскника - 10.05, вторичная сводка)"
Либава,56.5047,21.0108,empire,1915-04-25:foreign,север,yes,SO4 л.1597 («25 апреля (8 мая) немцы овладели Либавой»); Z1 (то же событие),"н.ст. 08.05.1915; высокая уверенность, два первоисточника"
Виндава,57.3894,21.5606,empire,1915-07-05:foreign,север,yes,Кор. (grwar.ru) гл.«План сторон»: на 14(1) июля 1915 в Виндаве ещё рус. гарнизон «для охраны эвакуации порта и города»,"низкая: точный день падения не найден; на 01.07.1915 ст.ст. город ещё под русской охраной (шла эвакуация), пала предположительно в первые дни июля 1915 по мере продвижения герм. Северного корпуса Лауенштейна вдоль побережья; нужна проверка"
Гольдинген,56.9683,21.9700,empire,1915-07-02:foreign,север,yes,Кор. (grwar.ru) гл.«2-й день сражения 15(2) июля»: «отряд Меликова без боя очистил Гольдинген»,н.ст. 15.07.1915; высокая уверенность (прямая цитата с указанием дня)
Туккум,56.9678,23.1547,empire,1915-07-04:foreign,север,yes,Кор. (grwar.ru) гл.«4-й день сражения 17(4) июля»: «3-й кав. бригаде удалось в этот день овладеть Туккумом»,н.ст. 17.07.1915; высокая уверенность (прямая цитата с указанием дня боя)
Митава,56.6500,23.7139,empire,1915-08-07:foreign,север,yes,"Z1 с.823 («20 августа [н.ст.] германцы заняли Митаву»); опровергает Кор. (grwar.ru), где на 23(10) июля Митава ещё удерживается и получает подкрепления, а 28(15) июля штаб фон Белова уже в Шавли (т.е. Митава ещё не пала)","РАЗНОЧТЕНИЕ ИЗ ЗАДАНИЯ РЕШЕНО ДОКУМЕНТОМ: справочная дата «19.07(01.08).1915» не подтверждается – специальная монография Королькова о Митавском сражении (июль 1915) показывает город русским минимум до 23(10) июля с получением подкреплений и контррейдами; падение датируем по Зайончковскому 07.08(20.08).1915, средне-высокая уверенность"
Бауск,56.4083,24.1936,empire,1915-07-20:foreign,север,yes,SO4 л.4390 (Z1: «20 июля (2 августа) вследствие отхода Бауского отряда...»); л.4795 (движение немцев «через Бауск на Фридрихштадт»),"средняя: цитата фиксирует отход именно «Бауского отряда» 20.07(02.08).1915, город берём как утраченный в этот день; точное «занят немцами» не выписано"
Фридрихштадт,56.6167,25.0833,empire,1915-08-05:foreign,север,yes,SO4 л.4394 («С 23-го (5 авг.) немцы начинают теснить передовые части» на подступах к Фридрихштадту),"низкая: цитата про давление на подступах, не про взятие города; день условен; возможно город удержан на плацдарме как Якобштадт – требует проверки по ч.4 полностью и по Reichsarchiv Bd.8-9"
Якобштадт,56.5000,25.8667,empire,1917-09-08:foreign,север,yes,SO7 гл.V; Z2 с.146 («8(21).09.1917 плацдарм оставлен»),"ст.ст. 08.09 / н.ст. 21.09.1917; высокая уверенность, два первоисточника; сам город и малый плацдарм удерживались весь 1915-1916 год (SO4/Z1: «малый плацдарм у Якобштадта»)"
Двинск,55.8747,26.5361,empire,,север,yes,"SO4 л.15733-15744 (Z1: 12 армия «удержала... плацдарм на левом берегу у Двинска» весь 1915); SO4 гл. Свенцянский прорыв (атаки на Двинск отражены, сент.1915)","ни разу не взят за рассматриваемый период (19.07.1914-25.12.1917); герм. занятие Двинска произошло только в февр. 1918 (операция «Фаустшлаг»), за пределами окна"
Рига,56.9496,24.1052,empire,1917-08-21:foreign,север,yes,SO7 гл.IV; Z2 с.146 («ночь на 21.08(03.09).1917 наши войска очистили [Ригу]»),"ст.ст. 21.08 / н.ст. 03.09.1917; высокая уверенность, два первоисточника, совпадает с уже известным решением по BACKLOG"
Аренсбург,58.2500,22.4853,empire,1917-09-29:foreign,север,yes,SO7 гл.V («с раннего утра 29 сентября (12 октября) герм. флот... 426 полк начал отступление к Аренсбургу»; в ту же ночь штаб Свешникова из Аренсбурга в Гапсаль),"ст.ст. 29.09 / н.ст. 12.10.1917; высокая уверенность; штурм и высадка на о. Эзель в этот день, город/штаб оставлен в ту же ночь"
Моон,58.5833,23.2333,empire,1917-10-04:foreign,север,yes,SO7 гл.V (2(15).10 – резервы с о.Моон ещё атакуют по дамбе на Эзель; в ночь на 4(17).10 приказано начать эвакуацию Моонзунда),"средняя: остров ещё используется как рус. плацдарм 2(15).10; точный день оставления не назван, взят день общего приказа об эвакуации"
Даго,58.9167,22.5833,empire,1917-10-04:foreign,север,yes,"SO7 гл.V («на Даго, в районе Серро, происходила высадка неприятеля» в ночь на 4(17) окт.)","средняя: высадка началась 29.09(12.10), к вечеру 3-4.10(16-17.10) остров уже фактически занимается, эвакуация всего архипелага приказана в этот вечер"
Вильна,54.6872,25.2797,empire,1915-09-05:foreign,север,yes,"Z1 с.824-825 (решено очистить 03.09(16.09), гвардия начала отход; общегерм. занятие в последующие дни); ещё в розыске от 19.09: вилка 03-06.09(16-19.09)","вилка ст.ст. 03-06.09(16-19.09).1915, день уточнён по общему ходу Виленской операции как 05.09; средняя уверенность"
Свенцяны,55.1333,26.1667,empire,1915-08-30:foreign,север,yes,SO4 л.5955 («30 авг. (12 сент.) в 8 час. вечера немцами захвачена ст. Новосвенцяны»),"ст.ст. 30.08 / н.ст. 12.09.1915; документ называет станцию Новосвенцяны (соседний насел. пункт), не сам город Свенцяны впрямую — распространяем по контексту (Свенцянский прорыв назван по городу); средняя уверенность; не найдено прямого подтверждения обратного занятия города при ликвидации прорыва (в отличие от Сморгони и Молодечно)"
Ошмяны,54.4256,25.9439,empire,1915-09-09:foreign,север,yes,SO4 л.5899 (Z1: 17.09[н.ст.] Ставка приказала отойти на линию Михалишки-Ошмяны-Новогрудок-Барановичи); SO4 л.6318 (9(22).09 приказ на дальнейший отход на линию Нарочь-Сморгонь-Любча-Кареличи-Ляховичи),"низкая: город на 04(17).09 назначен рубежом отхода, но 09(22).09 линия сдвинута восточнее на Сморгонь – Ошмяны прямо не упомянуты как занятые немцами, вывод сделан географически (город западнее итоговой линии Дрисвяты-Нарочь-Сморгонь-Делятичи от 19.09(02.10)); нужна проверка"
Сморгонь,54.4761,26.4144,empire,,север,yes,"Z1 с.826 («21 сентября [н.ст.] русскими занята Сморгонь, германцы отбрасываются к озеру Свирь»); линия на зиму 1915-1916 и весь 1916 год по SO6 (л.936: «между Сморгонью и Крево»)","ст.ст. 08.09.1915; город остаётся русским все 1915-1917 (знаменитый «Сморгонский фронт», позиционная война до 1917); герм. конница кратковременно угрожала городу 13-21.09(31.08-08.09) н.ст., но занятия самого города документы не называют"
Молодечно,54.3167,26.8500,empire,1915-09-01:foreign;1915-09-08:empire,север,yes,"Z1 с.825-826 (14.09[н.ст.] занята Вилейка, рейд идёт через район Молодечно; 21.09[н.ст.] «постепенно вытеснять... германскую кавалерию из района Молодечно», в тот же день Сморгонь возвращена)","ст.ст. 01.09-08.09.1915 (н.ст. 14.09-21.09); кратковременный захват германской рейдовой конницей на время Свенцянского прорыва, затем отбит; средняя уверенность"
Вилейка,54.4919,26.9161,empire,1915-09-01:foreign;1915-09-15:empire,север,yes,Z1 с.825 («14 сентября [н.ст.] германцами была занята Вилейка»); с.826 («к 15(28) сентября [2 армия] продвигается... до линии ж.д. Глубокое-Вилейка»),"ст.ст. 01.09.1915 (н.ст.14.09) занята герм. рейдовой конницей; ст.ст. 15.09.1915 (н.ст.28.09) возвращена наступлением 2 армии; высокая уверенность, обе даты по прямым цитатам"
Поставы,55.1103,26.8319,empire,,север,yes,SO4 л.6433 («к вечеру 17(30) сентября наша конница на линии Козяны-Поставы-Черняты»),город остаётся на русской линии на протяжении всего Свенцянского прорыва и после стабилизации фронта; ни разу не назван занятым немцами
Лида,53.8869,25.2996,empire,1915-09-19:foreign,север,yes,"Z1 с.825 («Лида, Слоним... оставлены между 06 и 19.09[ст.ст.] (19.09-02.10 н.ст.)»)","вилка ст.ст. 06-19.09.1915, взята верхняя граница (совпадает с датой окончательной стабилизации фронта); средняя уверенность"
Гродно,53.6884,23.8258,empire,1915-08-20:foreign,север,yes,"SO4 л.5613 (17(30).08.1915: «1 армии указана линия Гродно-Индура, где нужно задержать неприятеля три дня, дабы окончить... производимые в Гродне работы»); также SO4 л.5347 (04(17).08: «Гродно... считать участком долговременной позиции»)","средняя: документ фиксирует Гродно ещё русским 17(30).08 с планом продержаться «три дня» (то есть до ок.20.08(02.09)); вторичные источники дают „2 сентября” без указания стиля — если это н.ст., то совпадает день-в-день (20.08 ст.ст.); точная цитата о вступлении немцев в город не найдена ни в SO1-7, ни в Z1-2"
Белосток,53.1325,23.1688,empire,1915-08-13:foreign,север,yes,"SO4 л.5238 (12(25).08.1915: 2 армия отводится «на одну высоту с 4[-й], примерно на линии Белосток, Витов»)","низкая: город документирован как русский рубеж 12(25).08, дата ухода не найдена ни в одном из просмотренных источников; оценка дана по синхронности с Брест-Литовском (13(26).08) — оба на линии общего отхода 4 армии; вторичные источники дают «13 августа» без стиля, что нельзя согласовать с документом (был бы раньше рубежа 12(25).08) — отклонено как недостоверное"
Слоним,53.0917,25.3186,empire,1915-09-19:foreign,север,yes,"Z1 с.825 (та же вилка, что и Лида: «оставлены между 06 и 19.09[ст.ст.]»)","вилка ст.ст. 06-19.09.1915, взята верхняя граница; средняя уверенность"
Новогрудок,53.5967,25.8283,empire,1915-09-15:foreign,север,yes,SO4 л.6246 (04(17).09: рубеж отхода «Михалишки-Ошмяны-Новогрудок-Барановичи»); л.6319 (09(22).09: новый рубеж южнее «Любча-Кареличи»),"низкая: город назван рубежом 04(17).09, но 09(22).09 рубеж сдвинут на Любчу/Кареличи (в неск. км восточнее Новогрудка) – город, видимо, оставлен между этими датами; точная цитата отсутствует, день оценочный"
Барановичи,53.1333,26.0167,empire,,север,yes,"Z1 с.825-826 («Остались у империи... Барановичи»); SO4/SO6 (штаб-квартира Ставки в Барановичах до авг.1915, далее прифронтовой тыловой узел)","город на линии фронта («Поставы-Крево-Барановичи-Пинск...», рубеж на 19.09(02.10).1915), но сам НЕ занят немцами ни разу за 1914-1917 (ставка Верховного здесь стояла до эвакуации в Могилёв авг.1915); высокая уверенность"
Несвиж,53.2219,26.6928,empire,,север,yes,"не найдено упоминаний о занятии немцами; южнее линии Барановичи-Пинск, вне зоны боевых действий 1915-1917",не найдено в просмотренных источниках; вывод по отсутствию упоминаний и положению в глубине удерживаемой территории
Пинск,52.1214,26.1006,empire,1915-09-02:foreign,север,yes,"SO4 л.6133-6135 («Очищением Пинска и отходом отряда г. Мищенко за Ясельду открыты пути... на Туров-Мозырь и на Сарны», директива в контексте 03(16).09.1915)","ПРОТИВОРЕЧИЕ ИЗ ЗАДАНИЯ РЕШЕНО: фраза Зайончковского «линия шла... на Пинск» (Z1 с.825-826) НЕ означает, что город остался русским — прямая директива SO4 фиксирует эвакуацию Пинска как свершившийся факт к 03(16).09.1915; независимо городские историч. источники Пинска называют днём занятия герман. войсками 15.09.1915 н.ст., что при переводе даёт 02.09 ст.ст. — согласуется с контекстом директивы; средне-высокая уверенность"
Пружаны,52.5586,24.4644,empire,1915-08-22:foreign,север,yes,"SO4 л.5699 (Z1: «30 августа [н.ст.] на линию Гродно-Свислочь-Пружаны», т.е. 17.08 ст.ст. ещё русский рубеж)","низкая: город документирован как русский рубеж на 17.08(30.08) ст.ст./н.ст., дата ухода не найдена, оценка +5 дней по общему темпу отхода"
Кобрин,52.2144,24.3661,empire,1915-08-20:foreign,север,yes,"SO4 л.5242-5247 (13(26).08.1915: приказ на отход «на линию Неман, Гродно, Кузница, Городок, Рудня, Шершово, Кобрин»)","низкая: город назван рубежом отхода на 13(26).08, актуальная дата сдачи не найдена; оценка по синхронности с Брест-Литовском, который рядом (13(26).08 пал), но Кобрин восточнее — день сдвинут на неделю"
Брест-Литовск,52.0975,23.6892,empire,1915-08-13:foreign,север,yes,SO4 л.5257 (04(17).08: решение очистить крепость); вторичный источник (sb.by): «26 августа (13 августа по старому стилю) 1915 года»,"ст.ст. 13.08 / н.ст. 26.08.1915; решение об эвакуации принято раньше (04(17).08 — SO4), сама сдача города по датированной вторичной публикации; согласуется с темпом операции у соседних пунктов (Кобрин, Белосток в тот же день по нашей оценке); средне-высокая уверенность"
Минск,53.9006,27.5590,empire,,север,yes,повсеместно в SO4-7/Z1-2 как тыловой узел и место расположения штабов/резервов,глубокий тыл Западного фронта на протяжении всего периода; ни разу не назван занятым или угрожаемым
Полоцк,55.4864,28.7900,empire,,север,yes,"SO4 (направление резервов и запасных батальонов в Полоцк, 1915)",тыловой узел Северного фронта; ни разу не назван занятым или угрожаемым
Режица,56.5097,27.3319,empire,,север,yes,не упоминается как прифронтовой пункт ни в одном источнике,"глубокий тыл Северного фронта, восточнее Двинска; не найдено упоминаний угрозы"
Венден,57.3119,25.2747,empire,,север,yes,"SO4 (базирование 12 армии «Валк-Венден» и др., 1915)",тыловой узел Лифляндии; ни разу не назван прифронтовым
Вольмар,57.5406,25.4272,empire,,север,yes,"SO7 гл.V (Черемисов направляет «45-ю дивизию из Вольмара» к Моонзунду, окт.1917)","тыловой узел, откуда снимаются резервы вплоть до конца 1917; ни разу не занят"
Пернов,58.3859,24.4971,empire,,север,yes,не найден как прифронтовой пункт; SO4 упоминает десант у Пернова как несостоявшуюся угрозу (авг.1915),"глубокий тыл; единственное упоминание — неподтвердившийся слух о герм. десанте авг.1915 (SO4 л.5205), к взятию не привёл"
Ревель,59.4370,24.7536,empire,,север,yes,"SO7 гл.V (базы флота и резервные полки «из Ревеля», 1917)",главная база Балтийского флота весь период; ни разу не подвергался сухопутному занятию
Калиш,51.7619,18.0911,empire,1914-07-19:foreign,польша,yes,"Стратегич.очерк ч.1 (1922), стр. текста ~2008","н.ст.01.08.1914; возврата не найдено, высокая уверенность"
Ченстохова,50.8118,19.1203,empire,1914-07-20:foreign,польша,yes,"Стратегич.очерк ч.1, стр. ~2009",н.ст.02.08.1914; высокая уверенность
Бендзин,50.3223,19.1247,empire,1914-07-19:foreign,польша,yes,"Стратегич.очерк ч.1, стр. ~2008",н.ст.01.08.1914; одна фраза с Калишем; высокая уверенность
Серадз,51.5966,18.7297,empire,1914-07-21:foreign,польша,yes,"Стратегический очерк, ч. 1 (1922), строка ~2012 текста: «26 июля (3 авг.) передовые части немцев заняли линию Влоцлавск - Серадзь» - в OCR «26», но 3 авг. н. ст. = 21 июля ст. ст.",21.07 ст. ст. (03.08 н. ст.): у розыскника 26.07 из-за ошибки распознавания; поправлено картографом 19.09
Конин,52.2231,18.2513,empire,1914-07-21:foreign,польша,yes,"Стратегический очерк, ч. 1 (1922), строка ~2012 текста: «26 июля (3 авг.) передовые части немцев заняли линию Влоцлавск - Серадзь» - в OCR «26», но 3 авг. н. ст. = 21 июля ст. ст.",21.07 ст. ст. (03.08 н. ст.): у розыскника 26.07 из-за ошибки распознавания; поправлено картографом 19.09
Коло,52.1975,18.6367,empire,1914-07-21:foreign,польша,yes,"Стратегический очерк, ч. 1 (1922), строка ~2012 текста: «26 июля (3 авг.) передовые части немцев заняли линию Влоцлавск - Серадзь» - в OCR «26», но 3 авг. н. ст. = 21 июля ст. ст.",21.07 ст. ст. (03.08 н. ст.): у розыскника 26.07 из-за ошибки распознавания; поправлено картографом 19.09
Ленчица,52.0589,19.2003,empire,1914-10-27:foreign,польша,yes,"Корольков 1934 «Лодзинская операция», стр. текста ~3954",н.ст.09.11.1914; высокая уверенность
Лодзь,51.7592,19.4560,empire,1914-11-23:foreign,польша,yes,"Корольков 1934, с.173","н.ст.06.12.1914; день ухода рус.войск, вход германцев отдельно не назван; высокая уверенность"
Пётрков,51.4050,19.7031,empire,1914-11-24:foreign,польша,yes,"Стратегич.очерк ч.3, стр. ~696","н.ст.07.12.1914; подлежащее утрачено OCR, по контексту германцы; средняя уверенность"
Томашов-Мазовецкий,51.5314,20.0083,empire,1914-12-05:foreign,польша,yes,"Зайончковский, т. 1 (1938), строка 12718 текста: отход «к 18 декабря на фронт Сохачев - Рава - Опочно - Молотощ - р. Нида»","город западнее линии Рава - Опочно; 18.12 н. ст. = 05.12 ст. ст. - верхняя граница; поправлено картографом 19.09 (у розыскника - июль 1915, оценка)"
Лович,52.1058,19.9425,empire,1914-12-05:foreign,польша,yes,"Зайончковский, т. 1 (1938), строка 12718 текста: отход «к 18 декабря на фронт Сохачев - Рава - Опочно - Молотощ - р. Нида»","город западнее линии Сохачев - Рава; 18.12 н. ст. = 05.12 ст. ст. - верхняя граница; поправлено картографом 19.09 (у розыскника - июль 1915, оценка)"
Сохачев,52.2286,20.2331,empire,1915-07-15:foreign,польша,yes,оценка; Зайончковский т.1 стр.12718 (рубеж 18.12.1914),точный день падения летом 1915 не найден; уверенность низкая
Гройцы,51.8656,20.8678,empire,1915-07-20:foreign,польша,yes,оценка; Стратегич.очерк ч.4 стр.4213 (рубеж отхода 2 армии июль 1915),точный день не найден; уверенность низкая
Рава,51.7658,20.2508,empire,1915-07-15:foreign,польша,yes,"оценка, см. Сохачев",не путать с Рава-Русской в Галиции; уверенность низкая
Опочно,51.3789,20.2789,empire,1915-07-15:foreign,польша,yes,"оценка, см. Сохачев",уверенность низкая
Радом,51.4027,21.1471,empire,1914-09-22:foreign;1914-10-20:empire;1915-07-10:foreign,польша,yes,"Корольков 1923 «Варшавско-Ивангородская операция» стр.~2919 (1914); pl.wikipedia.org/wiki/Radom (1915, только месяц)","1914: н.ст.05.10.1914, высокая; возврат ок.20.10.1914 по контексту (Кельцы южнее заняты 20.10) средняя; 1915: только «июль 1915» без дня, пересчёт невозможен (plwiki не даёт стиль) — уверенность низкая"
Кельце,50.8661,20.6286,empire,1914-08-04:foreign;1914-10-20:empire;1915-04-28:foreign,польша,yes,Стратегич.очерк ч.1 стр.2025; Корольков 1923 стр.12824 (возврат); ч.4 стр.1957 (рубеж 28.04.1915),"1914 занятие н.ст.17.08, средняя увер. (доп.12.08.1914 н.ст. краткий рейд легиона Пилсудского, plwiki); возврат н.ст.02.11.1914 высокая; 1915 — оценка по новому рубежу 4 армии севернее Кельце, точный день не найден, низкая"
Сандомир,50.6820,21.7497,empire,1914-10-14:foreign;1914-10-21:empire;1915-06-01:foreign,польша,yes,Зайончковский т.1 стр.12261 (рубеж на 27.10н.ст.); Корольков 1923 стр.13604 (возврат 03.11н.ст.); ч.4 стр.1957 (город на рус.рубеже 11.05.1915н.ст.),"1914 занятие — верхняя граница по рубежу (не позже 14.10 ст.ст.), средняя; возврат 21.10(03.11.1914) высокая; 1915 — оценка, город ещё держался в мае (упомянут в рубеже 28.04/11.05), день падения летом не найден, низкая"
Ивангород (Демблин),51.5619,21.8433,empire,1915-07-22:foreign,польша,yes,"Стратегич.очерк ч.4, с.82",левобереж. часть крепости; н.ст.04.08.1915; высокая уверенность
Новогеоргиевск (Модлин),52.4478,20.6392,empire,1915-08-06:foreign,польша,yes,"Стратегич.очерк ч.4, сноска у стр.~5257","н.ст.19.08.1915; ru.wikipedia даёт 07(20).08 — расхождение на 1 день, см. текстовый файл; высокая уверенность (первичный источник)"
Варшава,52.2297,21.0122,empire,1915-07-22:foreign,польша,yes,"Стратегич.очерк ч.4, с.83","н.ст.04/05.08.1915 (ночь); день отхода рус.войск, вход германцев отдельно не назван; высокая уверенность"
