acquisition,date,act,city,lat,lon,expect_in_empire,source,note
Прибалтика (Лифляндия),1722-06-01,Ништадтский мир 30.08.1721,Рига,56.949,24.105,yes,ПСЗРИ т. 6 № 3819 (Ништадтский мир),"Лифляндия, Эстляндия, Ингрия, часть Карелии"
Прибалтика (Эстляндия),1722-06-01,Ништадтский мир 30.08.1721,Таллин,59.437,24.754,yes,ПСЗРИ т. 6 № 3819 (Ништадтский мир),Ревель
Камчатка,1732-06-01,походы В. Атласова 1697-1699; к 1731 империя обложила ительменов и коряков ясаком,Петропавловск-Камчатский,53.024,158.643,no,Крашенинников С.П. Описание земли Камчатки (1755),"ОСТРОГ - НЕ ЗАХВАТ (решение куратора 28.08.2026). Последнее выступление на полуострове - 1746 год, участников переловили к 1748-му; до того на Камчатке стоят только остроги точками. Строка оставлена сторожем. Разбор - data/crosscheck/siberia_control_vs_act.md"
Младший жуз,1732-06-01,присяга Абулхаира 19.02.1731,Уральск,51.233,51.367,no,"война Срыма Датова 1783-1797; Устав об оренбургских киргизах 1824","строка перевёрнута 28.08.2026: присяга хана управления степью не давала, красное приходит Уставом 1824 года"
Первый раздел Речи Посполитой,1773-06-01,конвенция о разделе 25.07(05.08).1772,Витебск,55.184,30.201,yes,ПСЗРИ т. 19 № 13850,"Полоцк, Витебск, Мстиславль, часть Инфлянтов"
Крым,1780-06-01,до манифеста 1783,Симферополь,44.952,34.102,no,Кючук-Кайнарджийский мир 1774: ханство формально независимо,негативная проверка
Крым,1784-06-01,манифест Екатерины II 08(19).04.1783,Симферополь,44.952,34.102,yes,ПСЗРИ т. 21 № 15708 (манифест о принятии Крыма),ликвидация Крымского ханства
Картли-Кахети (Грузия),1790-06-01,до манифеста 1801,Тбилиси,41.716,44.784,no,"Георгиевский трактат 1783 - протекторат, не присоединение",негативная проверка
Западная Грузия,1790-06-01,до присоединения Мегрелии (1803) и Имеретии (1810),Кутаиси,42.27,42.706,no,ПСЗРИ т. 31 № 24246,источник держал Западную Грузию в империи с 1783 - вычтено до Гюлистана
Второй раздел Речи Посполитой,1794-06-01,конвенция 12(23).01.1793,Минск,53.902,27.562,yes,ПСЗРИ т. 23 № 17108,"Минщина, Волынь, Подолье"
Третий раздел Речи Посполитой,1796-06-01,конвенция 13(24).10.1795,Вильнюс,54.687,25.280,yes,ПСЗРИ т. 23 № 17417,"Литва, Курляндия, Западная Волынь"
Финляндия,1800-06-01,до Фридрихсгама,Хельсинки,60.170,24.938,no,Швеция до 1809,негативная проверка
Русская Америка,1800-06-01,привилегии Российско-Американской компании 08(19).07.1799,Ситка,57.053,-135.330,yes,ПСЗРИ т. 25 № 19030 (привилегии РАК),Ново-Архангельск основан 1799
Правобережье Кубани (рамка не тронута),1800-06-01,переселение Черноморского казачьего войска на Кубань 1792,Екатеринодар,45.035,38.975,yes,ПСЗРИ т. 23 № 17055 (жалованная грамота Черноморскому войску 30.06.1792),проверка рамки Черкесии: правобережье вычитание не трогает
Картли-Кахети (Грузия),1802-06-01,манифест Александра I 12(24).09.1801,Тбилиси,41.716,44.784,yes,ПСЗРИ т. 26 № 20007 (манифест о присоединении Грузии); Георгиевский трактат 1783,"упразднение царства, введение имперского управления"
Царство Польское,1805-06-01,до Венского конгресса,Варшава,52.230,21.011,no,третий раздел 1795: Варшава отошла Пруссии,"негативная проверка: 1795-1806 Варшава прусская, 1807-1815 - Варшавское герцогство"
Финляндия,1810-06-01,Фридрихсгамский мир 05(17).09.1809,Хельсинки,60.170,24.938,yes,ПСЗРИ т. 30 № 23883 (Фридрихсгамский трактат); Боргоский сейм 1809,Великое княжество Финляндское
Бессарабия,1810-06-01,до Бухарестского мира,Кишинёв,47.011,28.863,no,Османская империя до 1812,негативная проверка
Бессарабия,1813-06-01,Бухарестский мир 16(28).05.1812,Кишинёв,47.011,28.863,yes,ПСЗРИ т. 32 № 25110 (Бухарестский трактат),земли между Прутом и Днестром
Западная Грузия,1814-06-01,"Мегрелия 1803, Имеретия и Гурия 1810, Абхазия 1810",Кутаиси,42.270,42.706,yes,ПСЗРИ т. 31 № 24246 (манифест о присоединении Имеретии 1810),череда просительных пунктов и упразднений
Гюлистан: Баку и Ширван,1814-06-01,Гюлистанский мир 12(24).10.1813,Баку,40.409,49.867,yes,ПСЗРИ т. 32 № 25466 (Гюлистанский трактат),"Персия отказалась от Бакинского, Ширванского, Карабахского, Гянджинского, Дербентского, Кубинского и Талышского ханств"
Гюлистан: Дербент,1814-06-01,Гюлистанский мир 12(24).10.1813,Дербент,42.058,48.290,yes,ПСЗРИ т. 32 № 25466,Дербентское ханство
Гюлистан: Гянджа,1814-06-01,взятие Гянджи 03.01.1804; Гюлистанский мир 1813,Гянджа,40.683,46.361,yes,АКАК т. 2 (реляции Цицианова); ПСЗРИ т. 32 № 25466,город переименован в Елисаветполь
Гюлистан: Карабах,1814-06-01,Кюрекчайский трактат 14.05.1805; Гюлистанский мир 1813,Шуша,39.755,46.751,yes,АКАК т. 2 № 1436 (Кюрекчайский трактат); ПСЗРИ т. 32 № 25466,вассальный переход Ибрагим-хана
Царство Польское,1816-06-01,"Венский конгресс, акт 03(15).05.1815; конституция 27.11.1815",Варшава,52.230,21.011,yes,ПСЗРИ т. 33 № 25842; заключительный акт Венского конгресса,личная уния с императором
Туркманчай: Эриванское ханство,1820-06-01,до Туркманчая,Ереван,40.183,44.514,no,Персия до 1828,негативная проверка: Гюлистан 1813 Эривань империи не дал
Адрианополь: Ахалцихский пашалык,1820-06-01,до Адрианополя,Ахалцихе,41.640,42.985,no,Османская империя до 1829,негативная проверка
Средний жуз,1823-06-01,присяга Абулмамбета 1740; Устав о сибирских киргизах 22.06.1822,Семипалатинск,50.411,80.227,yes,ПСЗРИ т. 38 № 29127 (Устав о сибирских киргизах),окружная система вместо ханской власти
Туркманчай: Эриванское ханство,1829-06-01,Туркманчайский мир 10(22).02.1828,Ереван,40.183,44.514,yes,ПСЗРИ (2-е собр.) т. 3 № 1794 (Туркманчайский трактат),Армянская область учреждена 21.03.1828
Туркманчай: Нахичеванское ханство,1829-06-01,Туркманчайский мир 10(22).02.1828,Нахичевань,39.209,45.412,yes,ПСЗРИ (2-е собр.) т. 3 № 1794,второе ханство по Туркманчаю
Адрианополь: Ахалцихский пашалык,1830-06-01,Адрианопольский мир 02(14).09.1829,Ахалцихе,41.640,42.985,yes,ПСЗРИ (2-е собр.) т. 4 № 3128 (Адрианопольский трактат),Ахалцихе и Ахалкалаки от Османской империи
Адрианополь: черноморское побережье,1830-06-01,Адрианопольский мир 02(14).09.1829,Поти,42.146,41.673,yes,ПСЗРИ (2-е собр.) т. 4 № 3128,побережье от Анапы до Св. Николая
Адрианополь: Анапа,1830-06-01,Адрианопольский мир 02(14).09.1829,Анапа,44.894,37.316,yes,ПСЗРИ (2-е собр.) т. 4 № 3128,крепости Анапа и Суджук-кале
Бессарабия,1830-06-01,Бухарестский мир 16(28).05.1812,Кишинёв,47.011,28.863,yes,ПСЗРИ т. 32 № 25110,сценарий куратора: попап по Кишинёву при 1830
Анапа и Суджук-кале (рамка не тронута),1830-06-01,Адрианопольский мир 02(14).09.1829,Анапа,44.894,37.316,yes,ПСЗРИ (2-е собр.) т. 4 № 3128,проверка рамки Черкесии: приобретение 1829 г. не срезано
Старший жуз,1840-06-01,до присяги старших жузов,Алматы,43.238,76.889,no,Кокандское влияние в Семиречье до 1850-х,негативная проверка
Чечня южнее Терека (война сопротивления),1840-06-01,"Гюлистанский мир 12(24).10.1813 - де-юре; контроля у империи нет, идёт война",Грозный,43.317,45.698,no,"наша база кампаний, домен нохчи: «Стеснение Чечни со всех сторон»: блокада, тайная война, карательные экспедиции и Сунженская линия (1840-1846) (C1165)",правка 19.08.2026: до неё карта красила Чечню имперской с 1783 г.; см. data/crosscheck/control_vs_act.csv
Терская линия (рамка не тронута),1840-06-01,"Кизлярская крепость 1735, станицы Терского казачьего войска",Кизляр,43.851,46.716,yes,"домен нохчи: Возведение укрепленных станиц, подселение казаков на границах и удержание заложников (1736-1740) (C1134)",проверка рамки: приtеречную полосу вычитание Чечни не трогает
Терская линия (рамка не тронута),1840-06-01,станица Наурская на Тереке,Наурская,43.678,45.386,yes,домен нохчи: C1134,проверка рамки по широте 43.5 градуса
Владикавказ (Ингушетию не правили),1840-06-01,крепость Владикавказ 1784,Владикавказ,43.030,44.680,yes,ПСЗРИ т. 22 № 16194,"войны за контроль над Ингушетией наша база не описывает - Ингушетию на карте не трогали, см. data/crosscheck/control_vs_act.csv"
Кумыкская плоскость (война сопротивления),1840-06-01,"Гюлистанский мир 12(24).10.1813 - де-юре; контроля у империи нет",Хасавюрт (Эндирей),43.251,46.587,no,"АКАК т. 9, обзор конца 1830-х: «Укрѣпленія, построенныя въ Кумыкской землѣ - Внезапная, Умахан-юртъ и Таш-кичу, не охраняли Кумыковъ отъ нападеній и не упрочивали сообщенія»","правка 29.08.2026: до неё карта красила плоскость с 1783 года"
Картли-Кахети (Грузия),1850-06-01,манифест Александра I 12(24).09.1801,Тбилиси,41.716,44.784,yes,ПСЗРИ т. 26 № 20007,"сценарий куратора: попап по Тбилиси при 1850 обязан говорить «в империи с 1801», а не с 1886"
Финляндия,1850-06-01,Фридрихсгамский мир 05(17).09.1809,Хельсинки,60.17,24.938,yes,ПСЗРИ т. 30 № 23883,сценарий куратора: попап по Хельсинки при 1850
Черкесия,1850-06-01,до окончания Кавказской войны,Сочи,43.585,39.723,no,АКАК т. 12,негативная проверка
Приамурье,1850-06-01,до Айгунского договора,Благовещенск,50.29,127.527,no,Нерчинский договор 1689,источник держал левобережье Амура в империи с 1815 - вычтено до Айгуна
Салатавия и Аух (война сопротивления),1850-06-01,"рамка горного Дагестана обрезана по 43.15°, эти земли севернее",Новолакское,43.197,46.357,no,"АКАК т. 12: участки Ауховский и Салатавский присоединены к Кумыкскому округу уже после падения имамата","часть имамата: наибства Салатавии и Ауха воевали до 1859 года"
Старший жуз,1855-06-01,принятие в подданство 1846-1848; укрепление Верное 1854,Алматы,43.238,76.889,yes,"Материалы по истории Казахской ССР; ЦГИА, дела Оренбургской пограничной комиссии",Заилийский край
Приморье,1855-06-01,до Айгуна и Пекина,Владивосток,43.116,131.883,no,Цинская империя по Нерчинскому договору 1689,негативная проверка
Чечня южнее Терека (война сопротивления),1855-06-01,до завоевания Чечни Евдокимовым,Ведено,42.964,46.078,no,"домен нохчи: «Ни пахать, ни сеять»: погром Чечни, организованный голод, перекупка элит и институты подчинения (1852-1857) (C1167)","столица имамата; негативная проверка, см. data/crosscheck/control_vs_act.csv"
Горный Дагестан (ядро имамата),1855-06-01,Гюлистанский мир 12(24).10.1813 - де-юре; идёт война имамата,Гуниб,42.388,46.914,no,"домен нохчи: C1169 - «имамат пал в 1859: в апреле войска взяли Ведено, в августе у дагестанского аула Гуниб сдался сам Шамиль»",сценарий куратора: Гуниб при 1855; см. data/crosscheck/control_vs_act.csv
Приморский Дагестан (рамка не тронута),1855-06-01,Гюлистанский мир 12(24).10.1813,Петровск (Махачкала),42.976,47.502,yes,ПСЗРИ т. 32 № 25466,проверка рамки горного Дагестана: приморскую полосу вычитание не трогает
Приамурье,1859-06-01,Айгунский договор 16(28).05.1858,Благовещенск,50.290,127.527,yes,Сборник договоров России с Китаем 1689-1881; Айгунский трактат,левобережье Амура
Ташкент,1860-06-01,до штурма 1865,Ташкент,41.311,69.240,no,Кокандское ханство до 1865,негативная проверка
Чечня южнее Терека,1860-06-01,"завоевание Чечни Евдокимовым (1857-1859), взятие Ведено в апреле 1859",Ведено,42.964,46.078,yes,домен нохчи: Просеки и голод: завоевание Чечни Евдокимовым (1857-1859) (C1168); падение Ведено датировано в C1169,контроль установлен - территория красная с 19.08.1859
Чечня южнее Терека,1860-06-01,завоевание Чечни Евдокимовым (1857-1859),Грозный,43.317,45.698,yes,домен нохчи: C1168,сценарий куратора: у Грозного при 1900 войны за контроль уже нет
Горный Дагестан (ядро имамата),1860-06-01,сдача имама Шамиля у аула Гуниб 25.08.1859,Гуниб,42.388,46.914,yes,домен нохчи: C1169,контроль установлен - территория красная с 25.08.1859
Черкесия: левобережье Кубани,1860-06-01,до окончания Кавказской войны,Майкоп,44.609,40.106,no,АКАК т. 12; Берже А.П. Выселение горцев с Кавказа,"правка 19.08.2026: приобретение 1864 г. в таблице было, но контур источника красил левобережье с 1783 г.; кампаний по черкесам в нашей базе нет - дату мы взяли из акта"
Кумыкская плоскость,1860-06-01,сдача имама Шамиля у аула Гуниб 25.08.1859,Хасавюрт (Эндирей),43.251,46.587,yes,"АКАК т. 12, док. 561, июль 1858: «Кумыкскій округъ образуется изъ Кумыковъ и Ногайцевъ, а со временемъ къ нему присоединятся и тѣ изъ прилежащихъ обществъ, которыя могутъ намъ покориться»","округ заработал после падения имамата, ранее приставство держалось на штыках"
Приморье,1861-06-01,Пекинский трактат 02(14).11.1860,Владивосток,43.116,131.883,yes,Сборник договоров России с Китаем 1689-1881; Пекинский трактат,Уссурийский край
Черкесия,1865-06-01,"окончание Кавказской войны, Кбаадэ 21.05.1864",Сочи,43.585,39.723,yes,АКАК т. 12; Берже А.П. Выселение горцев с Кавказа,"территория взята депортацией населения, а не договором"
Черкесия: левобережье Кубани,1865-06-01,"окончание Кавказской войны, парад в Кбаадэ 21.05.1864",Майкоп,44.609,40.106,yes,АКАК т. 12; Берже А.П. Выселение горцев с Кавказа,крепость Майкоп империя заложила в 1857 году - в воюющей стране
Ташкент,1866-06-01,штурм Ташкента Черняевым 15-17.06.1865,Ташкент,41.311,69.240,yes,Терентьев М.А. История завоевания Средней Азии т. 1,"Туркестанская область 1865, генерал-губернаторство 1867"
Самарканд,1866-06-01,до взятия 1868,Самарканд,39.654,66.960,no,Бухарский эмират до 1868,негативная проверка
Русская Америка,1866-06-01,привилегии РАК 08(19).07.1799,Ситка,57.053,-135.33,yes,ПСЗРИ т. 25 № 19030,до продажи точка обязана быть внутри
Русская Америка,1868-06-01,договор о продаже Аляски 18(30).03.1867,Ситка,57.053,-135.330,no,ПСЗРИ (2-е собр.) т. 42 № 44518 (конвенция об уступке Аляски),"проверка, что империя ушла: после 1867 точка обязана быть вне контура"
Самарканд,1869-06-01,взятие Самарканда 02.05.1868; договор с Бухарой 23.06.1868,Самарканд,39.654,66.960,yes,Терентьев М.А. История завоевания Средней Азии т. 1; текст мирного договора 1868,Зеравшанский округ; Бухара - протекторат
Батум,1870-06-01,до Берлинского трактата,Батуми,41.646,41.640,no,Османская империя до 1878,негативная проверка
Ташкент,1870-06-01,штурм Ташкента 15-17.06.1865,Ташкент,41.311,69.24,yes,Терентьев М.А. История завоевания Средней Азии т. 1,сценарий куратора: попап по Ташкенту при 1870
Хивинское ханство,1874-06-01,Гандемианский мирный договор 12(24).08.1873,Хива,41.378,60.364,yes,текст Гендемианского договора 1873; Терентьев М.А. т. 2,протекторат; правобережье Амударьи - прямо империи
Южный Сахалин,1876-06-01,Петербургский договор 25.04(07.05).1875,Корсаков,46.632,142.795,yes,текст Санкт-Петербургского договора 1875,обмен Курил на Сахалин
Кокандское ханство,1877-06-01,"упразднение ханства, Ферганская область 19.02.1876",Коканд,40.529,70.943,yes,ПСЗРИ (2-е собр.) т. 51 № 55613,аннексия после восстания 1875
Карс и Ардаган,1879-06-01,Берлинский трактат 01(13).07.1878,Карс,40.598,43.097,yes,ПСЗРИ (2-е собр.) т. 53 № 58785 (Берлинский трактат),Карсская область
Карс и Ардаган,1879-06-01,Берлинский трактат 01(13).07.1878,Ардаган,41.108,42.702,yes,ПСЗРИ (2-е собр.) т. 53 № 58785,Карсская область
Батум,1879-06-01,Берлинский трактат 01(13).07.1878,Батуми,41.646,41.640,yes,ПСЗРИ (2-е собр.) т. 53 № 58785,порто-франко до 1886
Мервский оазис,1880-06-01,до присяги 1884,Мары,37.594,61.833,no,независимые туркменские племена до 1884,негативная проверка
Приморье,1880-06-01,Пекинский трактат 02(14).11.1860,Владивосток,43.116,131.883,yes,Сборник договоров России с Китаем 1689-1881,сценарий куратора: попап по Владивостоку при 1880
Ташкент,1881-06-01,штурм Ташкента 15-17.06.1865,Ташкент,41.311,69.24,yes,Терентьев М.А. т. 1,проверка среза источника 1880
Картли-Кахети (Грузия),1881-06-01,манифест Александра I 12(24).09.1801,Тбилиси,41.716,44.784,yes,ПСЗРИ т. 26 № 20007,проверка среза источника 1880: у источника Закавказья в нём нет
Гюлистан: Баку и Ширван,1881-06-01,Гюлистанский мир 12(24).10.1813,Баку,40.409,49.867,yes,ПСЗРИ т. 32 № 25466,проверка среза источника 1880
Батум,1881-06-01,Берлинский трактат 01(13).07.1878,Батуми,41.646,41.64,yes,ПСЗРИ (2-е собр.) т. 53 № 58785,проверка среза источника 1880
Мервский оазис,1885-06-01,присяга мервских старшин 01(13).02.1884,Мары,37.594,61.833,yes,Терентьев М.А. История завоевания Средней Азии т. 3,империя дошла до последних туркменских оазисов после резни в Геок-Тепе 1881
Хивинское ханство,1890-06-01,Гандемианский договор 12(24).08.1873,Хива,41.378,60.364,yes,текст Гендемианского договора 1873,"протекторат: у CShapes его в контуре нет, добавлен нами"
Бухарский эмират,1890-06-01,договор с Бухарой 23.06(05.07).1868,Бухара,39.767,64.428,yes,текст договора 1868,"протекторат: у CShapes его в контуре нет, добавлен нами"
Памир,1896-06-01,русско-британское разграничение на Памире 27.02(11.03).1895,Хорог,37.489,71.551,yes,протоколы разграничительной комиссии 1895,последнее приобретение в Средней Азии
Урянхайский край (Тува),1910-06-01,до протектората,Кызыл,51.719,94.438,no,"Цинская империя, затем спорная территория",негативная проверка
Южный Сахалин,1910-06-01,Портсмутский мир 23.08(05.09).1905,Корсаков,46.632,142.795,no,текст Портсмутского договора 1905,"проверка, что империя ушла: юг Сахалина вернулся Японии"
Урянхайский край (Тува),1915-06-01,протекторат объявлен 04(17).04.1914,Кызыл,51.719,94.438,yes,телеграмма Николая II 04.04.1914; Белоглазов А. Урянхайский вопрос,Белоцарск основан 1914
Западная Украина,1939-06-01,до вторжения РККА (линия Рижского мира 18.03.1921),Львов,49.842,24.032,no,"Рижский мирный договор 18.03.1921, ст. II (data/sources/treaties/riga-peace-1921/border_description.md)","негативная проверка: до 17.09.1939 Львов польский, дыра между 1921 и 1940 годами закрыта 26.08.2026"
Западная Украина,1939-10-01,вторжение РККА в Польшу 17.09.1939 по секретному протоколу пакта Молотова-Риббентропа 23.08.1939,Львов,49.842,24.032,yes,секретный дополнительный протокол 23.08.1939; германо-советский договор о дружбе и границе 28.09.1939; закон ВС СССР от 01.11.1939,главная проверка пакта: до правки 26.08.2026 карта тянула линию Риги через весь 1939 год
Западная Беларусь,1939-10-01,вторжение РККА в Польшу 17.09.1939,Брест,52.098,23.734,yes,секретный дополнительный протокол 23.08.1939; закон ВС СССР от 02.11.1939,Брестская крепость передана вермахтом РККА 22.09.1939 (совместный парад Гудериана и Кривошеина)
Виленский край,1939-11-01,передан Литве договором о взаимопомощи 10.10.1939,Вильнюс,54.687,25.28,no,советско-литовский договор о взаимопомощи и передаче Вильно 10.10.1939,"негативная проверка: осенью 1939 Вильнюс литовский, не советский; трёхнедельная оккупация РККА 19.09-28.10.1939 в контур не заведена (показ бинарный)"
Литва (с Виленским краем),1940-08-01,"ультиматум 14.06.1940, ввод войск 15.06.1940, включение в СССР 03.08.1940",Вильнюс,54.687,25.28,yes,ультиматум СССР Литве 14.06.1940; закон ВС СССР от 03.08.1940,у CShapes Литва 1940 года нарисована БЕЗ Виленского края - добавлен курируемым куском
Латвия,1940-05-01,до ультиматума 16.06.1940,Рига,56.949,24.105,no,мирный договор РСФСР - Латвия 11.08.1920 (data/sources/treaties/riga-latvia-1920/),негативная проверка: до правки 26.08.2026 вся Балтия появлялась скачком 28.06.1940
Латвия,1940-08-01,"ультиматум 16.06.1940, ввод войск 17.06.1940, включение в СССР 05.08.1940",Рига,56.949,24.105,yes,ультиматум СССР Латвии 16.06.1940; закон ВС СССР от 05.08.1940,срез 15.06.1940 заведён 26.08.2026: Балтия отделена от Бессарабии
Бессарабия,1940-05-01,до ультиматума Румынии 26.06.1940,Кишинёв,47.011,28.858,no,Парижский протокол 28.10.1920 о признании присоединения Бессарабии к Румынии,негативная проверка: Бессарабия румынская 1918-1940
Бессарабия и Северная Буковина,1940-08-01,"ультиматум Румынии 26.06.1940, ввод войск 28.06.1940",Кишинёв,47.011,28.858,yes,п. 3 секретного протокола 23.08.1939; ультиматум СССР Румынии 26.06.1940,срез 28.06.1940 был и раньше; теперь на нём остались только Бессарабия и Буковина
Карельский перешеек,1940-02-01,идёт Зимняя война (30.11.1939 - 12.03.1940),Выборг,60.709,28.749,no,Тартуский мирный договор 14.10.1920 (data/sources/treaties/tartu-finland-1920/),"негативная проверка: во время самой Зимней войны Выборг ещё финский, взят 13.03.1940 после подписания мира"
Карельский перешеек,1940-05-01,Московский мирный договор с Финляндией 12.03.1940,Выборг,60.709,28.749,yes,Московский мирный договор 12.03.1940; Финляндия в советской сфере по п. 1 секретного протокола 23.08.1939,срез 12.03.1940 был и раньше; пересобран вместе с приобретением 1939 года
Закарпатье,1939-10-01,в 1939 венгерское (оккупация 15-18.03.1939),Ужгород,48.621,22.288,no,венгерско-словацкое перемирие 04.04.1939; Первый Венский арбитраж 02.11.1938,негативная проверка: раздел Польши 1939 года Закарпатья не касался
Закарпатье,1945-08-01,договор СССР - Чехословакия о Закарпатной Украине 29.06.1945,Ужгород,48.621,22.288,yes,договор между СССР и Чехословацкой Республикой о Закарпатной Украине 29.06.1945,срез 29.06.1945 заведён 26.08.2026; в том же контуре источника приходят Кёнигсберг (Потсдам 02.08.1945) и Петсамо
