segment,seq,place,lat,lon,source,confidence,note
crimea-moscow-1521/approach,4,"Кашира",54.8450,38.1630,"Постниковский летописец (ПСРЛ т. 34, с. 14): «коширской посад пожгли»",высокая,"дата внутри окна 28 июля - 4 августа"
crimea-moscow-1521/sonraid,1,"Николо-Угрешский монастырь",55.6390,37.8380,"Владимирский летописец, л. 240: сожжён, «у церкви у каменной верх завалился»",высокая,
crimea-moscow-1521/sonraid,2,"Село Остров, дворец Василия III",55.5830,37.8450,"Постниковская и Синодальная летописи (по Карамзину, ИГР т. 7, гл. 2, прим.); историко-архитектурный разбор Б. М. Винникова, Кадашевские чтения 2011/12",высокая,
crimea-moscow-1521/sonraid,3,"Воробьёвы горы",55.7100,37.5600,"Синодальная летопись (цит. по Зимину, 1972, с. 241): на Воробьёве «мёд на погребах великого князя пили»",средняя,"Никоновская летопись (ПСРЛ т. 13, с. 38) утверждает, что до города вовсе не дошли; к Москве ходил не сам хан, а его сын - «Салтан богатырь»"
crimea-moscow-1521/kazan,1,"Нижний Новгород",56.3300,44.0000,"Разрядная книга 1475-1598: заранее выставлены гарнизоны в Нижнем Новгороде, Муроме, Мещере и на Мокше в Нароватове",средняя,"маршрут казанского крыла источники не описывают - названы только цели удара"
crimea-moscow-1521/kazan,2,"Муром",55.5700,42.0500,"Хронограф: «приходил в это же время казанский царь на Муромские места и Мещерские»",средняя,
crimea-moscow-1521/kazan,3,"Окрестности Владимира",56.1300,40.4000,"пересказ летописных известий о разорении владимирских окрестностей казанским войском",низкая,"дат нет, опорных пунктов между городами нет"
crimea-moscow-1521/retreat,1,"Коломна",55.0900,38.7800,"Разрядная книга 1475-1598: «лета 7029-го… августа в 12 день, как царь пошол из земли назад» - новая роспись воевод по Коломне, Кашире, Серпухову, Угре, Туле, Рязани",средняя,
crimea-moscow-1521/retreat,2,"Переяславль-Рязанский, осада",54.6300,39.7400,"осада не раньше 15-16 августа (Пенской, со ссылкой на Герберштейна); Дашкевич пытался взять город хитростью, отражён пушкарём Иоганном Иорданом при воеводе Иване Хабаре",высокая,"НЕСТЫКОВКА ИСТОЧНИКОВ: «пошол из земли назад» 12 августа против осады не раньше 15-16 августа"
crimea-moscow-1521/retreat,3,"Выход в степь",53.9000,40.2000,"хан узнал о ногайском набеге на свои улусы и ушёл, оставив грамоту у Хабара",низкая,"точной даты ухода за рубеж нет"
molodi-1572/crossing,1,"Сенькин брод, устье Лопасни",54.8427,37.8523,"Разрядная книга 1475-1598: «Теребердей мурза с нагайскими тотары пришол на Сенкин перевоз в ночи и тех детей боярских розогнали и розгромили и плетени ис подкопов выняли да перешли на сю сторону Оки»; «тое ночи крымской царь на том же Сенкине перевозе перелез Оку со всеми своими полки»",высокая,"привязка проверена по OpenStreetMap: урочище «Сенькин брод», городской округ Серпухов"
molodi-1572/crossing,2,"Река Пахра у нынешнего Подольска",55.4309,37.5453,"Разрядная книга: «Июля в 28 день в понедельник тот Теребердей мурза пришол под Москву и круг Москвы отнял все дороги, а не воевал ничево»",средняя,"источник называет только реку; привязка к Подольску из литературы"
crimea-moscow-1591/approach,1,"Ливны",52.4253,37.6083,"А. В. Виноградов (2014, с. 24, со ссылкой на РГАДА ф. 123 оп. 1 ед. хр. 19, лл. 117об-118): поход обнаружили станичные головы у Ливен",средняя,"дата не названа; известие идёт из крымской дипломатической версии с оговоркой «якобы»"
crimea-moscow-1591/approach,2,"Дедилов и Костомаров брод на Упе",53.9400,37.8500,"Книга Большому Чертежу: «лазят Татарове выше Тулы верст с восемь реку Шать… лазят реку Упу в Костомарове броде, против Дедилова… от Тулы 20 верст»",средняя,"геометрия шляха документирована, но дата прохода в 1591 году не названа"
crimea-moscow-1591/approach,3,"Тула",54.1900,37.6200,"Разрядная книга 1475-1598: воеводы «с Тулы» и «з Дедилова» стягивались в Серпухов до подхода хана",средняя,
crimea-moscow-1591/approach,4,"Переправа через Оку под Тешиловом",54.8300,37.6000,"Разрядная книга, л. 224об: «Июля в 3 день приехол з берегу Степан Колтовской, а в роспросе сказал, что царь крымской Оку реку перелез под Тешиловым и идет прямо к Москве»",высокая,"привязка к нынешнему Спас-Тешилову - средняя"
crimea-moscow-1591/approach,5,"Подход к Москве, стычка у Пахры",55.3000,37.6000,"Разрядная книга: князь В. И. Бахтеяров с тремя сотнями отогнал татарский авангард «по Котел»",средняя,"полоса доведена до подступов: сам бой у Котлов - отдельная запись, там империя устояла"
crimea-moscow-1591/retreat,1,"Коломенское, ставка хана",55.6690,37.6700,"Летописец с новыми известиями о восстании Болотникова (публикация В. И. Корецкого, История СССР, 1968, № 4, л. 111): «пришед стал в селе Коломенском»",средняя,"Разрядная книга ставку отдельно не называет"
crimea-moscow-1591/retreat,2,"Переправа обратно за Оку, ночёвка в девяноста верстах от Москвы",54.8300,37.6000,"Летописец Корецкого: «в другую нощь против понедельника с воскресенья побежал ис-под Москвы ис Коломенскова, начевал, перешед Оку от Москвы девяноста верст»; Разрядная книга: бежал «в ночи», «того же утра и Оку перелез»",высокая,
crimea-moscow-1591/retreat,3,"Вторая ночёвка за Дедиловым",53.8000,37.8500,"Летописец Корецкого: «а другую ночь начевал за Дедиловым»",средняя,"точка не привязывается, только «южнее Дедилова»"
crimea-moscow-1591/retreat,4,"Выход в степь",53.2000,37.7000,"погоня: основная рать дошла до Серпухова и встала, за Оку высланы лёгкие отряды; стычки «меж Тулы и Дедилова»",низкая,
