name,name_ru,people,from,to,territory,kind,event,source,confidence,note,hold_from,hold_to,hold_note,geo,hold_geo
ukraine_1668,Украинское восстание 1668-1669,украинцы,1668,1669,"Левобережье, частично Слобожанщина",national,вооружённое выступление против раздела Гетманщины по Андрусовскому перемирию 1667 г. и против московского господства; закончилось переговорами и возвращением Левобережья под московский протекторат на более мягких условиях («Глуховские статьи»),"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 11",высокая,,,,,ne:Ukraine:Chernihiv|Poltava|Sumy|Kharkiv,
solovki_1668,«Соловецкое сидение» 1668-1676,русские,1668,1676-01-22,Соловецкий монастырь,religious,"самое крупное выступление старообрядцев: осада и захват войсками монастыря, отказавшегося принять церковную реформу","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 12",высокая,,,,,ne:Russia:Arkhangel'sk,
bashkir_1681,Башкирское восстание 1681-1684,башкиры,1681,1684,Башкортостан,national,"полномасштабное выступление против попытки насильственного крещения башкир и произвола местной администрации; повстанцы осадили Уфу, вторжение калмыков вынудило их пойти на примирение","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 13",высокая,планы крещения Башкортостана после этого отменены,,,,ne:Russia:Bashkortostan,
khovanshchina_1682,«Хованщина» 1682,русские,1682-05,1682-09,Москва,military,"выступление стрельцов в мае, после которого царевна Софья объявлена регентшей; единственное выступление периода, сменившее власть в Москве","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 14",высокая,,,,,city:Москва,
vanyady_1683,Восстание ванядов 1683,нганасаны (вадеевские),1683,1683,"Таймыр, Эвенкия",national,"самое крупное выступление этого народа против уплаты ясака: уничтожено Есейское зимовье, население массово ушло в Якутию","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 15",средняя,,,,,ne:Russia:Krasnoyarsk,
yakut_tungus_1631,Тунгусские и якутские восстания 1631-1686,"якуты, эвенки",1631,1686,"Якутия, Охотское побережье",national,"непрерывная череда выступлений против сбора ясака: осады Якутского острога 1634, 1641-1642, осады Охотского острога 1646, 1650-1651, 1677-1678; в 1682 г. якуты во главе с Дженником вместе с эвенками несколько раз пытались захватить Якутск; в 1684 г. последнее выступление во главе с Орюканом Секуевым","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 16",высокая,"повстанцев в 1650-1678 гг. возглавлял Зелемей Ковырин, в 1675-1676 гг. - Балтуга Тимирев",,,,ne:Russia:Sakha (Yakutia),
yukaghir_1635,Юкагирские восстания 1635-1715,юкагиры,1635,1715,"Колыма, Индигирка, Анадырь",national,"юкагиры признали московское верховенство после боёв 1635-1644 гг., но оружия не сложили: столкновения 1645, 1647, 1649-1652, 1656, 1661, 1663 (уничтожено Нижнеянское зимовье), 1666, 1669, 1672, 1697 гг.; в 1681-1684 гг. Канива осадил Анадырский острог","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 17",высокая,после выступления 1714-1715 гг. юкагиры окончательно признали власть Москвы,,,,ne:Russia:Sakha (Yakutia)|Maga Buryatdan|Chukchi Autonomous Okrug,
baikal_1695,Байкальское восстание 1695-1700,"русские служилые, буряты",1695,1700,Прибайкалье и Забайкалье,urban,"выступления служилых людей против злоупотреблений местной администрации, к которым присоединялись крестьяне и ясачное население; впервые повстанцы разных городов координировали действия, забайкальские казаки заключили союз","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 18",средняя,"очаги: Красноярск и Нерчинск (1695), остроги Баргузинский, Братский, Ильинский, Кабанский, Селенгинский, Удинский и Илимск (1696), Иркутск (1697); большинство выступлений заканчивалось компромиссом за 2-3 года",,,,ne:Russia:Irkutsk|Buryat|Chita|Krasnoyarsk,
strelets_1698,Стрелецкое выступление 1698,русские,1698-06,1698-06,Подмосковье,military,"выступление четырёх старых полков против реформ Петра I, разбито новой регулярной армией","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 31, п. 19",высокая,,,,,city:Москва,
koryak_itelmen_1699,Сопротивление коряков и ительменов 1699-1757,"коряки, ительмены, чукчи, юкагиры",1699,1757,"Камчатка, северное побережье Охотского моря",national,"освободительная борьба началась сразу после захвата полуострова: в 1699, 1700, 1705 и 1708 гг. коряки и ительмены уничтожали русские отряды, в 1706 г. сожгли Большерецкий острог; за 1700-1716 гг. зафиксировано 31 вооружённое столкновение (15 выиграли русские, 10 - коряки, 6 вничью)","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 1",высокая,"захват крепости «Великий Посад» в 1714 г. после полугодовой осады переломил борьбу; вторая волна - 1731-1733 гг.; выступление 1745-1757 гг. во главе с Евонтой Косинским освободило от русского господства всё северное побережье Охотского моря, и только после его разгрома силой Камчатка окончательно вошла в состав империи",,,,ne:Russia:Kamchatka|Maga Buryatdan,
bashkir_1704,Башкирское восстание 1704-1711,башкиры,1704,1711,"Башкортостан, Зауралье, Прикамье",national,"выступление во главе с Алдаром Исекеевым против новых налогов, религиозного давления и рекрутчины; в 1708 г. повстанцы объявили о создании Башкирской орды во главе с ханом, башкирские войска держали территорию от Казани до Зауралья и нанесли империи ряд поражений","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 2",высокая,"на стороне повстанцев выступили каракалпаки, на стороне войск империи - калмыки; юридически довоенное положение восстановлено только в 1722 г.",1708-01-01,1711-12-31,"атлас прямо пишет: «На певний час башкири здобули фактичну незалежність». Своя государственность - Башкирская орда со своим ханом, объявлена в 1708 г.; территорию держали до поражений 1711 г. Вычитаем современный Башкортостан, обрезанный контуром империи: остальная захваченная полоса до Казани и Зауралья машиночитаемого контура не имеет. С 28.08.2026 вся башкирская земля вычтена из красного до 1740 года (аудит «акт против контроля»: подданство 1554-1557 было словами, война 1735-1740 решила дело), поэтому отдельный вырез 1708-1711 больше не нужен - paint=shown_elsewhere, чтобы не вычитать дважды",ne:Russia:Bashkortostan|Chelyabinsk|Kurgan,
astrakhan_1705,Астраханское восстание 1705-1706,"русские, казаки",1705-07-30,1706-03-13,"Астрахань, Гурьев, Терки",urban,"вооружённое выступление казаков, стрельцов и горожан против роста налогов и коррупции; новым правительством города стал казацкий круг, к Астрахани присоединились Гурьев и Терки","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 3",высокая,"разбито войсками империи при поддержке калмыцких отрядов; восемь месяцев - меньше нашего порога удержания в год, поэтому вычитанием не показываем",,,,city:Астрахань,
bulavin_1707,Булавинское восстание 1707-1708,донские казаки,1707-10,1708-07-07,Дон,cossack,"война во главе с Кондратием Булавиным против попыток Петра I ограничить казацкое самоуправление, отобрать соляные промыслы и силой вернуть с Дона беглых крестьян","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 4",высокая,"выступление раскололо и донских, и запорожских, и слободских казаков - представители каждой общности бились по обе стороны; Черкасск занят 1 мая 1708 г., Булавин погиб 7 июля 1708 г. - два месяца, порога удержания нет",,,,ne:Russia:Rostov|Volgograd,
yaik_1721,Яицкие выступления 1721 и 1772,яицкие казаки,1721,1772,Яик,cossack,выступления Яицкого казацкого войска против подчинения Военной коллегии (1721) и против насилия столичных чиновников (1772),"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 5",средняя,второе выступление перешло в «Пугачёвщину»,,,,ne:Kazakhstan:West Kazakhstan|Atyrau,
tara_1722,Тарское выступление 1722,"русские старообрядцы, казаки",1722,1722,Тара,religious,вооружённое выступление старообрядцев и казаков против присяги преемнику Петра I,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 6",средняя,,,,,city:Тара,
bashkir_1735,Башкирские восстания 1735-1740,башкиры,1735,1740,Башкортостан,national,"серия выступлений против строительства крепостей (Орск, Челябинск), наступления на землевладение и переписи населения; в последний год повстанцы снова избрали себе хана","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 7",высокая,после поражения территорию Башкортостана обнесли линиями крепостей,,,,ne:Russia:Bashkortostan|Chelyabinsk|Orenburg,
teryushevo_1743,Терюшевское восстание 1743-1745,эрзя,1743,1745,"Терюшевская волость, Поволжье",national,вооружённое сопротивление эрзян насильственному крещению,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 8",средняя,,,,,ne:Russia:Nizhegorod,
osa_1747,Осинско-сибирское выступление 1747,"башкиры, коренное население Приуралья",1747,1747,Осинская и Сибирская дороги Оренбургской губернии,national,выступление против замены ясака подушной податью,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 9",средняя,,,,,ne:Russia:Perm'|Bashkortostan,
bashkir_1755,Башкирское восстание 1755-1756,башкиры,1755,1756,Башкортостан,national,выступление во главе с Батыршой против замены ясака налогом на соль и запрета огнестрельного оружия,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 10",высокая,"после поражения началась массовая эмиграция башкир в Казахстан, но самые жёсткие нововведения отменены",,,,ne:Russia:Bashkortostan,
aleut_1763,Алеутское восстание 1763-1765,алеуты,1763,1765,Алеутские острова,national,"выступление против жестокого сбора ясака; после того как промышленники расправились с повстанцами, открылся путь к заселению Аляски","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 11",высокая,,,,,,
plague_riot_1771,«Чумной бунт» 1771,русские,1771-09-15,1771-09-17,Москва,urban,выступление городских низов против карантинных мер,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 12",средняя,,,,,city:Москва,
kuril_1771,Южнокурильское выступление 1771-1772,айны,1771,1772,южные Курильские острова,national,выступление против жестокого сбора ясака; закончилось победой повстанцев - с 1779 г. обложение айнов ясаком запрещено,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 13",высокая,"один из немногих случаев, когда выступление добилось своей цели",,,,ne:Russia:Sakhalin,
pugachev_1773,«Пугачёвщина» (Народная война) 1773-1775,"яицкие казаки, башкиры, татары, финно-угры Поволжья, казахи",1773-09-17,1775,"Яик, Оренбургский край, Башкортостан, Прикамье, Поволжье",cossack,"самое крупное казацко-крестьянское выступление в истории империи: началось с яицких казаков, после того как Емельян Пугачёв объявил себя императором Петром III и отменил крепостное право, переросло в войну по всему краю; на стороне повстанцев выступили поволжские финно-угры против крещения, татары против налогов и рекрутчины, башкиры во главе с Салаватом Юлаевым против переселенческой колонизации, частично калмыки и казахи; повстанцы впервые в истории империи захватили Казань","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 14",высокая,"УДЕРЖАНИЯ НЕТ, вычитанием не показываем: Оренбург, Уфа и Яицкая крепость выдержали осаду и не сдались, Казань захвачена 12.07.1774 и оставлена через сутки, своей администрации на удержанной территории повстанцы не выстроили. Осада Оренбурга шла с 5 октября 1773 г. по 23 марта 1774 г. - меньше полугода, и город остался за империей. После поражения права дворян и национальных элит расширены, вольности рядовых казаков урезаны, Запорожская Сечь ликвидирована",,,,ne:Russia:Orenburg|Bashkortostan|Chelyabinsk|Samara|Ul'yanovsk|Tatarstan|Perm'|Saratov;ne:Kazakhstan:West Kazakhstan,
koktemir_1775,Восстание Коктемир 1775-1776,казахи,1775,1776,Младший жуз,national,"выступления казахов Младшего жуза против жестокости, с которой войска империи расправлялись с участниками «Пугачёвщины»; после раскола среди повстанцев самые непримиримые откочевали с подконтрольной империи территории","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 15",средняя,,,,,ne:Kazakhstan:West Kazakhstan|Atyrau|Aqtöbe,
nogai_1783,Ногайское восстание 1783,ногайцы,1783,1783,Кубань,national,вооружённое выступление ногайцев Кубани против присоединения к империи и планов переселить их за Урал и на Тамбовщину,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 16",высокая,"после разгрома ногайцев переселили на Каспий и в Приазовье, их ординскую организацию отменили",,,,ne:Russia:Krasnodar|Stavropol',
syrym_1783,Восстание Сырыма Датова 1783-1797,казахи,1783,1797,Младший жуз,national,"началось как выступление против запрета переправляться через Урал, переросло в борьбу главы съезда казахской знати Датова против ханской власти и царского протектората; сопровождалось нападениями на пограничные крепости","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 17",высокая,Датов откочевал в Хиву,,,,ne:Kazakhstan:West Kazakhstan|Atyrau|Aqtöbe,
turbai_1789,Турбаевское восстание 1789-1793,украинцы,1789,1793,"Турбаи, Полтавщина",peasant,"самое крупное крестьянское выступление против крепостного права в Украине: крестьяне, чьи казацкие привилегии не признал суд, отказались от барщины и создали своё самоуправление в Турбаях и окрестных сёлах","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 18",высокая,,,,,ne:Ukraine:Poltava,
esaulov_1792,Есауловское выступление 1792-1794,донские казаки,1792,1794,Второй донской округ,cossack,выступление казаков против царского указа о переселении на Кубань,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 19",средняя,,,,,ne:Russia:Rostov|Volgograd,
kosciuszko_1794,Восстание Костюшко 1794,"поляки, литовцы",1794-03-24,1794-11-16,"Речь Посполитая, включая аннексированные Пруссией земли",national,"освободительная война поляков и литовцев во главе с Тадеушем Костюшко против второго раздела Речи Посполитой 1793 г., отмены Конституции 3 мая и оккупации страны российскими войсками; одновременно революция - превращение Польши в республику и распространение гражданских прав на крестьян","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 37, п. 20",высокая,разбито совместно российскими и прусскими войсками при поддержке австрийских; в следующем году третий раздел прекратил существование Речи Посполитой,,,,ne:Poland:*;ne:Lithuania:*;ne:Belarus:Grodno|Brest,
kabarda_1794,Восстания в Кабарде 1794-1825,кабардинцы,1794,1825,Кабарда,national,вооружённые выступления кабардинской знати против новых порядков - родовых судов вместо шариатских и строительства российских крепостей,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 1",высокая,"за 1763-1825 гг. число кабардинцев сократилось с 300 до 30 тыс. человек - следствие боёв, эмиграции и эпидемии чумы 1805-1811 гг.; при разгроме выступлений уничтожались десятки и сотни аулов, в 1818-1822 гг. Кабарду заняли войска, границы страны сузили, должность старшего князя отменили; десятки тысяч беженцев основали за Кубанью «Хажретову» («Беглую») Кабарду или присоединились к мюридам Чечни и Дагестана",,,,ne:Russia:Kabardin-Balkar,
imereti_1810,Имеретинское восстание 1810,грузины,1810,1810,Имеретия,national,"вооружённое выступление против аннексии и ликвидации Имеретинского царства во главе с царём Соломоном II, бежавшим из-под ареста","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 2",высокая,,,,,ne:Georgia:Imereti,
bug_cossacks_1817,Восстание Бугского казацкого войска 1817-1818,украинцы,1817,1818,Побужье,cossack,выступление казаков против ликвидации войска и превращения их в военных поселенцев,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 3",средняя,,,,,ne:Ukraine:Mykolayiv|Kirovohrad,
imereti_guria_1819,Имеретинско-гурийское восстание 1819-1820,грузины,1819,1820,"Имеретия, Гурия",national,выступления против реформы Грузинской православной церкви - перевода её крестьян и земель в казну,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 4",высокая,,,,,ne:Georgia:Imereti|Guria,
dagestan_1818,Дагестанское восстание 1818-1819,дагестанцы,1818,1822,Дагестан,national,вооружённые выступления местной знати против действий армии Ермолова; ядро сопротивления - Кайтагское уцмийство - ликвидировано в 1820 г.,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 5",высокая,отдельные выступления вспыхивали и в 1822 г.,,,,ne:Russia:Dagestan,
chuguev_1819,Чугуевское восстание 1819,"украинцы, русские",1819,1820,"Чугуев, юг Украины",military,выступление военных поселян Чугуевского полка против тяжёлых условий службы; на следующий год волнения охватили 200 поселений юга Украины,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 6",средняя,,,,,ne:Ukraine:Kharkiv,
taymiev_1821,Восстания Бейбулата Таймиева 1821-1826,чеченцы,1821,1826,"Чечня, северный Дагестан",national,выступление против выселения (1821-1822) и общее выступление против российского господства в Чечне и северном Дагестане (1825-1826),"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 7",высокая,"в нашей базе домена нохчи этот сюжет разложен на отдельные записи (кампания C1146, кампания C1153)",,,,ne:Russia:Chechnya|Ingush,
zholaman_1_1822,Первое восстание Жоламана Тленшиулы 1822-1825,казахи,1822,1825,берега реки Илек,national,вооружённые выступления против выселения казахов ради строительства Новоилецкой укреплённой линии,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 8",высокая,продолжилось в восстании Саржана Касымова,,,,ne:Kazakhstan:Aqtöbe|West Kazakhstan,
shamkhal_1823,"Шамхальские восстания 1823, 1831, 1843",дагестанцы,1823,1843,"Шамхальство Тарковское, Мехтулинское ханство",national,"выступления против российского господства, против своих пророссийских правителей и в поддержку Имамата","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 9",высокая,,,,,ne:Russia:Dagestan,
chernigov_regiment_1825,Восстание Черниговского полка 1825,"русские, украинцы",1825-12-29,1826-01-03,Киевщина,military,выступление военных в поддержку декабристов,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 10",высокая,,,,,ne:Ukraine:Kiev|Cherkasy,
sarzhan_1825,Восстание Саржана Касымова 1825-1836,казахи,1825,1836,Средний жуз,national,"борьба казахов Среднего жуза во главе с ханским сыном против российской экспансии - отмены ханской власти, строительства крепостей в степи, выселения кочевников и вмешательства в их хозяйство","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 11",высокая,"регулярные бои закончились к 1832 г., дальше шли партизанские вылазки; в 1834 г. на стороне повстанцев неудачно выступило Кокандское ханство, через два года Саржан убит",,,,ne:Kazakhstan:Qaraghandy|Aqmola|Pavlodar,
imamate_1828,Имамат 1828-1859,"чеченцы, дагестанцы",1828,1859-08-25,горная Чечня и горный Дагестан,national,"на первом этапе (до 1839 г.) - выступления Гази-Мухаммада, Гамзат-бека и Шамиля против российского господства и пророссийской знати Кавказа; с 1840 г. - полноценное государство, Имамат, воевавшее с империей до 1859 г.","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 12",высокая,"УЖЕ ПОКАЗАН на карте вычитанием из контура (RESIST в tools/build_expansion.py): горная Чечня чёрная до 19.08.1859, горный Дагестан до 25.08.1859, левобережье Кубани до 21.05.1864. Даты - из нашей базы домена нохчи (кампания C1168, кампания C1169), не из атласа. Второй раз то же самое не вычитаем",1840-01-01,1859-08-25,"удержание УЖЕ показано другим механизмом - RESIST в tools/build_expansion.py; строка нужна как учёт, геометрии в нашем слое у неё нет",ne:Russia:Chechnya|Dagestan,
shebelinka_1829,Шебелинское восстание 1829,украинцы,1829,1829,"Шебелинка, Слобожанщина",peasant,выступление государственных крестьян против превращения их в военных поселенцев,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 13",средняя,,,,,ne:Ukraine:Kharkiv,
cholera_riots_1830,«Холерные бунты» 1830-1831,"русские, украинцы",1830-06,1831-07,"Севастополь, Тамбов, Старая Русса, Петербург",urban,городские выступления и сельские волнения на фоне карантинных мер и чиновничьих злоупотреблений; в июне 1830 г. вооружённые матросы и горожане пять дней держали Севастополь,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 14",высокая,,,,,city:Севастополь;city:Тамбов;city:Санкт-Петербург,
poland_1830,Польское («Ноябрьское») восстание 1830-1831,поляки,1830-11-29,1831-10-21,"Царство Польское, Литва, Волынь, Подолье",national,фактически российско-польская война из-за нарушения Петербургом польской конституции; на первом этапе независимость Польши восстановлена,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 15",высокая,после поражения польскую автономию в составе империи существенно урезали,,,,ne:Poland:*;ne:Lithuania:*,
kaitag_1831,Кайтаго-Табасаранское восстание 1831,дагестанцы,1831,1831,"Кайтаг, Табасаран",national,вооружённое выступление в поддержку выступления Гази-Мухаммада (Имамата),"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 16",средняя,,,,,ne:Russia:Dagestan,
bashkir_1834,Башкирское восстание 1834-1835,"башкиры, мишари, тептяри",1834,1835,Башкортостан,national,выступления против планов перевести местных казённых крестьян в удельные и против слухов о крещении башкир; присоединились русские крестьяне и часть оренбургских казаков,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 42, п. 17",высокая,план смены положения местного крестьянства отменён,,,,ne:Russia:Bashkortostan|Orenburg,
