date,date_precision,place,lat,lon,event,actor_gained,actor_lost,source,confidence,note
1918-02-09,day,Киев,50.45,30.52,treaty,,,c0072_muravyov_1918/antonov_ovseenko_t1_djvu.txt строка 7426 + c0072_muravyov_1918/felshtinsky_brest_utf8.txt,high,УНР подписала в Брест-Литовске сепаратный мирный договор с Германией и союзниками (9 февраля 1918 н.ст.); Центральная рада уже находилась в Житомире
1918-02-09,day,Чернигов,51.49,31.29,took_city,bolsheviks,unr,укрвики: Перша радянсько-українська війна (хронологія) + c0072_kyiv_1918_nasylstvo/VOSR_t3_1957.txt строки 5159-5174 и 7896-7913,medium,Советские войска (со стороны Бахмача) заняли Чернигов; дата 27 января ст.ст. по укрвики (=9 февраля н.ст.). VOSR публикует «подробности взятия Чернигова» заметкой от 20 февраля - возможно тот же эпизод с задержкой публикации; точность средняя
1918-02-11,day,Одесса,46.48,30.73,took_city,bolsheviks,unr,c0072_muravyov_1918/antonov_ovseenko_t1_djvu.txt строка 7591,high,Румчерод (ЦИК Румынского фронта Черноморского флота и Одесской области) окончательно овладел Одессой к 29 января (ст.ст.) после уличных боёв с юнкерами и гайдамаками
1918-02-13,day,Херсон,46.64,32.61,took_city,bolsheviks,unr,укрвики: Перша радянсько-українська війна (хронологія),medium,По сводной хронологии укрвики Херсон занят красными 31 января (ст.ст. = 13 февраля н.ст.); прямая сноска в статье отсутствует
1918-02-19,day,Житомир,50.25,28.66,took_city,bolsheviks,unr,c0072_kyiv_1918_nasylstvo/VOSR_t3_1957.txt строки 7837-7858 (документ №223),high,После двухдневного боя советские войска (I гвардейский корпус балтийские матросы московские красногвардейцы) выбили из Житомира войска Петлюры отступившего со штабом в Броды; убит член Житомирской рады Головко
1918-02-22,day,Житомир,50.25,28.66,took_city,unr,bolsheviks,укрвики: Перша радянсько-українська війна (хронологія),medium,Запорожский корпус УНР отбил Житомир у большевиков; в источнике дан диапазон 21-23 февраля - взята средняя дата; прямая сноска отсутствует
1918-03-01,day,Киев,50.45,30.52,took_city,germans,bolsheviks,c0072_kyiv_1918_nasylstvo/VOSR_t3_1957.txt строка 33730 (коммент. №98) + c0072_muravyov_1918/hrynevych_ocr_flat_pages.txt (свидетельство И.Тягая по делу Муравьёва),high,ЦИК и Народный секретариат Украины покинули Киев 1 марта 1918 г. под натиском немецких войск; по свидетельству И.Тягая советская власть оставила город за три дня до этого; немцы вошли в Киев в воскресенье 1 марта
1918-03-03,day,Брест-Литовск,52.10,23.68,treaty,,,c0072_muravyov_1918/felshtinsky_brest_utf8.txt,high,Подписан общий Брестский мирный договор между Советской Россией и Центральными державами
1918-03-09,day,Полтава,49.59,34.55,left_city,,bolsheviks,c0072_kyiv_1918_nasylstvo/VOSR_t3_1957.txt строки 12963-12968 и 33730-33732,medium,ЦИК Советов Украины и его печатный орган эвакуировались из Полтавы в Екатеринослав ввиду приближения немецких оккупационных войск; точная дата вступления немецких/гайдамацких частей в город не найдена
1918-03-13,day,Одесса,46.48,30.73,took_city,germans,bolsheviks,укрвики: Одеська Радянська Республіка,medium,Одесса занята войсками УНР и союзных государств (после боёв сперва с румынскими затем с австро-германскими войсками); Одесская советская республика ликвидирована. Прямая сноска в статье отсутствует
1918-03-24,day,Екатеринослав,48.45,35.05,left_city,,bolsheviks,c0072_kyiv_1918_nasylstvo/VOSR_t3_1957.txt строка 33731,medium,Советское правительство Украины (ЦИК/Народный секретариат) переехало из Екатеринослава в Таганрог под угрозой немецкого наступления; точная дата занятия города немцами не найдена
1918-04,month,Харьков,50.00,36.23,took_city,germans,bolsheviks,c0072_kyiv_1918_nasylstvo/VOSR_t3_1957.txt строки 1592-1598 и 8688-8690,medium,Харьковские советские газеты («Донецкий пролетарий» «Известия юга») прекратили выход в апреле 1918 г. в связи с занятием города немецкими оккупантами; точный день в источнике не указан
1918-04-05,day,Херсон,46.64,32.61,took_city,germans,bolsheviks,укрвики: Херсон (розділ історія),medium,Австро-немецкие войска при участии Украинских сечевых стрельцов взяли Херсон 5 апреля 1918 г.; прямая сноска в статье отсутствует
1918-11-14,day,Киев,50.45,30.52,operation_start,directory,hetmanate,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 2795-2807),high,"Скоропадский провозгласил грамоту о федерации Украины с Россией; в тот же день Украинский Национальный Союз избрал Директорию (Винниченко, Петлюра, Швец, Макаренко, Андриевский) и объявил вооружённую борьбу против гетманской власти"
1918-11-18,day,Харьков,50.00,36.23,took_city,directory,hetmanate,~/tmp/MATERIALS/ukraina/ЕІУ/t10_fixed.txt (~строка 41038-41039: «18 листопада 1918 над Х. проголошено владу Директорії»),high,Над Харьковом провозглашена власть Директории УНР
1918-11-27,day,Полтава,49.59,34.55,took_city,directory,hetmanate,~/tmp/MATERIALS/ukraina/ЕІУ/t8_fixed.txt (~строка 64661-64664: «Директорія УНР (27 листопада 1918 — 19 січня 1919)»),high,Директория УНР сменила гетманскую администрацию в Полтаве
1918-12,month,Николаев,46.97,32.00,took_city,entente,germans,~/tmp/MATERIALS/ukraina/ЕІУ/Том6_fixed.txt (~строка 117275: «В грудні 1918 місто захопили війська Антанти»),medium,Войска Антанты заняли Николаев после ухода немецкой оккупационной администрации; точный день в тексте не указан
1918-12,month,Херсон,46.64,32.61,took_city,whites,germans,~/tmp/MATERIALS/ukraina/ЕІУ/t10_fixed.txt (~строка 43506-43508),medium,"Австро-венгерские войска оставили Херсон (в actor_lost помечено germans - ближайшее значение словаря), в городе появились русские белые добровольцы; вскоре прибыли и части УНР (двоевластие)"
1918-12-02,day,Одесса,46.48,30.73,operation_start,entente,,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3270),high,Первый французский военный корабль «Мірабо» прибыл в порт Одессы
1918-12-10,day,Одесса,46.48,30.73,took_city,directory,germans,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3278),high,Войска Директории заняли Одессу; небольшая часть города оставалась у русских добровольцев; actor_lost условен - прямая немецкая власть к этому моменту уже фактически ушла
1918-12-14,day,Киев,50.45,30.52,took_city,directory,hetmanate,"~/tmp/MATERIALS/ukraina/ЕІУ/t8_fixed.txt:30970; t9_fixed.txt:108186,108221; t10_fixed.txt:22798; t7_fixed.txt:7615 (везде: «14 грудня 1918 зрікся/підписав зречення»); подтверждение у Мазепы: mazepa_t1_ocr_2026-08-12.txt (~строка 2806)",high,"Скоропадский подписал отречение 14 декабря 1918; войска Директории вступили в Киев, гетманат пал"
1918-12-17,day,Одесса,46.48,30.73,left_city,whites,directory,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3289-3298),high,Французские войска ген. Бориуса высадились в одесском порту и потребовали ухода украинских войск; Директория согласилась; управление городом передано русским добровольцам (В. Шульгин)
1918-12-31,month,Екатеринослав,48.45,35.05,took_city,bolsheviks,directory,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3070-3090),high,"На совместном совещании большевиков и Махно (28 декабря) решено взять Екатеринослав хитростью; бои шли три дня и три ночи; точная дата падения не названа, оценка - конец декабря 1918/1 января 1919"
1919-01-02,day,Екатеринослав,48.45,35.05,took_city,directory,bolsheviks,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3094),high,"Украинские войска (Сечевые стрельцы от. Самокиша, отряд от. Саввы) отбили Екатеринослав; большевики и Махно отступили на левый берег Днепра"
1919-01-03,day,Харьков,50.00,36.23,took_city,bolsheviks,directory,~/tmp/MATERIALS/ukraina/ЕІУ/t10_fixed.txt (~строка 41039); подтверждение: mazepa_t1_ocr_2026-08-12.txt (~строка 3438-3439),high,Красная армия («группа Курского направления») заняла Харьков
1919-01-12,day,Чернигов,51.49,31.29,took_city,bolsheviks,directory,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3439: «а 12. січня Чернигів»),high,"Большевики заняли Чернигов, наступая по линии Гомель-Чернигов-Киев"
1919-01-13,day,Одесса,46.48,30.73,operation_start,entente,,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3300-3311),high,В Одессу прибыл штаб французской десантной дивизии во главе с ген. д'Ансельмом; французы отвели украинские части на линию Тирасполь-Бирзула-Вознесенск-Николаев-Херсон
1919-01-16,day,Киев,50.45,30.52,declared_war,directory,bolsheviks,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3480-3487),high,"Директория УНР официально объявила, что Украина находится в состоянии войны с Советской Россией; место условно - резиденция Директории на момент заявления (Киев)"
1919-01-19,day,Полтава,49.59,34.55,took_city,bolsheviks,directory,~/tmp/MATERIALS/ukraina/ЕІУ/t8_fixed.txt (~строка 64661-64664),high,Большевики заняли Полтаву
1919-01-31,month,Херсон,46.64,32.61,took_city,entente,whites,~/tmp/MATERIALS/ukraina/ЕІУ/t10_fixed.txt (~строка 43508-43509),medium,Охрана Херсона передана франко-греческим войскам Антанты; точный день не указан - конец января
1919-02-02,day,Киев,50.45,30.52,evacuation,,directory,~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 4632-4635),high,Директория и правительство УНР покинули Киев; временным центром украинской политической жизни стала Винница
1919-02-05,day,Киев,50.45,30.52,took_city,bolsheviks,directory,~/tmp/MATERIALS/ukraina/ЕІУ/t8_fixed.txt (~строка 69785-69786: «5 лютого 1919 вони зайняли Київ»),high,Красная армия заняла Киев
1919-03-09,day,Херсон,46.64,32.61,took_city,bolsheviks,unr,ukraina/ЕІУ/t10_fixed.txt (строка ~43511),medium,Город занял отряд атамана Н.Григорьева - тогда ещё формально красный командир; власть перешла от думы и представителей Директории УНР
1919-04-01,day,Мариуполь,47.10,37.57,took_city,bolsheviks,whites,ukraina/c0074_1919/gvu_t2_1967.txt (строка ~303),medium,1-я Заднепровская дивизия освободила Мариуполь и продвинулась на 40 км к Таганрогу; город отбит у белоказачьих/деникинских сил
1919-04-06,day,Одесса,46.48,30.73,took_city,bolsheviks,entente,ukraina/ЕІУ/t7_fixed.txt (строка ~94873),high,Советская власть восстановлена в Одессе; франко-греческие войска Антанты эвакуировались под давлением наступления
1919-05-04,day,Луганск,48.57,39.31,took_city,whites,bolsheviks,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 2670, 39038)",high,Деникинцы впервые заняли Луганск
1919-05-15,day,Луганск,48.57,39.31,took_city,bolsheviks,whites,ukraina/c0074_1919/gvu_t2_1967.txt (строки 39038-39040),high,8-я армия отбила Луганск после начатого 14 мая наступления
1919-05-27,day,Луганск,48.57,39.31,took_city,whites,bolsheviks,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 579, 39042)",high,"Деникинцы снова заняли Луганск - на этот раз надолго, до 23 декабря 1919"
1919-06-01,day,Бахмут,48.59,38.00,took_city,whites,bolsheviks,"ukraina/c0074_1919/gvu_t2_1967.txt (сноска 39, строка 39251)",high,Взятие Бахмута деникинцами в ходе развала советского фронта в Донбассе (после измены Махно 29 мая)
1919-06-01,day,Киев,50.45,30.52,operation_start,bolsheviks,,ukraina/c0074_1919/vcik_1919_06_01_objedinenie.txt,high,"Декрет ВЦИК об объединении военной организации, СНХ, ж/д, финансов и труда советских республик России, Украины, Латвии, Литвы, Белоруссии для борьбы с общим наступлением; не боевое событие, а военно-политическое объединение (точка - Киев как столица УССР)"
1919-06-24,day,Харьков,50.00,36.23,took_city,whites,bolsheviks,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 773-777, док. №203, 205, 209)",high,Добровольческая армия Май-Маевского взяла Харьков после боёв 23-24 июня; ЕІУ (t10_fixed.txt) даёт вариант 25 июня
1919-06-30,day,Екатеринослав,48.45,35.05,took_city,whites,bolsheviks,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 776-777, док. №222); строка 10861",high,Екатеринослав перешёл в руки белых после боёв 28-29 июня
1919-07-15,day,Екатеринослав,48.45,35.05,took_city,bolsheviks,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 885-886, док. №271)",medium,Кратковременное отбитие города советскими войсками; вскоре снова потерян
1919-07-29,day,Полтава,49.59,34.55,took_city,whites,bolsheviks,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 895-897, док. №279, 302, 304)",high,Прорвав фронт 27 июля деникинцы заняли Полтаву; ЕІУ (t8_fixed.txt) даёт 30 июля
1919-08,month,Херсон,46.64,32.61,took_city,whites,bolsheviks,ukraina/ЕІУ/t10_fixed.txt (строка ~43512),medium,Деникинцы овладели Херсоном в августе (точный день в источнике не указан)
1919-08-17,day,Николаев,46.97,32.00,took_city,whites,bolsheviks,ukraina/ЕІУ/Том6_fixed.txt (строка 117271),high,Деникинцы заняли Николаев; советская власть в городе действовала с 15 марта 1919
1919-08-28,day,Одесса,46.48,30.73,took_city,whites,bolsheviks,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 983-985, док. №366)",high,Деникинский морской десант при поддержке флота Антанты овладел Одессой; ЕІУ (t7_fixed.txt) даёт 24 августа - дата начала десантной операции
1919-08-30,day,Киев,50.45,30.52,took_city,unr,bolsheviks,ukraina/c0074_1919/gvu_t2_1967.txt (строки 1017-1018),high,Петлюровцы вместе с Галицкой армией заняли Киев; большевики оставили город несмотря на подготовленную оборону
1919-08-31,day,Киев,50.45,30.52,took_city,whites,unr,ukraina/c0074_1919/gvu_t2_1967.txt (строки 1018-1027); ukraina/ЕІУ/t4raw_fixed.txt (строка 34518),high,"Курьёз двойного взятия Киева: белые (группа генерала Бредова) и петлюровцы вошли в город практически одновременно 30-31 августа; после незначительной перестрелки петлюровцы 31 августа уступили город белым, Деникин потребовал сдать не только Киев но и Правобережье"
1919-09-17,day,Житомир,50.25,28.66,took_city,bolsheviks,unr,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 965-975, док. №402)",high,"Южная группа 12-й армии (Якир), выходя из окружения, разгромила петлюровцев и заняла Житомир; город оставался советским до конца кампании"
1919-10,month,Екатеринослав,48.45,35.05,took_city,makhno,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (сноска 191, строка 40634-40636)",medium,"Первое занятие Екатеринослава махновцами (середина октября); одновременно махновцы удерживали Никополь, Мелитополь, Бердянск, Мариуполь, Александровск, Павлоград, Новомосковск"
1919-10-15,day,Киев,50.45,30.52,took_city,bolsheviks,whites,ukraina/c0074_1919/gvu_t2_1967.txt (строки 1496-1497),high,12-я армия ненадолго освободила Киев - город удержан всего три дня
1919-10-18,day,Киев,50.45,30.52,took_city,whites,bolsheviks,ukraina/c0074_1919/gvu_t2_1967.txt (строки 1497-1499),high,Деникинцы вновь захватили Киев ещё на некоторое время
1919-10-27,day,Житомир,50.25,28.66,operation_end,bolsheviks,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 1492-1493, док. №506)",medium,Освобождение Бердичева 12-й армией - первый из украинских городов отбитых у деникинцев в ходе общего контрнаступления (точка условно у Житомира: Бердичев в списке координат отсутствует)
1919-11-04,day,Екатеринослав,48.45,35.05,took_city,makhno,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (сноска 191, строка 40634-40636)",medium,Второе занятие Екатеринослава махновцами
1919-11-06,day,Чернигов,51.49,31.29,took_city,bolsheviks,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 1494-1495, док. №526); ukraina/ЕІУ/t10_fixed.txt (строка 59292)",high,12-я армия освободила Чернигов - один из первых крупных украинских городов отбитых у деникинцев
1919-11-13,day,Екатеринослав,48.45,35.05,left_city,whites,makhno,"ukraina/c0074_1919/gvu_t2_1967.txt (сноска 191, строка 40636-40637)",medium,Махно оставил Екатеринослав под натиском отступающих деникинцев
1919-11-16,day,Каменец-Подольский,48.68,26.59,left_city,poles,unr,ЕІУ/t4raw_fixed.txt статья «Кам'янець-Подільський»,high,Польские войска вступили в Каменец-Подольский; закончилась «каменецкая доба» УНР (правительство фактически уже покинуло город к 15 ноября); дата на 2 недели раньше начала отрезка - оставлена для контекста
1919-12-02,day,Житомир,50.25,28.66,evacuation,poles,unr,Якубова_Україна_й_українці_в_постімперську_добу_1917_1939/Якубова_Україна_й_українці_в_постімперську_добу_1917_1939.txt (около строки 5750),high,Любарская декларация: правительство УНР объявляет о переходе к партизанской борьбе; политическое руководство и часть войска УНР переходят польско-советскую разграничительную линию; место - район Любара; Житомир взят как ближайший опорный город
1919-12-06,day,Житомир,50.25,28.66,operation_start,unr,,Якубова_.../Якубова_....txt; ЕІУ/t8_fixed.txt статья «Перший Зимовий похід»,high,Начало Первого Зимового похода Армии УНР - рейда по советским и белым тылам; сбор частей в районе Любара/Новой Чорторыи; поход длился до 6 мая 1920 - пройдено 2500 км
1919-12-11,day,Харьков,50.00,36.23,took_city,bolsheviks,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (строки 1518-1526, док. №182); ukraina/ЕІУ/t10_fixed.txt (строка 41041)",high,14-я армия при содействии 13-й армии и конницы Будённого полностью освободила Харьков; ЕІУ даёт 12 декабря (день установления власти в городе)
1919-12-11,day,Полтава,49.59,34.55,took_city,bolsheviks,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (строка 1526-1527, док. №183); ukraina/ЕІУ/t8_fixed.txt (строка 64638)",high,В тот же день что и Харьков освобождена Полтава
1919-12-12,day,Харьков,50.00,36.23,took_city,bolsheviks,whites,укрвики: Харківська операція (грудень 1919),medium,Части 14-й армии РККА вошли в Харьков в ночь на 12 декабря 1919; часть общего наступления против армии Деникина
1919-12-16,day,Киев,50.45,30.52,took_city,bolsheviks,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (строка 1527, док. №184)",high,Красная армия окончательно освободила Киев от деникинцев
1919-12-23,day,Луганск,48.57,39.31,took_city,bolsheviks,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (сноска 13, строка 39042; опись док. строка 51858)",high,Луганск окончательно освобождён советскими войсками после семи месяцев под белыми
1919-12-27,day,Бахмут,48.59,38.00,took_city,bolsheviks,whites,"ukraina/c0074_1919/gvu_t2_1967.txt (док. №624, опись строка 51885-51886; сводка 14-й армии строка 30554)",high,1-я Конная армия заняла Бахмут в ходе наступления на Донбасс
1919-12-30,day,Екатеринослав,48.45,35.05,took_city,bolsheviks,whites,веб-поиск: gorod.dp.ua «Місто Катеринослав у 1917-1920 рр.»; укрвики «Історія Дніпра»,medium,Красная армия окончательно заняла Екатеринослав; с 1 января 1920 город под властью УССР
1920-02,month,Николаев,46.97,32.00,took_city,bolsheviks,whites,веб-поиск (общие обзоры истории Миколаївщини; точная дата не найдена),low,Большевики заняли Николаев в начале февраля 1920 сменив власть деникинцев (с августа 1919); точный день установить не удалось
1920-02,month,Херсон,46.64,32.61,took_city,bolsheviks,whites,ЕІУ/t10_fixed.txt статья «Херсон»,high,В феврале 1920 город заняли большевистские войска после отступления деникинцев; до конца года Херсон на военном положении «красного террора»
1920-02-03,day,Одесса,46.48,30.73,evacuation,,whites,укрвики: Одеська евакуація (1920),medium,Морская эвакуация белых частей и части беженцев из Одессы (3-8 февраля 1920 н.ст.); не все успели погрузиться на суда
1920-02-07,day,Одесса,46.48,30.73,took_city,bolsheviks,whites,укрвики: Одеська евакуація (1920); Історія Одеси (1914-1920),high,41-я стрелковая дивизия РККА вошла в Одессу утром 7 февраля (25 января ст.ст.) 1920; окончательно город занят к середине дня 8 февраля
1920-04-21,day,Варшава,52.2297,21.0122,treaty,poles,unr,Якубова_.../Якубова_....txt (около строки 5800),high,Варшавский договор (союз Пилсудский-Петлюра): Польша признаёт Директорию УНР верховной властью; граница по Збручу; УНР уступает претензии на Восточную Галицию в обмен на военную помощь против большевиков
1920-05-06,day,Винница,49.23,28.47,operation_end,unr,,ЕІУ/t8_fixed.txt статья «Перший Зимовий похід»,high,Завершение Первого Зимового похода: части Армии УНР соединились с украинско-польским фронтом в районе Ямполя; за 180 дней пройдено 2500 км
1920-05-07,day,Киев,50.45,30.52,took_city,poles,bolsheviks,Якубова_.../Якубова_....txt; укрвики: Київська операція Війська Польського (1920),high,Польские войска (3-я армия) вместе с 6-й дивизией Армии УНР под командованием полк. М. Безручко вошли в Киев 7 мая 1920 по Варшавскому договору
1920-06-12,day,Киев,50.45,30.52,took_city,bolsheviks,poles,Якубова_.../Якубова_....txt (отступление датировано 11 июня); укрвики: Київська операція РСЧА (1920),high,Красная армия (1-я Конная Будённого прорвала фронт южнее Киева 5 июня) вошла в Киев; польско-украинские войска оставили город 11-12 июня 1920
1920-10-04,day,Мариуполь,47.10,37.57,took_city,bolsheviks,wrangel,ЕІУ/Том6_fixed.txt статья «Маріуполь»,high,Советская власть в Мариуполе восстановлена 4 октября 1920 после периода контроля ВСЮР/Врангеля
1920-10-21,day,Каменец-Подольский,48.68,26.59,evacuation,poles,unr,ЕІУ/t2_fixed.txt статья о С. Петлюре,high,Остатки Армии УНР остановленные Красной армией 10 октября 1920 отступают и переходят польскую границу 21 октября 1920 где интернируются; регион Каменца - последняя контролируемая УНР территория
1920-11-13,day,Симферополь,44.95,34.10,took_city,bolsheviks,wrangel,укрвики: Перекопсько-Чонгарська операція,medium,Красная армия заняла Симферополь 13 ноября 1920 в ходе Перекопско-Чонгарской операции против армии Врангеля
1920-11-13,day,Севастополь,44.62,33.53,evacuation,,wrangel,укрвики: Перекопсько-Чонгарська операція; веб-поиск (обзоры Кримської евакуації),medium,Эвакуация Русской армии Врангеля и беженцев (~150 тыс.) морем из портов Крыма (Евпатория Севастополь Ялта Феодосия Керчь) 13-16 ноября 1920 при поддержке французского флота
1920-11-15,day,Севастополь,44.62,33.53,took_city,bolsheviks,wrangel,укрвики: Перекопсько-Чонгарська операція,medium,Севастополь сдан без боя Красной армии 15 ноября 1920; одновременно занята Евпатория и взята Феодосия
1920-11-16,day,Каменец-Подольский,48.68,26.59,took_city,bolsheviks,unr,ЕІУ/t4raw_fixed.txt статья «Кам'янець-Подільський»,high,Части Красной армии вошли в Каменец-Подольский - последний утраченный УНР город
1920-11-17,day,Севастополь,44.62,33.53,took_city,bolsheviks,wrangel,укрвики: Перекопсько-Чонгарська операція,low,Красная армия завершила занятие Крыма (взяты также Керчь и Ялта); координаты Севастополя использованы как якорь для всего полуострова
1921-03-18,day,Рига,56.9496,24.1052,treaty,poles,bolsheviks,ЕІУ/t9_fixed.txt статья «Ризький мирний договір між РСФРР і УСРР та Польщею 1921»,high,Рижский мирный договор завершил советско-польскую войну; Восточная Галиция часть Волыни и Западного Полесья отошли Польше; интересы УНР не учтены - Польша обязалась ликвидировать институции УНР
1921-10-25,day,Каменец-Подольский,48.68,26.59,operation_start,unr,,ЕІУ/t2_fixed.txt статья «Другий Зимовий похід Армії УНР 1921»,high,Начало Второго Зимового похода (Листопадовый рейд): Подольская повстанческая группа (командир М. Палий) вышла в рейд 25 октября 1921 из м. Гусятин; общее командование - Ю. Тютюнник с 23 октября
1921-11-04,day,Житомир,50.25,28.66,operation_start,unr,,ЕІУ/t2_fixed.txt статья «Другий Зимовий похід Армії УНР 1921»,high,Главная Волынская группа (ген.-хор. Ю. Тютюнник) выступила в поход 4 ноября 1921 через Волынь на Киев; координаты Житомира - якорь района рейда
1921-11-07,day,Житомир,50.25,28.66,took_city,unr,bolsheviks,ЕІУ/t2_fixed.txt статья «Другий Зимовий похід Армії УНР 1921»,high,Волынская группа на короткое время заняла узловую станцию Коростень парализовав движение поездов на северо-западе УССР
