territory,territory_ru,from,to,kind,event_from,event_to,source,confidence,note,series
kodori,Верхнее Кодорское ущелье,2008-08-13,,occupation,"ущелье занято, грузинского управления там больше нет",,"доклад Генерального секретаря ООН S/2008/631 от 03.10.2008, пункт 9; доклад Тальявини, том II",высокая,До августа 2008 года красить ущелье красным нельзя - именно поэтому полигон Абхазии до 2008 года идёт без него.,
abkhazia,Абхазия,2008-08-26,,occupation,"указ от 26.08.2008 № 1260 о признании; российские базы, охрана границы силами ФСБ",,"Указ Президента РФ от 26.08.2008 № 1260, kremlin.ru/acts/bank/27957; доклад Тальявини (IIFFMCG), сентябрь 2009",высокая,,
georgia_buffer,Буферные зоны в Грузии,2008-08-11,2008-10-10,occupation,"российские войска заняли Зугдиди и Сенаки 11-12.08.2008, Гори - 12-13.08, порт Поти - 12.08; из зданий администрации Гори и Зугдиди ушли 22.08.2008, из Поти и Сенаки - 13.09.2008, но блокпосты в так называемых буферных зонах вокруг Южной Осетии и Абхазии остались",вывод из буферных зон завершён 8-10.10.2008 по соглашению 8.09.2008,"соглашение о реализации плана Медведева-Саркози от 08.09.2008 (вывод из прилегающих зон не позднее 1 октября); Council Joint Action 2008/736/CFSP от 15.09.2008 об учреждении наблюдательной миссии Евросоюза, OJ L 248 от 17.09.2008; документ Совета Евросоюза S332/08 от 10.10.2008 - подтверждение вывода (проверены двенадцать блокпостов и база у Абхазии, пять блокпостов и узел связи у Южной Осетии); Human Rights Watch - об оккупации Горийского и Карельского районов до 10.10.2008; доклад Тальявини, тома I-II",средняя,"Два месяца империя распоряжалась районами самой Грузии - на карте это должно быть видно и должно исчезнуть. Контур - границы семи муниципалитетов OpenStreetMap (28.08.2026): Гори, Карели, Каспи в коридоре к Южной Осетии и Зугдиди, Хоби, Сенаки, Поти у Абхазии, 4,7 тыс. км². Хоби внесён по порядку снятия постов 08-09.10.2008 - сперва Поти, затем Сенаки и Хоби. Хашури и Абаша НЕ внесены: выход из Хашури не датирован ни одним источником, Абаша не упомянута. Прежние два нарисованных прямоугольника и краткая замена целыми регионами Natural Earth (завышала площадь вдвое, до 11,1 тыс. км², втягивая сванетские горы) сняты. РАСХОЖДЕНИЯ. Дата завершения вывода: 8 октября (позиция Грузии в Европейском суде), 9 октября (нота МИД России), 10 октября (Совет Евросоюза и Human Rights Watch) - берём 10-е. Вход в Зугдиди и Сенаки: 11 августа (Civil.ge) против 12 августа (доклад Тальявини); в Гори: 12 августа (Тальявини) против 13 августа 09:20 (Civil.ge). Окно у нас одно на весь коридор, поэтому Поти и Сенаки остаются под заливкой до 10 октября, хотя войска оттуда ушли 13 сентября. Отдельных дат по городу Карели не даёт ни один источник, дата выхода из Хашури не подтверждена; село Переви, занятое 20.08.2008, из общего вывода было исключено и в контур не заведено.",
chechnya,Чечня (Ичкерия),1994-12-11,1996-08-31,war,"ввод войск 11.12.1994 по указу от 09.12.1994 № 2166; ковровые бомбардировки Грозного, фильтрационные пункты, взятие заложников","Ичкерия отстояла независимость: 31.08.1996 в Хасавюрте подписаны соглашения: «Принципы определения основ взаимоотношений между Российской Федерацией и Чеченской Республикой», войска выводятся","Указ Президента РФ от 09.12.1994 № 2166, kremlin.ru/acts/bank/7312; Хасавюртовские соглашения от 31.08.1996 - совместное заявление и четыре пункта «Принципов определения основ взаимоотношений между Российской Федерацией и Чеченской Республикой» (Лебедь, Харламов, Масхадов, Абумуслимов), текст в Викитеке; наша база, домен нохчи: «Военная интервенция и неизбирательный террор (1994-1996)» (C1029), «Институциональный террор и фильтрационные лагеря (1994-1996)» (C1030), «Использование живого щита и заложников (1995-1996)» (C1031), «Установка марионеточного правительства через фиктивные выборы (1995-1996)» (C1033)",высокая,"Территория внутри контура империи, но контроля империя там не имела - поэтому вырезаем из красного. РЕКВИЗИТЫ. 9 декабря 1994 года подписаны указы № 2166 и № 2167; указ от 11.12.1994 № 2169, которым войска вводились непосредственно, в банке kremlin.ru и в ИПС pravo.gov.ru не публиковался - он известен по цитированию в Постановлении Конституционного Суда РФ от 31.07.1995 № 10-П. Реквизиты публикации указа № 2169 остаются дырой. ХАСАВЮРТ. В «Принципах» четыре пункта; «Мемориал» датирует подписание 30 августа - подписывали в ночь с 30 на 31, у нас стоит 31.08.1996. ВОПРОС КУРАТОРУ: по нашей же базе окно надо открывать раньше. В нашей базе есть записи: «Экономическая и транспортная блокада Ичкерии (1992-1994)» (C1027) описывает финансовые санкции и перекрытие сообщения с республикой - так блокируют соседа, а не управляют регионом; вторая запись: «Прокси-война и политическая дестабилизация (1993-1994)» (C1028) описывает снабжение вооружённой оппозиции и штурм Грозного 26.11.1994 чужими руками. Обе описывают действия ИЗВНЕ. Сейчас карта по решению куратора 26.08.2026 держит 1992-1994 красными.",
chechnya,Чечня (Ичкерия),1996-09-01,1999-09-29,de_facto_independent,"после Хасавюрта российских войск, налогов и управления в республике нет; 27.01.1997 президентом избран Аслан Масхадов, выборы наблюдала ОБСЕ",ввод наземных войск 30.09.1999,"Хасавюртовские соглашения от 31.08.1996; Договор о мире и принципах взаимоотношений между Российской Федерацией и Чеченской Республикой Ичкерия от 12.05.1997 (Ельцин, Масхадов)",высокая,"Три года Ичкерия существовала как государство: своя власть, свои выборы, признанные наблюдателями ОБСЕ, договор с Москвой как между сторонами. Империя контроля здесь не имела, и красного тут нет.",
chechnya,Чечня (Ичкерия),1999-09-30,2000-02-06,war,30.09.1999 танковые части вошли в Наурский и Шелковской районы - началась наземная часть войны; ей предшествовали авиаудары по Грозному с 23.09.1999,6.02.2000 федеральные войска заняли Грозный,"Хронология второй чеченской войны; решение Национального антитеррористического комитета: с 00:00 16.04.2009 отменён приказ, объявлявший территорию республики зоной проведения так называемой контртеррористической операции",высокая,"Вырез действует на всю республику, хотя равнинные Наурский и Шелковской районы заняты в первые дни: карта обзорная, дробить её по районам мы здесь не стали. АВГУСТОВСКИЕ УДАРЫ 1999 ГОДА подтверждаются двумя датами: 04.08 по селу Кенхи и 25-26.08 по Веденскому ущелью (последнее подтверждено Минобороны РФ); удары по Грозному - с 23.09.1999. Номер отменённого приказа в открытых источниках не назван - дыра.",
chechnya_mountains,Горная Чечня,2000-02-07,2000-04-20,war,"Грозный занят федеральными войсками, бои переносятся в горы: Шатойский, Веденский, Итум-Калинский, Шаройский и Ножай-Юртовский районы","Шатой занят 29.02.2000, бои у села Комсомольское шли 5-20.03.2000; 20.04.2000 Манилов заявил дословно: «войсковая часть контртеррористической операции» завершена","Хронология второй чеченской войны; Большая российская энциклопедия, статья: «Контртеррористические операции на Северном Кавказе 1999-2000»; заявление генерала армии Манилова 20.04.2000",средняя,"Империя восстановила контроль силой. ФОРМУЛИРОВКИ РАЗНЫЕ, и мы держим ту, которая закрывает окно: 20.04.2000 Манилов сказал именно про «войсковую часть контртеррористической операции», а «военная фаза» - это Тимченко, 01.03.2000. Прямое президентское правление оформлено Указом от 12.06.2000 № 1100: «О Главе Администрации Чеченской Республики» (kremlin.ru/acts/bank/15690), а не Указом от 08.06.2000 № 1071, который вводил временную систему органов исполнительной власти. Режим так называемой контртеррористической операции на территории республики держался ещё девять лет - до 16.04.2009. Рамка горных районов приближённая - южнее 43.05° с.ш.",
crimea,Крым и остров Тузла,2014-02-27,2014-03-17,occupation,"27.02.2014 вооружённые люди без опознавательных знаков заняли здания Верховного Совета и Совета министров Крыма; 01.03.2014 Совет Федерации разрешил ввод войск, украинские части блокированы",18.03.2014 подписан договор о принятии Крыма в состав РФ,"Постановление Совета Федерации от 01.03.2014 № 48-СФ: «Об использовании Вооружённых Сил Российской Федерации на территории Украины» (Собрание законодательства РФ, 03.03.2014, № 9, ст. 862; отменено постановлением Совета Федерации от 25.06.2014 № 296-СФ); резолюция Генеральной Ассамблеи ООН 68/262 от 27.03.2014: «Территориальная целостность Украины»",высокая,Контроль установлен за три недели до правового акта - карта идёт по контролю.,
crimea,Крым и остров Тузла,2014-03-18,,annexation,"18.03.2014 подписан договор о принятии Республики Крым в состав РФ, 21.03.2014 принят федеральный конституционный закон № 6-ФКЗ; последние украинские части покинули полуостров в конце марта 2014 года",,Федеральный конституционный закон от 21.03.2014 № 6-ФКЗ; резолюция Генеральной Ассамблеи ООН 68/262 от 27.03.2014: «Территориальная целостность Украины»; резолюция Генеральной Ассамблеи ООН 71/205 от 19.12.2016 о положении с правами человека в Крыму,высокая,"ВСТУПЛЕНИЕ В СИЛУ. По статье 10 договор действует с даты ратификации (21.03.2014), но по официальной отметке МИД России (письмо от 02.04.2014) он вступил в силу 01.04.2014, и правовые базы дают ту же дату. Мы пишем обе; на заливку это не влияет - контроль установлен 27.02.2014, аннексия оформлена 18.03.2014. ОСТРОВ ТУЗЛА идёт вместе с полуостровом: отдельной даты перехода острова под российский контроль в 2014 году нет ни в одном найденном источнике - дыра.",
ordlo,Отдельные районы Донецкой и Луганской областей,2015-02-19,,occupation,"18.02.2015 украинские войска вышли из Дебальцева - фронт встал на линии, которая держалась до 24.02.2022. С этого дня полигон DeepStateMAP наконец соответствует местности",,"резолюция Генеральной Ассамблеи ООН 68/262 от 27.03.2014; решение Европейского суда по правам человека, дело: «Украина против России (касательно Крыма и востока Украины)», §§ 50 и 56 - о захвате управления СБУ в Луганске 06.04.2014 и областной администрации 29.04.2014; доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине (серия с 2014 года)",средняя,"ПОПРАВКА 26.08.2026. До этого эпизод начинался 06.04.2014, и вся Донетчина с Луганщиной появлялась на карте сплошным куском сразу - причём по линии, на которой фронт встал только после Дебальцева, в феврале 2015 года. Апрель 2014 - февраль 2015 теперь идут датированными срезами реконструкции (строки donbas_*, tools/build_donbas.py), а этот полигон включается ровно с той даты, с которой он правдив.",
#ordlo,Отдельные районы Донецкой и Луганской областей,2014-08-24,2015-02-18,war,"август 2014 года: регулярные российские части входят в Донбасс, Иловайск","Минский протокол 05.09.2014, Минские соглашения 12.02.2015 и выход украинских войск из Дебальцево 18.02.2015 фиксируют линию",доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине; Минский протокол от 05.09.2014,средняя,"СНЯТО С ПОКАЗА 26.08.2026: окно 24.08.2014-18.02.2015 теперь закрыто датированными срезами реконструкции (строки donbas_*), которые эти месяцы и красят. ",
#sloviansk,Славянско-краматорский выступ,2014-04-12,2014-07-05,occupation,"12.04.2014 группа Игоря Гиркина заняла Славянск, затем Краматорск, Дружковку, Константиновку и Красный Лиман",05.07.2014 украинские войска вернули Славянск и Краматорск,"доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, 2014",средняя,"СНЯТО С ПОКАЗА 26.08.2026: рисованный прямоугольник заменён помесячной реконструкцией (строки donbas_*, tools/build_donbas.py). Строка оставлена ради пруфов и истории правки. Контур рисованный, приближённый. Три месяца этот кусок был под империей и перестал - на карте он обязан появиться и исчезнуть. ПРУФ СЛАБЫЙ: документа уровня ООН или Европейского суда на даты 12.04 и 05.07.2014 нет, даты держатся на украинских источниках - дыра.",
#mariupol,Мариуполь,2014-04-13,2014-06-13,occupation,13.04.2014 захвачено здание горсовета,13.06.2014 украинские войска вернули город,"доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, 2014",средняя,"СНЯТО С ПОКАЗА 26.08.2026: рисованный прямоугольник заменён помесячной реконструкцией (строки donbas_*). Контур рисованный, приближённый. ПРУФ СЛАБЫЙ: документа уровня ООН или Европейского суда на даты 13.04 и 13.06.2014 нет, даты держатся на украинских источниках - дыра.",
#ukraine,Украина,2022-02-24,2022-04-02,war,24.02.2022 полномасштабное вторжение,с 03.04.2022 карта идёт по снимкам DeepStateMAP,резолюция Генеральной Ассамблеи ООН ES-11/1 от 02.03.2022: «Агрессия против Украины»,высокая,"СНЯТО С ПОКАЗА 26.08.2026: окно 24.02-02.04.2022 теперь закрыто восемью срезами реконструкции (строки donbas_2022_*), которые его и красят. Заливки у строки нет: сплошных данных о занятой территории за 24.02 - 02.04.2022 у нас нет, и рисовать её мы не будем. Строка даёт остановку ползунка и запись в истории точки, дальше работает слой DeepStateMAP.",
donbas_2014_04_06,"Донбасс: первые захваты, 2014-04-06",2014-04-06,2014-04-11,occupation,"06.04.2014 занято здание областного управления Службы безопасности Украины в Луганске; в ночь на 7 апреля - здание областной администрации в Донецке, 7 апреля объявлена «ДНР»",12.04.2014 вооружённая группа под командой Игоря Гиркина заняла Славянск,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, §§ 50-51",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. Никакой сплошной области в апреле не было: на карте два пятна вокруг занятых зданий. Это и есть смысл помесячной реконструкции.",donbas
donbas_2014_04_12,"Донбасс: Славянск и Краматорск, 2014-04-12",2014-04-12,2014-04-19,occupation,"12.04.2014 группа под командой Игоря Гиркина заняла здания в Славянске, в тот же день - в Краматорске и Дружковке",к 20.04.2014 Славянск был занят целиком,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, §§ 52, 185",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_04_20,"Донбасс: занят север и центр, 2014-04-20",2014-04-20,2014-04-30,occupation,"13-15.04.2014 заняты Мариуполь, Макеевка, Енакиево, Горловка, Харцызск и Шахтёрск; к 20.04.2014 Славянск занят целиком","28-30.04.2014 заняты Константиновка, Алчевск и здание областной администрации в Луганске (29.04)","Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 55; доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, серия с 2014 года",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_05_01,"Донбасс: Луганщина и Амвросиевка, 2014-05-01",2014-05-01,2014-05-10,occupation,"29.04.2014 захвачено здание областной администрации в Луганске, 30.04 занят Алчевск, 01.05 - Амвросиевка",11.05.2014 проведены так называемые референдумы,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 56; доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, серия с 2014 года",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_05_11,"Донбасс: так называемые референдумы, 2014-05-11",2014-05-11,2014-05-31,occupation,"11.05.2014 в занятых районах Донецкой и Луганской областей проведены так называемые референдумы; Управление Верховного комиссара ООН по правам человека отметило, что они не соответствуют ни Конституции Украины, ни международному праву",22.05.2014 заняты Северодонецк и Лисичанск,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 59; доклад УВКПЧ ООН от 15.06.2014, п. 160",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_06_01,"Донбасс: бои за донецкий аэропорт, 2014-06-01",2014-06-01,2014-06-12,occupation,"26.05.2014 начались бои за донецкий аэропорт, он остался за украинскими войсками; 22.05 заняты Северодонецк и Лисичанск","04.06.2014 возвращён Красный Лиман, 13.06 - Мариуполь","Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 198",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_06_13,"Донбасс: Мариуполь возвращён, 2014-06-13",2014-06-13,2014-06-30,occupation,"13.06.2014 украинские войска очистили Мариуполь; 04.06 возвращён Красный Лиман, 05.06 - Амвросиевка, 14.06 - Счастье и Станица Луганская",05.07.2014 вооружённые формирования отошли из Славянска к Донецку,"доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, серия с 2014 года; дата 13.06.2014 держится на украинских источниках",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ПРУФ СЛАБЫЙ: документа уровня ООН или Европейского суда по правам человека на 13.06.2014 нет.",donbas
