country,country_ru,iso3,from,to,kind,event_from,event_to,source,confidence,note
India,Индия,IND,1971-08-09,1991-12-26,client_treaty,"договор о мире, дружбе и сотрудничестве 09.08.1971: статья VIII — не входить в направленные против другой стороны союзы и не допускать использования своей территории во вред ей; статья IX — немедленные консультации и эффективные меры при нападении или его угрозе",распад СССР 26.12.1991; в январе 1993 заменён российско-индийским договором без аналога статьи IX,"полный текст 09.08.1971: worldjpn.net/documents/texts/docs/19710809.T3E.html; Indian Treaty Series [1971] INTSer 10; карточка и скан в базе договоров МИД Индии — mea.gov.in/TreatyDetail?1557 (PDF mea.gov.in/Portal/LegalTreatiesDoc/RU71B1557.pdf); договор 28.01.1993 — mea.gov.in/TreatyDetail?25 (PDF mea.gov.in/Portal/LegalTreatiesDoc/RUB1210.pdf); протокол об обмене ратификационными грамотами 11.10.1993 — mea.gov.in/TreatyDetail?35 (PDF mea.gov.in/Portal/LegalTreatiesDoc/RUB1208.pdf); доли поставок — SIPRI Arms Transfers Database, armstransfers.sipri.org (реестр и TIV: atbackend.sipri.org/api/p/trades/import-export-csv/, выгрузка 26.08.2026)",high,"Атлас (поз. 48) держит Индию 1971–1991. Статья IX — консультации, а не автоматическая военная помощь: это слабее статьи 1 договора с КНР 1950 года. Советских баз в Индии не было, Дели оставался в Движении неприсоединения. Аренда атомной подлодки К-43 «Чакра» 03.02.1988 — 31.01.1991 отдельным эпизодом не заведена: это советская лодка в индийских руках, а не объект на индийской территории. В UNTS договор не найден по указателям томов 751–1198 и 1301–1350. Проверено отдельно 27.08.2026: оглавления томов UNTS 790–850 (регистрации 27.07.1971 — 31.07.1972) договора тоже не содержат, алфавитные указатели томов 851–1050 дают из пары СССР — Индия только консульскую конвенцию 29.11.1973 (I-15037); дата обмена ратификационными грамотами по статье XI (Москва, в течение месяца после подписания) документом НЕ ПОДТВЕРЖДЕНА. Статья XI даёт автоматическое продление ПЯТИЛЕТНИМИ периодами, а не двадцатилетними: утверждение английской Википедии, что 08.08.1991 договор «продлён ещё на 20 лет», внесено анонимной правкой 05.11.2020 без источника (en.wikipedia.org/w/index.php?diff=987218194), до неё там стояло столь же неподтверждённое «истёк в конце августа 1991». Российско-индийский договор подписан в Дели 28.01.1993, вступил в силу 11.10.1993 — в день обмена грамотами в Москве (посол Индии Ранендра Сен и заместитель министра иностранных дел РФ С.В. Лавров); его статья III сведена к регулярным консультациям и координации позиций при угрозе миру, обязательства статьи IX 1971 года — не помогать третьей стороне в вооружённом конфликте — в тексте нет; срок — 20 лет с автоматическим продлением на 5 лет. Доля СССР в импорте вооружений Индии по SIPRI TIV: 1970–1979 — 11 330 из 16 156 (70%), 1980–1989 — 22 240 из 30 302 (73%)."
Egypt,Египет,EGY,1955-09-27,1970-02-28,client_aid,«чехословацкая» оружейная сделка 27.09.1955 — первый крупный советский пакет вооружений за пределами блока,операция «Кавказ»: советская дивизия ПВО развёрнута в Египте в феврале-марте 1970,"Odd Arne Westad, The Global Cold War (2005), гл. 3; операция «Кавказ» — topwar.ru/104935",medium,
Egypt,Египет,EGY,1972-07-19,1976-03-14,client_treaty,"договор о дружбе и сотрудничестве 27.05.1971 (статья 8 — военное сотрудничество) остаётся в силе, советский флот пользуется Александрией и Мерса-Матрухом",Народное собрание денонсировало договор 14.03.1976; флот покинул Александрию весной 1976,"Текст договора 27.05.1971: sadat.umd.edu (Soviet Friendship Treaty); денонсация — Peking Review, № 13, 1976",high,"Номер UNTS (т. 798, № I-11379) встречается в справочниках, скан ООН не открывался — сверить."
Syria,Сирия,SYR,1980-10-08,1991-12-26,client_treaty,"договор о дружбе и сотрудничестве 08.10.1980, статья 6 — незамедлительные консультации при угрозе безопасности; в силе с 02.12.1980",распад СССР 26.12.1991; договор формально не денонсирован,"Текст договора 08.10.1980: consultant.ru, документ № 20664; base.garant.ru, ст. 12",high,
South Yemen,Южный Йемен (НДРЙ),YMD,1979-10-25,1990-05-22,client_treaty,"договор о дружбе и сотрудничестве 25.10.1979 на 20 лет; ратифицирован 22 и 25.12.1979, обмен ратификациями в Адене 10.02.1980",объединение Йемена 22.05.1990 — государство исчезло,"Текст договора: International Legal Materials (cambridge.org, S0020782900048804a)",high,Гражданская война в Адене 13.01.1986 окна не закрыла: Москва осталась с победившей стороной.
Israel,Израиль,ISR,1948-05-17,1949-01-25,client_aid,"СССР 17.05.1948 первым признаёт Израиль де-юре; с санкции Москвы Чехословакия по контракту 14.01.1948 поставляет «Хагане» винтовки, пулемёты и патроны (операция «Балак», первый рейс 31.03—01.04.1948), с 20.05.1948 — 25 истребителей Avia S-199 с аэродрома Жатец; в Чехословакии подготовлен 81 пилот и около 1300 добровольцев","после выборов в Кнессет 25.01.1949, где просоветские партии проиграли, Москва снимает поддержку и Прага сворачивает продажи","Arms shipments from Czechoslovakia to Israel; Jiri Valenta, Leni Friedman Valenta, «The Birth of Israel: Prague’s Crucial Role», Middle East Quarterly, Winter 2019",medium,"Атлас (поз. 27) даёт 1948–1953 — по разрыву отношений 11.02.1953. Разрыв продержался пять месяцев: отношения восстановлены 21.07.1953 и держались до июня 1967, так что как рамка клиентских отношений 1953 год не работает. Оружие пошло раньше государства (контракт 14.01.1948), но окно открыто датой признания — до 14.05.1948 контура Израиля не существует. Прямого документа о решении Москвы по чехословацким поставкам не найдено: литература говорит о ведома и поддержке, а не об оформленном решении."
Iraq,Ирак,IRQ,1958-11-01,1963-08-15,client_aid,"после революции 14.07.1958 СССР открывает Ираку кредитную линию на закупку вооружений, 168 млн долларов; к марту 1959 опознано семь судов, выгружено 16 300 тонн вооружений","Объединённый комитет начальников штабов США фиксирует, что Москва, возможно, намеренно затягивает поставки Ираку","CIA Office of Research and Reports, январь 1959, CIA-RDP79R01141A001300080002-6; FRUS 1958–60, т. XII, док. 140 и 270; FRUS 1961–63, т. XVIII, док. 311",medium,"Атлас (поз. 30) даёт первое окно 1958–1963. Дня ноября 1958 нет — взят первый день месяца. Правая граница — не разрыв, а замедление поставок: формального прекращения не найдено."
Iraq,Ирак,IRQ,1968-07-17,1972-04-08,client_aid,"переворот 17.07.1968, возвращение баасистов; крупнейшее на тот момент военное соглашение осенью 1971 — около 250 млн долларов: зенитная артиллерия, противотанковые ракеты, БТР, истребители; в феврале 1972 визит Саддама Хусейна в Москву — морские мины, торпедные катера, танки и обещание МиГ-23",канун подписания договора о дружбе,"FRUS 1969–76, т. E-4, док. 295, 303, 307",medium,
Iraq,Ирак,IRQ,1972-04-09,1980-09-22,client_treaty,"договор о дружбе и сотрудничестве, Багдад, 15 лет: статья 8 — немедленный контакт для координации позиций при угрозе миру, статья 9 — продолжать сотрудничество в укреплении обороноспособности друг друга, статья 10 — не допускать использования своей территории во вред другой стороне; ратифицирован Указом Президиума ВС СССР 13.06.1972; в стране около 1000 советских военных советников (1976)",с началом ирано-иракской войны Москва вводит эмбарго на поставки Ираку по довоенным контрактам,"меморандум Госдепа США 13.04.1972 (2001-2009.state.gov/documents/organization/70891.pdf); текст статей — ЦРУ, 18.07.1972, FRUS 1969–76 т. E-4, док. 321; эмбарго — ЦРУ, 03.12.1982, CIA-RDP08S02113R000100230001-3",high,"Атлас закрывает второе окно 1979 годом — документы этого не позволяют: договор действовал, советники стояли, поставки шли. Разрыв — советское эмбарго сентября 1980, и оно продержалось меньше года: с апреля 1981 прямые поставки возобновлены, в апреле 1982 подписан новый контракт не менее чем на 2 млрд долларов. Вопрос куратору: тянуть ли второе окно до 1991 года. Умм-Каср советской базой не был — Госдеп и ЦРУ говорят это прямо. В UNTS договор не зарегистрирован (проверены кумулятивные индексы томов 801–1150)."
Libya,Ливия,LBY,1969-09-01,1974-04-30,client_aid,"переворот Свободных офицеров 01.09.1969, свержение короля Идриса; признание СССР через три дня; к 1974 году закуплено техники примерно на 125 млн долларов, в основном бронетехника",канун визита премьер-министра Джаллуда в Москву,"CIA, «Libyan-Soviet Relations», CIA-RDP79B01737A002100190001-8; SIPRI Arms Transfers Database",low,"Атлас (поз. 44) открывает окно 1969 годом. Отрезок до 1974 держится на закупках 125 млн долларов — клиентурой это назвать натяжка, поэтому confidence низкая."
Algeria,Алжир,DZA,1962-07-05,1963-09-30,client_aid,независимость 05.07.1962; дипотношения с СССР установлены ещё 23.03.1962; первые Т-34-85 и МиГ-15/17 идут с 1961 года,канун пограничного столкновения с Марокко,SIPRI Arms Transfers Database; справка посольства России в Алжире (web.archive.org/web/20240519235349),low,
North Yemen,Северный Йемен (ЙАР),YEM,1956-10-01,1962-09-25,client_aid,"после визита наследного принца аль-Бадра в СССР в июле 1956 Йемен получает советское оружие, начинается военное сотрудничество; соглашение соцлагеря на 20 млн долларов",канун революции 26 сентября,"Arabian Humanities, вып. 1 (2013), хронология советско-йеменских отношений, journals.openedition.org/arabianhumanities/2237; CIA Office of Research and Reports, январь 1959",medium,Дня октября 1956 нет — взят первый день месяца.
North Yemen,Северный Йемен (ЙАР),YEM,1968-02-08,1978-12-31,client_aid,"договор о дружбе 21.03.1964 (UNTS т. 553, № I-8094, в силе с 20.10.1964) остаётся в силе, поставки продолжаются",СССР перестаёт быть главным поставщиком оружия ЙАР,"UNTS т. 553, № I-8094 (treaties.un.org/doc/Publication/UNTS/Volume%20553/volume-553-I-8094-English.pdf); CIA PA M 80-10019, 11.01.1980, FRUS 1977–80 т. XVIII док. 292",medium,"Тип aid, а не treaty: договор 21.03.1964 прочитан целиком, все шесть статей — признание суверенитета, вечный мир, торговля, культура, срок и языки. Военной статьи в нём нет ни одной. Атлас (поз. 37) держит ЙАР 1964–1972, судя по всему именно по этому договору; основание не выдерживает."
Somalia,Сомали,SOM,1974-07-11,1977-11-13,client_treaty,"договор о дружбе и сотрудничестве 11.07.1974 на 20 лет; база в Бербере, советников от 1500 человек",Сомали денонсировало договор и выслало советских военных 13.11.1977 — Москва встала на сторону Эфиопии в войне за Огаден,"Российско-сомалийские отношения (ru.wikipedia.org); Washington Post, «Somalis Are United on Expelling Soviets», 26.11.1977",high,Война за Огаден началась вторжением Сомали 13.07.1977 — четыре месяца Москва снабжала обе стороны.
Ethiopia,Эфиопия,ETH,1978-11-20,1991-05-21,client_treaty,"договор о дружбе и сотрудничестве 20.11.1978, статья 7 — координация при угрозе миру; ратифицирован 19.02.1979, в силе с 03.04.1979; пункт обеспечения на острове Нокра (архипелаг Дахлак) с 1978 года",падение режима Менгисту 21.05.1991,"Договор 20.11.1978 (ru.wikipedia.org, Договор о дружбе и сотрудничестве с Социалистической Эфиопией); Нокра — globalsecurity.org/military/world/ethiopia/dahlak.htm",high,
Angola,Ангола,AGO,1976-10-08,1991-12-26,client_treaty,договор о дружбе и сотрудничестве 08.10.1976 с военным разделом; советские советники и кубинский контингент,распад СССР 26.12.1991; кубинские войска выведены к 25.05.1991 по Нью-Йоркским соглашениям 22.12.1988,Договор 08.10.1976: docs.historyrussia.org/ru/nodes/493385; istmat.org/node/22497,medium,
Mozambique,Мозамбик,MOZ,1977-03-31,1984-03-16,client_treaty,договор о дружбе и сотрудничестве 31.03.1977 с военной компонентой,Нкоматское соглашение с ЮАР 16.03.1984 — поворот Мапуту к Западу,"Washington Post, 01.04.1977; Nkomati Accord, en.wikipedia.org/wiki/Nkomati_Accord",medium,Номер статьи военного раздела договора не найден — текст не открывался.
Mozambique,Мозамбик,MOZ,1984-03-17,1991-12-26,client_aid,"Нкоматское соглашение 16.03.1984 развернуло Мапуту к Западу, но советские поставки и советники остались",распад СССР 26.12.1991,"Nkomati Accord, en.wikipedia.org/wiki/Nkomati_Accord",low,
Congo,Конго (Браззавиль),COG,1969-12-31,1991-12-26,client_aid,Мариан Нгуаби провозгласил Народную Республику Конго 31.12.1969 — единственную марксистско-ленинскую в Африке того момента; советская помощь и поставки,распад СССР 26.12.1991,Переворот 04.09.1968 и приход Нгуаби 01.01.1969: en.wikipedia.org/wiki/1968_Republic_of_the_Congo_coup_d%27%C3%A9tat; торговый договор с СССР 1978,low,"Договор о дружбе и сотрудничестве подписан, по данным Washington Post от 14.05.1981, около 13.05.1981 — сама публикация за платным доступом, текст не проверен. Военного соглашения или базы не найдено."
Benin,Бенин,BEN,1974-11-30,1989-12-07,client_aid,"Кереку провозгласил марксизм-ленинизм 30.11.1974 (переворот 26.10.1972), национализация банков и нефти; советская помощь",отказ от марксизма-ленинизма в декабре 1989,"People’s Republic of Benin, en.wikipedia.org/wiki/People%27s_Republic_of_Benin",medium,Полноформатного договора о дружбе не было: в ноябре 1986 года при визите Кереку в СССР подписана только декларация.
Madagascar,Мадагаскар,MDG,1975-06-15,1991-12-26,client_aid,"Дидье Рацирака во главе государства с 15.06.1975, «Хартия социалистической революции»; советские поставки Ми-8, МиГ-21, Ан-26",распад СССР 26.12.1991,wildmadagascar.org/overview/loc/52-miliary_assistance.html,low,Договора о дружбе и сотрудничестве не найдено — только дипотношения с 29.09.1972 и военные поставки с 1975 года.
Guinea,Гвинея,GIN,1958-10-02,1973-05-31,client_aid,Гвинея отвергла конституцию де Голля и получила независимость 02.10.1958; СССР признал первым и начал поставки,с лета 1973 года аэродром Конакри принимает советские разведывательные Ту-95РЦ,"Odd Arne Westad, The Global Cold War (2005), гл. 4",low,
Mali,Мали,MLI,1961-03-18,1968-11-19,client_aid,Генеральное соглашение об экономическом и техническом сотрудничестве 18.03.1961 при Модибо Кейте,переворот Мусы Траоре 19.11.1968,"journals.rudn.ru/international-relations/article/view/33063; 1968 Malian coup d’état, en.wikipedia.org",high,
Ghana,Гана,GHA,1960-08-04,1964-01-08,client_aid,"соглашение об экономическом и техническом сотрудничестве 04.08.1960 (в силе с 23.12.1960): кредит 160 млн рублей под 2,5 процента — рыбопромышленный комплекс в Теме, ГЭС Буи, госхозы, геологоразведка; советских экономических специалистов 225 на июнь 1962",канун соглашения о военном аэродроме под Тамале,"UNTS т. 399, № I-5734, с. 61 (treaties.un.org/doc/Publication/UNTS/Volume%20399/volume-399-i-5734-english.pdf); протокол — т. 421, с. 351",high,Военной статьи в соглашении нет.
Mauritania,Мавритания,MRT,1973-01-01,1978-11-30,client_aid,"соглашение о морском рыболовстве 1973 года: советскому флоту права лова в 30-мильной зоне, обязательная переработка части улова в Нуадибу и заход в порт; безвозмездно передана океанографическая лаборатория в Нуадибу со штатом 27 советских специалистов","после переворота 10.07.1978 новое правительство аннулировало лицензионные соглашения со всеми иностранными партнёрами, соглашение расторгнуто в ноябре 1978","CIA, «Soviet Fisheries Aid to the Third World», июнь 1979, CIA-RDP08S01350R000601970003-2, Appendix C",medium,"Дней у краёв окна нет. Атлас (поз. 34) даёт 1961–1984: дипотношений до 12.07.1964 не существовало, а до 1978 года Нуакшот воевал против поддерживаемого Москвой ПОЛИСАРИО."
Mauritania,Мавритания,MRT,1981-01-01,1991-12-26,client_aid,"смешанное советско-мавританское рыболовное общество МАУССОВ даёт к середине 1980-х 55 процентов экспортного тоннажа рыбы; заходы в Нуадибу, планы сухого дока; поставки — три РЛС управления огнём СОН-9 (1980/81), 35 танков Т-55 (заказ 1990, поставка 1991)",распад СССР; 29.12.1991 Мавритания признала РФ,"CIA, «Soviet and East European Aid to the Third World, 1981», февраль 1983, CIA-RDP08S01350R000601960004-2; CIA, «West Africa: The Fisheries Dilemma», 21.04.1986, CIA-RDP86T01017R000100860001-5; SIPRI",medium,"Год учреждения совместного предприятия расходится: справка МИД даёт март 1980, ЦРУ — 1981. Взят 1981. Самая плотная фаза приходится на время ПОСЛЕ конца окна атласа."
Cape Verde,Кабо-Верде,CPV,1981-07-01,1991-12-26,client_aid,"остаточная линия: 10 советских военных советников при армии на 1983 год, три Ан-26 (1982), Москва по-прежнему покрывает основную часть военных потребностей",распад СССР 26.12.1991,"CIA, 13.09.1983, CIA-RDP85T00287R000402160002-9; SIPRI",medium,Рыболовным плацдармом Кабо-Верде не стала: ЦРУ в 1979 году относит её к неподписавшим — «Cape Verde and the Seychelles have refused to sign agreements». Дня перелома в июне 1981 нет.
Sao Tome and Principe,Сан-Томе и Принсипи,STP,1976-10-05,1991-12-26,client_aid,"визит премьер-министра Тровоады в Москву 04—11.10.1976: подписаны Декларация о принципах дружественных взаимоотношений и сотрудничества, соглашения об экономическом и техническом, культурном и научном сотрудничестве и торговое; коммюнике 13.10.1976",распад СССР 26.12.1991,"коммюнике 13.10.1976 — istmat.org/node/22498; UNTS т. 1078, № I-16487, с. 27 и т. 1137, № I-17845, с. 347",low,"Окно атласа (поз. 51) подтверждается только дипломатически. Ни поставок оружия (в базе SIPRI у страны нет ни одной записи ни от кого), ни советских объектов, ни рыболовного соглашения найти не удалось; ЦРУ в 1977 году про оба подписанных соглашения пишет: «No activity was noted under either agreement». Реальное иностранное военное присутствие было кубинским. Декларация 1976 года — политический документ, не договор, военной статьи в нём нет."
Zambia,Замбия,ZMB,1964-10-30,1977-12-31,client_aid,"дипотношения 30.10.1964, через шесть дней после независимости; соглашение о культурном сотрудничестве 25.08.1966, межправительственное соглашение об экономическом и научном сотрудничестве 1967 года, торговое соглашение 17.12.1971; территория Замбии — тыловая база ЗАПУ и АНК",появление советской военной группы в Лусаке,Russia–Zambia relations (справка МИД РФ через ria.ru/20230617/diplomatiya-1878796264.html),medium,Военного присутствия в эти годы не зафиксировано; Каунда в 1976 году публично осудил советско-кубинское присутствие в Анголе.
Tanzania,Танзания,TZA,1961-12-11,1973-12-31,client_aid,"дипотношения с Танганьикой 11.12.1961, с Занзибаром 18.01.1964, объединение 26.04.1964; торговое соглашение 14.08.1963, о культурном сотрудничестве 06.11.1963, об экономическом и техническом сотрудничестве 26.05.1966 с льготным займом",новые советские оружейные соглашения меняют характер связи,"справка МИД РФ через 1prime.ru/20260603/rossija-870432273.html; Vladimir Shubin, «The USSR and Southern Africa»",medium,"Главным поставщиком оружия Танзании до 1974 года был Китай, а не Москва: окно атласа (поз. 39) с 1964 года переоценивает советское влияние."
Nicaragua,Никарагуа,NIC,1979-07-19,1990-02-25,client_aid,сандинисты свергли Сомосу 19.07.1979; советские и кубинские поставки и советники,поражение сандинистов на выборах 25.02.1990,history.com/this-day-in-history/february-26 (Sandinistas are defeated in Nicaraguan elections),medium,Часть источников датирует поражение 26.02.1990 — днём оглашения результатов.
Peru,Перу,PER,1969-02-01,1972-12-31,client_aid,"дипотношения установлены в феврале 1969 года, через четыре месяца после переворота Веласко Альварадо; резидентура КГБ в Лиме с августа 1969; после землетрясения 31.05.1970 советский воздушный мост — к 31.07.1970 выполнено 22 рейса и развёрнуто два полевых госпиталя; первые три Ми-8Т переданы безвозмездно",переход к массовым закупкам тяжёлого вооружения,"CIA Weekly Summary, 31.07.1970, «Soviet Relief Effort to Peru Bogs Down» (C03154556); SIPRI Arms Transfers Database",medium,Дня февраля 1969 нет — взят первый день месяца.
Chile,Чили,CHL,1970-11-03,1973-09-11,client_aid,"инаугурация Альенде 03.11.1970; советские кредиты и поставки — 100 тысяч тонн пшеницы и 5 тысяч тракторов в 1971 году, кредит расширен с 15 до 55 млн долларов 28.05.1971, 200 советских гражданских консультантов по управлению и планированию в 1972–1973 годах; 22.02.1973 посол Басов сообщает министру обороны Тоа о решении удовлетворить просьбу Альенде о поставках вооружения, в мае—июне 1973 открыт кредит 19 млн долларов на оборонную технику",военный переворот 11.09.1973; 22.09.1973 СССР разрывает отношения с хунтой и отзывает весь персонал посольства,"«Chile en los archivos de la URSS (1959–1973)», Estudios Públicos № 72 (1998); Schelchkov, Loyola (ред.), «Informando a Moscú», Ariadna, 2025, док. 92, 107, 120 (РГАНИ ф. 5, оп. 66, д. 1016); CIA ER 80-10318U, октябрь 1980, с. 42",high,"Военных поставок при Альенде НЕ БЫЛО: есть решение февраля 1973 года и кредит мая—июня 1973-го, но в базе SIPRI по линии СССР — Чили ноль записей. Советских военных советников в Чили тоже не было, только военный атташе. Отношения с СССР существовали и до Альенде — установлены 11.12.1944, разорваны Сантьяго 21.10.1947, восстановлены в 1964 году при Фрее; восстановлены после хунты 11.03.1990."
Grenada,Гренада,GRD,1979-09-07,1980-10-26,client_aid,"дипотношения установлены 07.09.1979, через полгода после переворота Новое движение ДЖУЭЛ 13.03.1979; межпартийные связи с КПСС, учёба гренадцев в Москве",подписано первое секретное соглашение о военных поставках,"Госдепартамент и Минобороны США, «Grenada Documents: An Overview and Selection», сентябрь 1984, раздел «The Soviet Connection», с. 5–8 (archive.org)",medium,
Grenada,Гренада,GRD,1980-10-27,1983-10-25,client_treaty,"секретное межправительственное соглашение, подписанное в Гаване 27.10.1980: безвозмездные поставки на 4,4 млн рублей, обучение гренадских военнослужащих в СССР за советский счёт, статья о секретности; протокол в Гаване в феврале 1981 года на 5 млн рублей и соглашение в Москве 27.07.1982 на 10 млн рублей с направлением советских специалистов в Гренаду; поставлены миномёты, РПГ-7В, пулемёты, 1000 автоматов, 18 зенитных установок ЗУ-23, 50 БТР-152В1, 30 пусковых «Град-П»",вторжение США 25.10.1983; в ноябре 1983 генерал-губернатор Скун разорвал отношения с Москвой,"«Grenada Documents: An Overview and Selection», документы 13, 14, 15 (факсимиле и тексты соглашений); SIPRI",high,"Это не договор о дружбе, а секретные соглашения о военных поставках — всего 19,4 млн рублей безвозмездно. Тип treaty поставлен по наличию межправительственного военного инструмента. Советских военных советников на острове не было: военные специалисты были кубинские, советские только предусматривались соглашением 1982 года и приезд их не задокументирован. Аэропорт Пойнт-Сэлайнс строили кубинцы, подрядчик по терминалу — британская Plessey; советских денег на него Бишоп просил и не получил. Контур — современный, CShapes Гренады не знает."
