country,country_ru,iso3,from,to,kind,event_from,event_to,source,confidence,note
Mozambique,Мозамбик,MOZ,1975-06-25,1977-03-30,client_military,"независимость 25.06.1975, ФРЕЛИМО берёт курс на Москву",договор о дружбе и сотрудничестве 31.03.1977,"Washington Post, «Mozambique Signs Pact With Soviets», 01.04.1977",medium,
Ghana,Гана,GHA,1964-01-09,1966-02-24,client_military,"соглашение министра обороны Ганы с советским правительством 09.01.1964 о строительстве военного аэродрома под Тамале — полоса, несоразмерная наличному парку ВВС Ганы, схема подписана «USSR schematic master plan»; в 1965 заключено соглашение о военной помощи, советские инструкторы готовят две части президентской охраны и ведут курсы в лагерях Бюро по делам Африки","переворот 24.02.1966; 28.02.1966 Национальный совет освобождения потребовал немедленного отъезда советских специалистов, к середине марта выслано 500–620 человек","CIA, фотоаналитическая справка 07.01.1966, CIA-RDP78T05929A001300120003-1; CIA IM № 1158/66 от 11.03.1966 (док. 0000572903)",high,"Единственная страна куста, где окно атласа (поз. 40, 1964–1966) ложится ровно на документ."
Guinea-Bissau,Гвинея-Бисау,GNB,1975-04-11,1991-12-26,client_military,"соглашение о сотрудничестве в области рыболовства 11.04.1975: статья 6 — советским судам стоянка у причалов, техобслуживание и послерейсовый ремонт силами советских подменных экипажей, смена экипажей; статья 9 — представительство Министерства рыбного хозяйства СССР за советский счёт; 65 советских военных специалистов в 1975 году, около 55 в 1985, к 1986 году посольство США оценивает контингент в 250–350 человек",распад СССР; 31.12.1991 Гвинея-Бисау признала РФ,"UNTS т. 1024, № I-15042, с. 325 (treaties.un.org/doc/Publication/UNTS/Volume%201024/volume-1024-I-15042-English.pdf); CIA «Africa Review» ALA AR 85-026 от 29.11.1985 и ALA AR 86-017 от 22.08.1986",high,"Договора о дружбе нет — опора на рыболовное соглашение с портовыми правами. Военно-морского доступа Москва просила дважды и не получила (ЦРУ, 1976 и 1986). Поддержка ПАИГК 1961–1974 (21,7 млн рублей военного финансирования, около 2000 обученных, «Стрела-2» с ноября 1972) в слой не заведена: это помощь движению, а территория до 10.09.1974 была португальской колонией."
Cape Verde,Кабо-Верде,CPV,1975-07-14,1981-06-30,client_military,"дипотношения 14.07.1975; по соглашению о воздушном сообщении 1975 года кубинским войскам разрешён транзит через Кабо-Верде в Анголу и обратно, советским и кубинским бортам — дозаправка на аэродроме острова Сал; СССР — основной поставщик вооружения: 10 БРДМ-2 (1976), два катера проекта 206 (1979)",в июне 1981 визит Перейры в Португалию и военное соглашение с ней кончают политику приёма военной помощи исключительно от соцлагеря,"CIA, «Cape Verde: Pereira’s Problems», 13.09.1983, CIA-RDP85T00287R000402160002-9; SIPRI",medium,"Дата дипотношений расходится: справка МИД даёт 14.07.1975, таблица по советским дипотношениям — 25.09.1975. Взята первая. Прав на военно-морскую базу Перейра Москве отказал, несмотря на неоднократные просьбы."
Equatorial Guinea,Экваториальная Гвинея,GNQ,1979-08-04,1983-12-31,client_military,"остаточное присутствие после переворота: советский персонал сокращён примерно до 80 человек к концу 1982 года, СССР фактически содержит государственную авиакомпанию — два транспортных самолёта с пилотами и механиками","в 1983 году раскрыт заговор офицеров, обученных в СССР; Малабо потребовало отзыва военных техников, Москва прекратила поставки запчастей","CIA, 22.02.1985, CIA-RDP85T01058R000100110001-3",medium,"Порт Луба перестал использоваться с 1980 года, соглашение 1973 года не продлено. Дня в 1983 году нет — взят последний день года."
Zambia,Замбия,ZMB,1978-01-01,1991-12-26,client_military,"группа советских военных специалистов во главе с полковником Львом Кононовым размещена в Лусаке, формально при министерстве обороны Замбии; контракт конца 1979 года — около 100 млн долларов, 12 МиГ-21, ЗРК и вооружение для армии; за 1979–1983 поставлено оружия на 180 млн долларов, это 70 процентов замбийского импорта; с 1984 года в Лусаке штаб-квартира АНК",распад СССР; поражение Каунды на выборах 31.10.1991,"Vladimir Shubin, «The USSR and Southern Africa», Occasional Paper (centri.unibo.it/cedsspamo); Christian Science Monitor, 05.02.1980 и 26.12.1980",medium,"Дня появления группы в 1978 году нет — взят первый день года. Цифры «около 500 советских военных» и «180 млн долларов» восходят к бэкграундеру времён холодной войны, а не к документу. Советских баз в Замбии не было."
Tanzania,Танзания,TZA,1974-01-01,1991-12-26,client_military,"первые с середины 1960-х советские оружейные соглашения, объём помощи сравнялся с китайской, создана советская военная советническая миссия; в 1974 году поставлены 14 МиГ-21МФ и два МиГ-21У, в 1980-е построена система ПВО с ЗРК «Печора-М», шли Т-55 и БТР; в СССР обучено около 1300 танзанийских военных",распад СССР 26.12.1991,"National Intelligence Estimate «Soviet Military Policy in the Third World», октябрь 1976, п. 98–99 (2001-2009.state.gov/documents/organization/67519.pdf)",medium,"Точных дат соглашений 1974–1976 годов в открытых источниках нет — взят первый день 1974 года. Атлас (поз. 39) закрывает окно 1985 годом, с уходом Ньерере; советская военная линия шла дальше. Советских баз не было: Танзания держалась политики против заходов флотов нелиторальных держав."
Uganda,Уганда,UGA,1965-07-01,1971-01-25,client_military,"советско-угандское военное соглашение июля 1965 года при Оботе: обучение более 250 военнослужащих, 20 лётчиков и 50 техников, безвозмездная поставка эскадрильи, аэродромное оборудование, связь, артиллерия; к концу 1967 года в Уганде 25 советских советников","военный переворот Иди Амина 25.01.1971, свержение Оботе","Library of Congress country study, «Uganda: Foreign Military Assistance», country-data.com/cgi-bin/query/r-14165.html; справка МИД РФ через ria.ru/20230727/diplomatiya-1886383324.html",medium,"Дня июля 1965 нет — взят первый день месяца. Атлас (поз. 46) даёт 1969–1971, привязываясь к «сдвигу влево» Оботе; юридическая основа — соглашение 1965 года, отдельного документа 1969 года не найдено."
Uganda,Уганда,UGA,1972-07-01,1979-04-11,client_military,"в июле 1972 года угандийская военная делегация в Москве подписывает контракт на танки, БТР, ракеты, транспортную авиацию, вертолёты, катера, МиГ-21 и РЛС; в 1974–1975 поставлено более чем на 500 млн долларов, в 1973–1975 в СССР обучено свыше 700 угандийцев, в стране работало более 100 советских инструкторов","падение Амина при танзанийском вторжении, взятие Кампалы 11.04.1979","Library of Congress country study, country-data.com/cgi-bin/query/r-14165.html; NIE, октябрь 1976, п. 110",high,"Окна атласа этот эпизод не имеет вовсе: советская линия не прервалась в 1971 году, а резко усилилась при Амине. Внутри окна — временный разрыв 1975 года (Амин выслал советского посла из-за Анголы) и восстановление после Энтеббе в июле 1976. Дня июля 1972 нет — взят первый день месяца."
Sudan,Судан,SDN,1967-01-01,1971-07-22,client_military,"крупное оружейное соглашение 1967 года после Шестидневной войны; к 1970 году в стране до 2000 советских и восточноевропейских технических советников, армия выросла с 18 тысяч в 1966 году до почти 50 тысяч в 1972-м; переворот Нимейри 25.05.1969 усилил линию на Москву — танки, артиллерия, МиГ-21, вертолёты",попытка переворота Хашима аль-Атты 19.07.1971 подавлена 22.07.1971; Нимейри обвинил Москву и выслал советских и восточноевропейских военных советников на год,"Library of Congress country study, «Sudan: Foreign Military Assistance», country-data.com/cgi-bin/query/r-13451.html; NIE, октябрь 1976, п. 109",high,Дня в 1967 году нет — взят первый день года. Атлас (поз. 45) даёт 1969–1971: окно занижено с обоих концов.
Sudan,Судан,SDN,1972-01-01,1977-12-31,client_military,"отношения восстановлены: дозавершены законтрактованные поставки танков, согласована новая закупка боевых самолётов, военные соглашения действовали до 1977 года; осенью 1976 в стране оставалось около 100 советников",в 1977 году в ответ на советскую военную помощь Эфиопии Хартум выслал всех 90 советских военных советников и закрыл военный отдел посольства СССР,"Library of Congress country study, country-data.com/cgi-bin/query/r-13451.html; NIE, октябрь 1976, п. 109",medium,"Дней у краёв окна нет. Распространённая дата высылки «май 1977» проверки не выдержала — взят последний день года. Отдельный сюжет — пункт материально-технического обеспечения в Порт-Судане по соглашению 01.12.2020: он остаётся в disputed.csv, соглашение так и не ратифицировано."
Cuba,Куба,CUB,1960-05-08,1962-10-28,client_military,"дипломатические отношения восстановлены 08.05.1960; советское оружие, затем размещение ракет средней дальности (операция «Анадырь»)",Карибский кризис: договорённость о вывозе ракет 28.10.1962,"Odd Arne Westad, The Global Cold War (2005), гл. 5",medium,
Peru,Перу,PER,1973-01-01,1975-08-28,client_military,"первый крупный контракт 1973 года: заказаны 280 Т-55, в тот же год поставлены 24 Т-54 и 24 БМ-21; советские военные техники в стране; соглашение об обмене развединформацией КГБ — Национальная разведслужба Перу утверждено ЦК КПСС в июне 1971, к 1976 году десять перуанских офицеров прошли подготовку в Москве",смещение Веласко Альварадо Моралесом Бермудесом 29.08.1975,"SIPRI Arms Transfers Database; CIA, «Communist Aid to Less Developed Countries of the Free World, 1975», ER 76-10372U, июль 1976, табл. 2 и 7",high,"Перу — единственная страна Латинской Америки, закупавшая советское тяжёлое вооружение в промышленных масштабах: в таблицах ЦРУ по обучению военных в соцстранах это единственная латиноамериканская строка. Дня в 1973 году нет — взят первый день года."
Peru,Перу,PER,1975-08-29,1991-12-26,client_military,"Моралес Бермудес продолжает и расширяет закупки: пакет 1976 года — 36 Су-22 на 250 млн долларов, ЗРК С-125, ЗСУ-23-4, Ан-26, БРДМ-2; в 1980 году ещё 16 Су-22 на 140 млн, в 1981 году 14 Ми-24Д",распад СССР 26.12.1991,"SIPRI Arms Transfers Database; CIA, «Communist Aid Activities in Non-Communist LDCs, 1980», CIA-RDP08S01350R000200390002-2: «The 1980 agreement put Peru’s purchases of Soviet military hardware over the $1 billion mark»",high,"Атлас (поз. 43) закрывает окно 1975 годом, по смене Веласко. Су-22, которые обычно приводят как символ советского Перу, заказаны в 1976 году и поставлены в 1977–1978, то есть уже после конца атласного окна. Дипотношения не разрывались ни разу."
Guyana,Гайана,GUY,1975-12-26,1976-12-31,client_military,"Гайана предоставила аэропорт Тимехри для дозаправки кубинских самолётов с войсками, идущими в Анголу, вопреки личному обращению Киссинджера к Бёрнхему 24.12.1975",разрешение отозвано — к январю 1977 кубинцы летали на Браззавиль без промежуточных посадок,"FRUS 1969–1976, т. E-11 ч. 1, док. 379 и 380; Brotherson, «The Foreign Policy of Guyana, 1970–1985», JIASWA 31:3 (1989), с. 20",medium,Точной даты отзыва разрешения нет — взят последний день 1976 года.
