country,country_ru,iso3,from,to,kind,event_from,event_to,source,confidence,note
Poland,Польша,POL,1947-01-19,1989-09-11,bloc,"выборы 19.01.1947 закрепили монополию ППР/ПОРП; СЭВ с января 1949, ОВД с 14.05.1955, Северная группа войск",правительство Мазовецкого 12.09.1989 — первое некоммунистическое в блоке,"Варшавский договор: UNTS т. 219, № I-2962; СЭВ — Oxford Public International Law, opil.ouplaw.com (law-9780199231690-e606)",high,
Hungary,Венгрия,HUN,1947-02-10,1956-11-03,bloc,"мирный договор 10.02.1947 оставил советские войска для связи с зоной в Австрии; СЭВ с января 1949, ОВД с 14.05.1955","восстание 23.10.1956, правительство Надя объявило о выходе из ОВД","Варшавский договор: UNTS т. 219, № I-2962",high,
Romania,Румыния,ROU,1947-02-10,1989-12-22,bloc,"мирный договор 10.02.1947; СЭВ с января 1949, ОВД с 14.05.1955",падение Чаушеску 22.12.1989,"Варшавский договор: UNTS т. 219, № I-2962; вывод войск 1958 — muse.jhu.edu/article/434037",medium,"Внутри окна два перелома, отдельными эпизодами не разложены: советские войска выведены к 25.07.1958 (уведомление 17.04.1958), а с 21.08.1968 Бухарест отказался участвовать в интервенции и не пускал манёвры ОВД на свою территорию."
Bulgaria,Болгария,BGR,1947-12-16,1989-11-10,bloc,"СЭВ с января 1949, ОВД с 14.05.1955; самый лояльный член блока, советских войск на территории нет",смещение Живкова 10.11.1989,"Варшавский договор: UNTS т. 219, № I-2962",medium,
Czechoslovakia,Чехословакия,CSK,1948-02-25,1968-08-20,bloc,"февральский переворот 25.02.1948; СЭВ с января 1949, ОВД с 14.05.1955","вторжение пяти армий ОВД в ночь на 21.08.1968, операция «Дунай»","Варшавский договор: UNTS т. 219, № I-2962; вторжение — en.wikipedia.org/wiki/Warsaw_Pact_invasion_of_Czechoslovakia",high,
East Germany,ГДР,DDR,1949-10-07,1990-10-02,bloc,"провозглашена ГДР 07.10.1949; ОВД с 14.05.1955, СЭВ с сентября 1950, ГСВГ на территории","ГДР вышла из ОВД 24.09.1990, членство прекращено объединением Германии 03.10.1990","Варшавский договор: UNTS т. 219, № I-2962 (treaties.un.org/doc/Publication/UNTS/Volume%20219/volume-219-I-2962-English.pdf); выход ГДР — Washington Post 25.09.1990",high,
North Vietnam,Северный Вьетнам (ДРВ),VDR,1954-07-21,1978-11-02,client_military,"Женевские соглашения 21.07.1954 разделили Вьетнам по 17-й параллели; ДРВ получает советское оружие, с 1965 года — зенитно-ракетные комплексы и расчёты",договор о дружбе и сотрудничестве 03.11.1978,"Женевские соглашения 21.07.1954; советская помощь ДРВ — Odd Arne Westad, The Global Cold War (2005), гл. 5",medium,"Контур — CShapes, gwcode 816: до 30.04.1975 это север, дальше страна целиком. Республика Вьетнам (юг, gwcode 817) в сферу не входила ни дня."
Hungary,Венгрия,HUN,1956-11-04,1956-11-10,intervention,операция «Вихрь»: советские танки в Будапеште на рассвете 04.11.1956,"восстание подавлено, поставлено правительство Кадара","ENRS, enrs.eu/article/the-hungarian-revolution-1956",high,
Hungary,Венгрия,HUN,1956-11-11,1989-10-22,bloc,"правительство Кадара, Южная группа войск на территории",провозглашена Венгерская Республика 23.10.1989,"Southern Group of Forces, en.wikipedia.org/wiki/Southern_Group_of_Forces",high,
Cuba,Куба,CUB,1962-07-26,1991-12-26,client_military,"первое судно операции «Анадырь» - теплоход «Мария Ульянова» - вошло в Кабаньяс 26.07.1962; 27-31.07 пришли ещё девять судов с личным составом и техникой мотострелковых полков, 29.07 на теплоходе «Латвия» прибыл штаб Группы войск. После кризиса на острове остаётся мотострелковая бригада, с 1964 года работает центр радиоэлектронной разведки в Лурдесе","распад СССР 26.12.1991, конец субсидий","Lourdes SIGINT station, en.wikipedia.org/wiki/Lourdes_SIGINT_station; Deseret News, 04.07.1993 (вывод бригады); Розин А. «Советские суда в операции „Анадырь“», alerozin.narod.ru/Cuba62/Cuba1962-4.htm",medium,"Бригада выведена 04.07.1993, Лурдес закрыт в августе 2002 — это уже за пределами окна, вопрос «Куба после 1991» вынесен в data/sphere/disputed.csv. Окно слито 28.08.2026: прежняя отдельная строка 08.05.1960-28.10.1962 держалась на поставках оружия, а не на присутствии. Начало сдвинуто на приход первого судна «Анадыря»."
North Yemen,Северный Йемен (ЙАР),YEM,1962-10-01,1968-02-07,client_military,"СССР первым из неарабских государств признаёт ЙАР; советские лётчики выполняют боевые вылеты в 1963 году, когда египтяне ещё не были боеспособны; воздушный мост с 17.11.1967 — около 100 рейсов, разведка США фиксирует прямое участие советских лётчиков в боях",снятие осады Саны; боевые вылеты прекращены в начале декабря 1967,"FRUS 1964–68, т. XXI, док. 464, 468, 469, 470",high,Дня октября 1962 нет — взят первый день месяца.
Czechoslovakia,Чехословакия,CSK,1968-08-21,1968-10-15,intervention,"вторжение войск ОВД 21.08.1968, около 250 тысяч военных; Румыния и Албания участвовать отказались",договор о временном пребывании советских войск подписан 16.10.1968,Текст договора 16.10.1968: web.stanford.edu/group/tomzgroup/pmwiki/uploads/0346-1968-11-KS-a-EYJ.pdf,high,
Czechoslovakia,Чехословакия,CSK,1968-10-16,1989-12-09,bloc,"договор о временном пребывании советских войск 16.10.1968, Центральная группа войск на территории",правительство национального согласия 10.12.1989 — конец монополии КПЧ,"Текст договора 16.10.1968 (Stanford, Tomz collection)",high,
Equatorial Guinea,Экваториальная Гвинея,GNQ,1968-12-07,1979-08-03,client_military,"дипотношения 07.12.1968, посольство СССР в Малабо с 1969; за 1968–1979 поставлены стрелковое оружие, восемь патрульных катеров и 20 БТР, около 200 военнослужащих обучены в СССР, советников соцлагеря до 330 к 1977 году; по рыболовному соглашению 1973 года Москва получила монополию лова и разрешение развернуть в порту Луба плавучий сухой док как ремонтную базу западноафриканского флота","переворот Обианга 03.08.1979, свергнувший режим Масиаса Нгемы","CIA, «Equatorial Guinea: Prospects for Soviet and Western Interests», 22.02.1985, CIA-RDP85T01058R000100110001-3; CIA, «Soviet Military Policy in the Third World», 21.10.1976",high,"Военно-морского доступа Москва просила и не получила (ЦРУ, 1976). Окно атласа (поз. 42) 1968–1979 совпадает."
South Yemen,Южный Йемен (НДРЙ),YMD,1969-06-22,1979-10-24,client_military,"«поправительное движение» 22.06.1969 развернуло НДРЙ к Москве; советские самолёты и корабли в Адене, объекты на Сокотре",договор о дружбе и сотрудничестве 25.10.1979,"South Yemen–Soviet Union relations, en.wikipedia.org/wiki/South_Yemen–Soviet_Union_relations; Fred Halliday, Revolution and Foreign Policy: The Case of South Yemen",medium,"Контур — CShapes, gwcode 680 (30.11.1967–21.05.1990): собственное государство со своими границами, а не часть объединённого Йемена."
Somalia,Сомали,SOM,1969-10-21,1974-07-10,client_military,"переворот Сиада Барре 21.10.1969 и курс на «научный социализм»; с 1972 года советские военные в Бербере, порт и аэродром модернизируются",договор о дружбе и сотрудничестве 11.07.1974,globalsecurity.org/military/world/somalia/berbera.htm,medium,"Точный день соглашения по Бербере не найден, известен только 1972 год и визит министра обороны Гречко."
Egypt,Египет,EGY,1970-03-01,1972-07-18,client_military,операция «Кавказ»: советские зенитчики и лётчики воюют в Египте после визита Насера в Москву 24–25.01.1970,Садат объявил о высылке советских военных советников 18.07.1972,"FRUS 1969–1976, vol. XIII, doc. 241 (history.state.gov/historicaldocuments/frus1969-76v13/d241)",high,Часть технического состава осталась — «полная высылка» историками (Karsh) считается преувеличением.
Syria,Сирия,SYR,1971-01-01,1980-10-07,client_military,"соглашение о пункте материально-технического обеспечения в Тартусе, 1971 год; советники с 1956 года, после войны 1967 года их больше двух тысяч",договор о дружбе и сотрудничестве 08.10.1980,"Тартус — en.wikipedia.org/wiki/Tartus_naval_base; советники — Wilson Center, Syria’s 1956 Request for Soviet Military Intervention",medium,"Точный день соглашения по Тартусу не найден, поэтому окно открывается первым днём 1971 года."
Guinea,Гвинея,GIN,1973-06-01,1977-12-31,client_military,"аэродром Конакри — база разведывательных Ту-95РЦ, регулярные развёртывания с лета 1973 года",Секу Туре ограничил полёты и доступ к военно-морским объектам в 1977 году после спора о цене на бокситы,"globalsecurity.org/wmd/world/russia/tu-95-west.htm; Christian Science Monitor, 27.05.1981",medium,"Точных дней начала и конца нет, взяты границы известных периодов."
Vietnam,Вьетнам,VNM,1979-05-02,2002-05-02,client_military,соглашение об использовании Камрани 02.05.1979 на 25 лет — крупнейшая зарубежная база советского флота,"Россия ушла из Камрани 02.05.2002, за два года до истечения аренды","irp.fas.org/imint/vn_crb1.htm; globalsecurity.org, mil-020327-3d99487d",high,"Единственный эпизод, который переживает СССР и тянется до 2002 года."
Afghanistan,Афганистан,AFG,1979-12-25,1989-02-15,intervention,"ввод войск 25.12.1979, штурм дворца Амина 27.12.1979",вывод завершён 15.02.1989,"Washington Post, «Soviets Complete Pullout From War in Afghanistan», 16.02.1989",high,
Seychelles,Сейшельские острова,SYC,1981-11-28,1982-01-31,client_military,после провала налёта наёмников 25-26.11.1981 советские боевые корабли встали в Виктории 28.11.1981 как гарантия режима Рене,корабли ушли в январе 1982 года,"Library of Congress country study, «Seychelles: Foreign Military Assistance», country-data.com/cgi-bin/query/r-11752.html; А. Розин, «Советский ВМФ на Сейшельских островах», alerozin.narod.ru/Seisel.htm",high,"Базы и соглашения о доступе не было: Рене разрешал заходы по квоте шесть в год каждой сверхдержаве при условии безъядерного статуса, но формального соглашения не подписал. Охрану режима физически несли танзанийцы, не советские военные. Американская станция слежения за спутниками на Маэ при этом продолжала работать. Дня в декабре 1990 года нет — взят последний день года. Контур — современный, CShapes Сейшел не знает. Окно обрезано 28.08.2026 с 05.06.1977-31.12.1990 до двух месяцев реальной стоянки кораблей: соглашения о рыболовстве и судоходстве и поставки стрелкового оружия присутствием империи на земле не являются."
Poland,Польша,POL,1989-09-12,1993-09-18,client_military,"ОВД ещё существует (распущена 01.07.1991), Северная группа войск остаётся на территории","вывод завершён: церемония 17.09.1993, последние части ушли 18.09.1993","Washington Post «Last Russian Troops Leave Poland», 19.09.1993",medium,Дата 17.09.1993 выбрана символически — 54-я годовщина вторжения 1939 года; фактически последние эшелоны 18.09.
Hungary,Венгрия,HUN,1989-10-23,1991-06-19,client_military,соглашение о полном выводе советских войск подписано 10.03.1990,вывод завершён 19.06.1991 — последним границу пересёк генерал Силов,"pestbuda.hu, обзор к тридцатилетию вывода (09.07.2021)",high,
Czechoslovakia,Чехословакия,CSK,1989-12-10,1991-06-21,client_military,Центральная группа войск ещё на территории,"последний эшелон пересёк границу 21.06.1991, группа расформирована 19.06.1991","Radio Prague, english.radio.cz/departure-soviet-troops-officially-marked-first-time-8754176",high,
Germany,Германия (ЗГВ на востоке),DDR,1990-10-03,1994-08-31,client_military,"ОВД распущена, ГДР исчезла, но Западная группа войск остаётся на территории объединённой Германии по договору 12.10.1990","вывод завершён 31.08.1994, церемония в Трептов-парке","Group of Soviet Forces in Germany, en.wikipedia.org/wiki/Group_of_Soviet_Forces_in_Germany",medium,"ПЕРЕНЕСЕНО В ПОКАЗ 28.08.2026 (решение куратора). Прежний вопрос куратору: присутствие войск есть, зависимости уже нет — красить ли объединённую Германию сферой влияния четыре года. То же по Польше (до 18.09.1993), Венгрии и Чехословакии (до июня 1991) — там мы такие хвосты В ТАБЛИЦУ ЗАВЕЛИ, потому что ОВД ещё существовала часть времени; тут не завели."
Cuba,Куба,CUB,1991-12-27,2002-08-31,client_military,"СССР распался, но советская мотострелковая бригада и центр радиоэлектронной разведки в Лурдесе остаются на острове","бригада выведена 04.07.1993, Лурдес закрыт в августе 2002 (решение объявлено Путиным 17.10.2001)","Deseret News, 04.07.1993; Lourdes SIGINT station, en.wikipedia.org",high,ПЕРЕНЕСЕНО В ПОКАЗ 28.08.2026 (решение куратора). Прежний вопрос куратору: «Куба после 1991» — продолжение сюжета в наши дни. Окно до 1991 года в основной таблице.
Syria,Сирия,SYR,2015-09-30,2024-12-08,intervention,"российская военная операция начата 30.09.2015; соглашение о Хмеймиме 26.08.2015 (бессрочное), протокол по Тартусу 18.01.2017 на 49 лет",падение режима Асада 08.12.2024,"Соглашение о Хмеймиме 26.08.2015; соглашение по Тартусу 18.01.2017 (english.aawsat.com, Russia to lease Syria’s Tartus port for 49 years)",high,Соглашение о Хмеймиме от 26.08.2015 бессрочное и безвозмездное; протокол по Тартусу от 18.01.2017 — на 49 лет с автопродлением по 25.
Central African Republic,Центральноафриканская Республика,CAF,2018-01-01,,client_military,российские инструкторы по запросу президента Туадеры с января 2018 года; уведомление комитета Совета Безопасности ООН по санкциям,,"Группа экспертов ООН по ЦАР (письмо 25.06.2021: 5 военных и 170 гражданских инструкторов); HRW, 03.05.2022",medium,Точного дня прибытия инструкторов нет — взят первый день января 2018. С 2025 года Москва переводит присутствие с Вагнера на «Африканский корпус».
Libya,Ливия,LBY,2018-10-01,,client_military,"«Вагнер» появляется в Ливии в октябре 2018 — сперва ремонт и обслуживание бронетехники, с начала 2019 боевое обеспечение: артиллерийские наблюдатели, авианаводчики, РЭБ, снайперские группы; на 01.07.2020 базирование в Джуфре, Брак-эш-Шати, Кардабии, Себхе, Ваддане и на объекте Шарара, численность около 2000; 18.05.2020 РФ передала более 9 МиГ-29А и более 4 Су-24",,Группа экспертов ООН по Ливии: S/2021/229 (08.03.2021) п. 93–97 и прил. 77; S/2023/673 п. 99; S/2024/914 п. 36–37 и прил. 36; S/2026/224 п. 40 и прил. 20,high,"Окно живое, правая дата скользящая по последнему пруфу. После падения Асада в декабре 2024 Ливия стала узлом российской военной логистики в Африку: борты Латакия — Аль-Хадим с декабря 2024 по ноябрь 2025, авиабаза Маатан-ас-Сарра расширена. В отчётах ООН «Африканский корпус» не называется — только формула «ранее известная как ЧВК „Вагнер“»."
Mozambique,Мозамбик,MOZ,2019-09-01,2019-11-30,client_military,"«Вагнер» развёрнут в провинции Кабо-Делгаду в сентябре 2019 года против мятежа «Ансар ас-Сунна»: около 200 человек, вертолёты Ми-24 и Ми-17, беспилотники","после потерь - семь убитых в октябре, к ноябрю одиннадцать убитых и 25 раненых - силы «Вагнера» покинули Кабо-Делгаду в ноябре 2019 года","The Moscow Times, «7 Kremlin-Linked Mercenaries Killed in Mozambique in October» (31.10.2019); Daily Maverick, «Wagner private military force licks wounds in northern Mozambique» (29.11.2019); атрибуция «Вагнера» государству - заявление Путина 27.06.2023 (kremlin.ru/events/president/news/71535): «Содержание полностью взяло на себя государство»",medium,"Заведено 28.08.2026 (решение куратора). День начала условный: источники дают конец сентября без точной даты, взят первый день месяца. Окно короткое и на карте мигнёт - это соответствует делу: развёртывание провалилось за два месяца. Контур - вся страна по CShapes, хотя присутствие было только в Кабо-Делгаду; провинциальной геометрии в наших источниках нет, ограничение то же, что у остальных строк слоя."
Mali,Мали,MLI,2021-12-23,,client_military,Вагнер развёрнут в Мали в конце декабря 2021 — совместное заявление пятнадцати западных государств 23.12.2021 подтвердило развёртывание,,"CSIS, Tracking the Arrival of Russia’s Wagner Group in Mali; France24, 08.06.2025",medium,"Вагнер объявил об уходе в июне 2025, его сменил «Африканский корпус». Точного дня развёртывания нет — взят день совместного заявления пятнадцати западных государств."
Burkina Faso,Буркина-Фасо,BFA,2023-12-01,,client_military,около сотни инструкторов «Африканского корпуса» прибыли в конце 2023 года после переворота 30.09.2022,,"ADF Magazine, Burkina Faso Opens Door for Russia’s Africa Corps (02.2024)",medium,"ПЕРЕНЕСЕНО В ПОКАЗ 28.08.2026 (решение куратора). Прежний вопрос куратору: «африканские операции РФ сегодня». В показ слоя не заведено — Мали и ЦАР там были и раньше, Буркина-Фасо новая. Точного дня нет, взят первый день декабря 2023."
Niger,Нигер,NER,2024-04-10,,client_military,"российские инструкторы и система ПВО прибыли 10–11.04.2024 после переворота 26.07.2023; французы ушли 22.12.2023, американцы освободили Агадес к 15.09.2024",,"Bloomberg, 11.04.2024; AFRICOM, US Withdrawal from Niger Completed (15.09.2024)",high,ПЕРЕНЕСЕНО В ПОКАЗ 28.08.2026 (решение куратора). Прежний вопрос куратору: «африканские операции РФ сегодня».
Syria,Сирия,SYR,2024-12-09,,client_military,"режим Асада пал, но Хмеймим и Тартус остаются за Россией; переговоры о статусе идут с 2025 года",,"Al Jazeera, 09.08.2026: Сирия объявила о соглашении с Москвой — обе базы становятся совместными учебными центрами, переход до трёх месяцев",medium,"По соглашению, объявленному Дамаском 09.08.2026, обе базы становятся совместными учебными центрами, гражданская инфраструктура возвращается Сирии. Окно оставлено открытым: переформатирование не завершено."
