slug,name_ru,lon,lat,founded,gone,radius_km,source,note,kind,land
esei,Есейское зимовье,102.189,68.465,1628-01-01,1683-01-01,15,"Б. О. Долгих, «Родовой и племенной состав народов Сибири в XVII в.» (через ВИКИПЕДИЮ, «Ессей»)","поставлено мангазейскими казаками на берегу озера Ессей; в 1683 году разгромлено восставшими вадеевскими самоедами и илимпийскими тунгусами, после чего эпидемия оспы и уход населения. Месяц условный",ostrog,
zhigansk,Жиганск,123.368,66.782,1632-08-01,,15,"ВИКИПЕДИЯ, «Жиганск»; Г. А. Попов, «История освоения северных районов Якутии», т. VII","ясачное зимовье на Лене, поставлено летом 1632 года (у Попова - 1 августа); город с 1783 года",ostrog,
vilyuysk,Вилюйское зимовье (Вилюйск),121.617,63.750,1634-04-01,,15,"ВИКИПЕДИЯ, «Вилюйск»",поставлено весной 1634 года Посником Ивановым по приказу якутского воеводы Ивана Галкина; той же зимой выдержало осаду тунгусов. Месяц условный,ostrog,
olekminsk,Олёкминский острог,120.433,60.383,1635-07-17,,15,"ВИКИПЕДИЯ, «Олёкминск»",поставлен 17 (27) июля 1635 года сыном боярским Петром Бекетовым в 14 верстах от прежнего зимовья на Лене; позже перенесён на 12 км выше по реке,ostrog,
verkhoyansk,Верхоянское зимовье,133.383,67.550,1638-01-01,,15,"ВИКИПЕДИЯ, «Верхоянск»; хроника присоединения Северо-Востока Сибири (zaimka.ru)","поставлено Посником Ивановым; часть исследователей называет 1639 год. В 1775 перенесено на левый берег Яны, город с 1817 года. Месяц условный",ostrog,
zashiversk,Зашиверск,142.604,67.450,1639-10-11,1804-01-01,15,"ВИКИПЕДИЯ, «Зашиверск»; goarctic.ru, «Заполярный Зашиверск: судьба русского форпоста»","ДАТА СПОРНА: традиционная - 11 октября 1639 (Посник Иванов, по отпискам; Окладников, Огородников, Бахрушин), вторая версия - около 1653 года, потому что в ясачных книгах 1652 года зимовья нет, а в 1655-м уже есть (Иван Ильин у Долгих, В. Бурлак у Белова). Острожная стена с 1676 года. Статус города потерян в 1803-1804, управление ушло в Верхоянск; после эпидемии оспы место опустело к 1880-м",ostrog,
srednekolymsk,Среднеколымск,153.706,67.458,1644-01-01,,15,"ВИКИПЕДИЯ, «Среднеколымск»","поставлено Михаилом Стадухиным и Дмитрием Зыряном; источники дают 1643 или 1644 год, взят консенсусный 1644. Месяц условный",ostrog,
nizhnekolymsk,Нижнеколымск,160.921,68.531,1644-01-01,,15,"ВИКИПЕДИЯ, «Нижнеколымск»","поставлено Стадухиным и Зыряном, у разных авторов 1643-1647; укреплено косым острожком в 1655 году. В 1750-1760-х поселение перенесено на 21 км южнее из-за наводнений. Месяц условный",ostrog,
dudinka,Дудинское зимовье (Дудинка),86.183,69.400,1667-01-01,,15,"ВИКИПЕДИЯ, «Дудинка»; goarctic.ru, «Незавершённые истории Таймыра»","ясачное зимовье стрелецкого пятидесятника Ивана Сорокина, дата стоит на его донесении мангазейскому воеводе (январь 1667). Есть гипотеза В. А. Троицкого о хозяйственных постройках промышленников здесь ещё в 1610-1611 годах, но ясачного зимовья тогда не было",ostrog,
sunzha-1567,Первая база в устье Сунжи,45.750,43.660,1567-01-01,1571-01-01,15,"Е. Н. Кушева, «Народы Северного Кавказа и их связи с Россией (вторая половина XVI - 30-е годы XVII вв.)», 1963; В. А. Потто, «Кавказская война», т. 1 - через кампанию C1109 базы decolonial.ist",«город 1567 г. был около 1571 г. снесен» (Кушева); Потто: база «вскоре была уничтожена в угоду турецкому султану». Координаты устья Сунжи приблизительные,ostrog,
sunzha-1577,Возобновлённый город на устье Сунжи,45.750,43.660,1577-01-01,1653-01-01,15,"Е. Н. Кушева, там же - через кампанию C1109",«в 1577-1578 гг. русский город был возобновлен на реке на Терке на устье Сунчи»; циклическая перестройка и ликвидация укреплений тянулась до 1653 года. Координаты приблизительные,ostrog,
tersky-1588,Терский город,47.200,43.720,1588-01-01,,15,"Е. Н. Кушева, там же; А. С. Куликов и В. А. Рунов - через кампанию C1110 базы decolonial.ist","«ставили ее в 1588-1589 гг… Михайло Бурцев и Келарь Протасьев», гарнизон - стрельцы «с огненным боем»; к началу XVII века 40 крупных орудий. Координаты устья Терека приблизительные",ostrog,
sv-kresta-1722,Крепость Святого Креста на Сулаке,46.800,43.300,1722-09-01,1735-01-01,15,"Я. З. Ахмадов, «Чечено-русские отношения в XVIII веке», т. I, 2019 - через кампанию C1130 базы decolonial.ist","Пётр I «заложил на Сулаке крепость Святой Крест», при ней расселили тысячу семей казаков с Дона; оставлена по Гянджинскому договору 1735 года. Координаты приблизительные",krepost,кумыки Тарковского шамхальства
kizlyar-1735,Кизляр,46.717,43.851,1735-01-01,,15,"Я. З. Ахмадов, там же - через кампании C1133 и C1134 базы decolonial.ist","крепость на Тереке, куда перенесли гарнизон Святого Креста; «в 1735 г. в Кизляре уже содержалось два аманата из Чеченского владения» - то есть система заложников работала отсюда",krepost,кумыки и ногайцы
groznaya-1818,Крепость Грозная,45.698,43.317,1818-06-22,,15,"Д. А. Хожаев, «Чеченцы в Русско-Кавказской войне», 1998; «Записки» Ермолова - через кампанию C1021 базы decolonial.ist","перенос линии с Терека на Сунжу «сжимал непокорную Чечню новыми крепостями и укреплениями»; крепость строилась «на чеченской земле», где «восемь цветущих чеченских селений… были уничтожены, а население согнано с земель»",krepost,чеченцы
vnezapnaya-1819,Крепость Внезапная,46.580,43.220,1819-07-18,,15,"В. А. Потто, «Кавказская война», т. 2, 2007; Д. А. Хожаев, 1998 - через кампанию C1143 базы decolonial.ist","заложена 18 июля 1819 года; по Потто, «разделила чеченцев от кумыков» и «преграждала путь через Салатавские горы». Ермолов «решил очистить всю кумыкскую плоскость». Координаты у Эндирея приблизительные",krepost,кумыки Эндирея
yamyshevskaya,Ямышевская крепость,77.373,51.89,1719-01-18,,15,"ПСЗРИ I, т. V, № 5284",дата «не позднее»: указ 18.01.1719 застаёт крепость стоящей; координаты — село Ямышево,krepost,джунгары и казахи
semipalatnaya,Семипалатная крепость,80.275,50.435,1719-01-18,,15,"ПСЗРИ I, т. V, № 5284","дата «не позднее»; первая крепость стояла ниже по Иртышу, координаты — нынешний Семей",krepost,джунгары и казахи
orsk,Орск (первый Оренбург),58.627,51.21,1734-05-01,,15,"ПСЗРИ I, т. IX, № 6571",город при устье Ори; в 1742 имя Оренбург ушло к третьему месту,krepost,башкиры-вотчинники и казахи Младшего жуза
orenburg,Оренбург,55.11,51.78,1742-10-15,,15,"ПСЗРИ I, т. XI, № 8630","третье место города, при Бердской крепости",krepost,башкиры-вотчинники и казахи Младшего жуза
tabynsk,Табынск,56.389,53.988,1741-03-05,,15,"ПСЗРИ I, т. XI, № 8346",дата «не позднее»; в указе — «построенъ внутри самаго Башкирскаго жилища»,krepost,башкиры — в указе 1741 года прямо: «внутри самаго Башкирскаго жилища»
troitsk,Троицк,61.57,54.106,1751-03-27,,15,"ПСЗРИ I, т. XIII, № 9442",дата «не позднее»; в указе — крепость «на Уйской линии»,krepost,башкиры и казахи
omsk,Омская крепость,73.398,54.992,1716-01-01,,15,"ВИКИПЕДИЯ, «Омская крепость»","дата традиционная, акта нет; поставлена отрядом Бухгольца по указу 22.05.1714",krepost,барабинские татары и казахи
ust-kamenogorsk,Усть-Каменогорская крепость,82.615,49.99,1720-01-01,,15,"ВИКИПЕДИЯ, «Усть-Каменогорск»",дата традиционная; следствие указа Лихареву 18.01.1719 о крепости у Зайсана,krepost,джунгары и казахи
nevyansk,Невьянский завод,60.215,57.49,1702-09-11,,12,"Памятники Сибирской истории XVIII в., кн. 1, № 44",пуск демидовской домны по отписке Акинфия Демидова 08.09.1702,zavod,вогулы (манси) и остяки (ханты) Верхотурского уезда
alapaevsk,Алапаевский завод,61.692,57.847,1703-05-29,,12,"Памятники Сибирской истории XVIII в., кн. 1, № 55",дата «не позднее»; приписана Мурзинская слобода «со всѣми крестьяны и съ землями»,zavod,вогулы (манси) Верхотурского уезда
ekaterinburg,Екатеринбургские заводы,60.598,56.852,1723-05-28,,12,"ПСЗРИ I, т. VII, № 4237",в указе — приписка пяти слобод и постройка крепости с гарнизоном,zavod,вогулы (манси) и остяки (ханты) Верхотурского уезда
pyskor,Медные заводы на Камгорке,56.586,59.481,1723-05-28,,12,"ПСЗРИ I, т. VII, № 4237","«въ Усольскомъ уѣздѣ, близь Спасскаго монастыря, на речке Камгорке»",zavod,коми-пермяки Перми Великой
kolyvano-voskresensk,Колывано-Воскресенский завод,82.57,51.315,1747-05-12,,12,"ПСЗРИ I, т. XII, № 9403",дата «не позднее»: указ забирает завод у наследников Демидова «на Насъ»,zavod,"телеуты, шорцы и кумандинцы"
barnaul,Барнаульский завод,83.745,53.355,1747-05-12,,12,"ПСЗРИ I, т. XII, № 9403",дата «не позднее»; взят вместе с Колывано-Воскресенским,zavod,телеуты Кузнецкого уезда
nerchinsk-zavod,Нерчинские серебряные заводы,119.616,51.309,1756-04-05,,12,"ПСЗРИ I, т. XIV, № 10534",дата «не позднее»: указ о переселении к заводам 2868 душ,zavod,эвенки Аргунского присуда и хоринские буряты
duyskie-kopi,Дуйские копи,142.111,50.826,1869-04-18,,10,"ПСЗ, собрание второе, т. XLIV, отд. 1",акт 18.04.1869: на Сахалин выслать 800 каторжных «въ соотвѣтствующiя назначенiю ихъ работы»,zavod,айны и нивхи
kamensk,Каменский завод,61.935,56.421,1701-10-15,,12,"ВИКИПЕДИЯ, «Каменск-Уральский»",дата традиционная; в документах Сибирского приказа завод действует с 1702,zavod,вогулы (манси) Верхотурского уезда
uktus,Уктусский завод,60.488,56.676,1704-01-01,,12,"ВИКИПЕДИЯ, «Уктусский завод»",дата традиционная; в отписке 1709 года завод уже разоряют башкиры,zavod,вогулы (манси) Верхотурского уезда
egoshikha,Егошихинский завод,56.284,57.981,1723-01-01,,12,"ВИКИПЕДИЯ, «Егошихинский завод»",дата традиционная; косвенно за указом 28.05.1723 о медных заводах,zavod,коми-пермяки Перми Великой
nizhny-tagil,Нижнетагильский завод,59.975,57.92,1725-01-01,,12,"ВИКИПЕДИЯ, «Нижнетагильский завод»","дата традиционная, акта нет",zavod,вогулы (манси) и остяки (ханты) Верхотурского уезда
zlatoust,Златоустовский завод,59.65,55.175,1754-01-01,,12,"ВИКИПЕДИЯ, «Златоуст»","дата традиционная; разрешение Берг-коллегии, в свод законов не входило",zavod,башкиры-вотчинники
kyshtym,Кыштымские заводы,60.56,55.7,1757-01-01,,12,"ВИКИПЕДИЯ, «Кыштым»",дата традиционная,zavod,башкиры-вотчинники
votkinsk,Воткинский завод,53.99,57.03,1759-01-01,,12,"ВИКИПЕДИЯ, «Воткинск»",дата традиционная,zavod,удмурты
izhevsk,Ижевский завод,53.23,56.85,1760-01-01,,12,"ВИКИПЕДИЯ, «Ижевск»",дата традиционная,zavod,удмурты
miass,Миасский завод,60.095,54.995,1777-01-01,,12,"ВИКИПЕДИЯ, «Миасс»",дата традиционная,zavod,башкиры-вотчинники
mozdok,Моздокская крепость,44.6536,43.7356,1763-01-01,,15,"ВИКИПЕДИЯ, «Моздок»",начало Азово-Моздокской линии,krepost,кабардинцы
kr-sv-ekateriny,Крепость святой Екатерины,44.2317,43.7635,1777-09-11,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»","крепость № 1 линии, у слияния Малки и Терека; с её закладки 11.09.1777 началось строительство всей линии; с 1786 город Екатериноград",krepost,кабардинцы
kr-sv-pavla,Крепость святого Павла,43.6311,43.9619,1777-09-18,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»",крепость № 2; прикрывала дорогу из Кабарды к солёным озёрам,krepost,кабардинцы
kr-sv-marii,Крепость святой Марии,43.482,43.8755,1777-01-01,1829-01-01,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»","крепость № 3 на Золке; источники дают только год закладки — 1777, дня нет; в 1829 станицу перенесли на левый берег Малки",krepost,кабардинцы
kr-sv-georgiya,Крепость святого Георгия,43.4742,44.1479,1778-01-01,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»","крепость № 4 на Подкумке; приказ о наименовании 20.05.1777, сооружение закончено в 1778 — дата по окончании постройки",krepost,кабардинцы
kr-sv-aleksandra,Крепость святого Александра,43.0005,44.7125,1777-01-01,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»","крепость № 5 на Томузловке, первоначально Святого Андрея; заложена осенью 1777, точного дня источники не дают",krepost,ногайцы и туркмены-трухмены
kr-severnaya,Крепость Северная,42.8597,44.8321,1777-10-18,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»","крепость № 6 (первоначально Святого Александра); основана 18.10.1777, достроена в 1778",krepost,ногайцы
kr-stavropolskaya,Ставропольская крепость,41.9691,45.0433,1777-10-22,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»",крепость № 7; место указано Суворовым при осмотре линии,krepost,ногайцы
kr-moskovskaya,Московская крепость,41.9161,45.2863,1780-01-01,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»","крепость № 8; Московскую и Донскую начали сооружать на три года позже первых, в 1780",krepost,ногайцы
kr-donskaya,Донская крепость,41.9756,45.4548,1780-01-01,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»","крепость № 9 в левобережье Ташлы; начата в 1780, одна из самых поздних на линии",krepost,ногайцы
kr-sergievskaya,Сергиевская крепость,42.6977,44.9506,1777-01-01,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»","крепость на Калаусе, одна из десяти нумерованных крепостей линии; ДНЯ И МЕСЯЦА ИСТОЧНИКИ НЕ ДАЮТ, стоит 1 января 1777 года",krepost,ногайцы
kr-konstantinogorskaya,Константиногорская крепость,43.0707,44.0398,1780-01-01,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»",крепость № 10; от неё считают начало Пятигорска,krepost,кабардинцы
kr-kislovodskaya,Кисловодская крепость,42.7157,43.9055,1803-01-01,,15,"ВИКИПЕДИЯ, «Азово-Моздокская укреплённая линия»",достройка линии в начале XIX века,krepost,кабардинцы (абазины Кисловодской котловины)
vladikavkaz,Владикавказ,44.6821,43.0246,1784-01-01,,15,"ВИКИПЕДИЯ, «Владикавказ»",опорная точка Военно-Грузинской дороги,krepost,осетины и ингуши
nazran-redut,Назрановский редут,44.754,43.2319,1810-01-01,,12,"ВИКИПЕДИЯ, «Сунженская линия»",существовал до постройки Сунженской линии,krepost,ингуши
kr-burnaya,Крепость Бурная,47.5049,42.983,1821-01-01,,12,"ВИКИПЕДИЯ, «Сунженская линия»",поставлена у Тарки; координаты — нынешняя Махачкала,krepost,кумыки Тарковского шамхальства
ekaterinodar,Екатеринодар,38.9772,45.0352,1793-01-01,,15,"ВИКИПЕДИЯ, «Краснодар»","войсковой город Черноморского казачьего войска, начало Черноморской кордонной линии",krepost,черкесы (адыги) и ногайцы
ust-labinskaya,Усть-Лабинская крепость,39.6901,45.2095,1778-01-01,,15,"ВИКИПЕДИЯ, «Александровская (Усть-Лабинская) крепость»","ВОЗРАСТ ИСПРАВЛЕН 01.09.2026: раньше стояла дата 1794 — это год казачьей станицы, а не крепости. Крепость основана в 1778 году по приказу Суворова, расширена Гудовичем в 1792-1793",krepost,черкесы (адыги)
kr-kavkazskaya,"Кавказская крепость (Темижбек, Павловская)",40.6698,45.4393,1778-01-01,,15,"ВИКИПЕДИЯ, «Кавказская»","ВОЗРАСТ ИСПРАВЛЕН 01.09.2026: 1794 — год станицы. Крепость заложена Суворовым в 1778-м как Темижбек, через месяц переименована в Павловскую; имя Кавказская получила в 1793-м, когда её перестроил Гудович",krepost,черкесы (адыги) и ногайцы
grigoripolisskaya,Григориполисская крепость,41.0547,45.3019,1794-01-01,,15,"ВИКИПЕДИЯ, «Григорополисская»","Кубанская линия. 1794 — год казачьей станицы при укреплении; само укрепление к тому времени уже стояло, но года его постройки источник не даёт",krepost,ногайцы
prochny-okop,Прочный Окоп,41.1294,44.9994,1789-01-01,,15,"ВИКИПЕДИЯ, «Прочноокопская»","ВОЗРАСТ ИСПРАВЛЕН 01.09.2026: 1794 — год станицы. Крепость «сооружена в конце 1780-х по плану генерала Германа фон Ферзена»; ТОЧНОГО ГОДА ИСТОЧНИК НЕ ДАЁТ, на карте стоит 1789-й как середина названного десятилетия — при появлении точной даты поправить",krepost,черкесы (адыги)
labinskaya,Лабинская крепость,40.7242,44.6348,1841-01-01,,15,"ВИКИПЕДИЯ, «Лабинск»",Лабинская линия,krepost,абадзехи
anapa-1828,Анапская крепость,37.3169,44.8943,1828-06-12,,12,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,натухайцы
novorossiysk-1838,Новороссийское укрепление,37.7691,44.724,1838-09-12,1854-03-01,10,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия; гарнизоны сняты в 1854,krepost,натухайцы
kabardinskoe,Кабардинское укрепление,37.9395,44.6516,1836-01-01,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",оно же Александрийское; перестроено в 1841,krepost,натухайцы
gelendzhikskoe,Геленджикское укрепление,38.0767,44.5609,1831-07-27,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,натухайцы
novotroitskoe,Новотроицкое укрепление,38.3397,44.3905,1837-01-01,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,шапсуги
mihaylovskoe,Михайловское укрепление,38.5336,44.3703,1837-01-01,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»","взято горцами в 1840, восстановлено",krepost,шапсуги
tenginskoe,Тенгинское укрепление,38.7499,44.3041,1838-07-10,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,шапсуги
novomihaylovskoe,Новомихайловское укрепление,38.8448,44.2534,1838-01-01,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,шапсуги
velyaminovskiy,Вельяминовский форт,39.0719,44.0985,1838-05-12,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,шапсуги
lazarevskiy,Лазаревский форт,39.3318,43.9103,1839-07-07,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,шапсуги
golovinskiy,Головинский форт,39.471,43.7985,1839-05-03,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,убыхи
navaginskiy,Навагинский форт,39.7231,43.5855,1838-04-13,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",он же форт Александрия; эвакуирован в 1854,krepost,убыхи
sv-duha,Укрепление Святого Духа,39.9237,43.4254,1837-06-18,1854-03-01,8,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,садзы (джигеты)
gagra-1830,Гагрская крепость,40.2582,43.2965,1830-01-01,,10,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,абхазы
suhum-1830,Сухумская крепость,41.0197,43.0031,1830-01-01,,10,"ВИКИПЕДИЯ, «Черноморская береговая линия»",Черноморская береговая линия,krepost,абхазы
temir-khan-shura,Темир-Хан-Шура,47.122,42.8261,1834-01-01,,15,"ВИКИПЕДИЯ, «Буйнакск»; АКАК т. 9","главная база Дагестанского отряда; год укрепления по литературе, в АКАК т. 9 фигурирует как действующая база в 1840-х — «движенiя отъ Темир-хан-шуры по разнымъ направленiямъ»",krepost,кумыки и аварцы
khunzakh,Хунзах,46.7071,42.5452,1837-05-27,,12,АКАК т. 8,"занят по документу: «ген. Фезе 27-го мая 1837 года, съ отрядомъ изъ 8-ми баталiоновъ, 300 козаковъ, при 18-ти орудiяхъ и 4-хъ мортирахъ, занялъ Хунзахъ»",krepost,"аварцы, столица Аварского ханства"
akhty,Ахтынское укрепление,47.742,41.4615,1839-01-01,,12,АКАК т. 9,"по плану из АКАК: «Проложивъ себѣ путь вверхъ по Самуру къ сел. Ахты, главному мѣсту всѣхъ четырехъ нагорныхъ обществъ, построятъ тамъ укрѣпленiе на двѣ роты»; ДЕНЬ И МЕСЯЦ НЕ УСТАНОВЛЕНЫ",krepost,"лезгины: Рутул, Ахты, Алты-пара, Докуз-пара"
gunib,Гуниб,46.9647,42.387,1859-08-25,,12,АКАК т. 12,"аул, где 25.08.1859 сдался имам Шамиль; крепость поставлена сразу после",krepost,"аварцы, последняя ставка имамата"
zakataly,Закатальская крепость,46.6435,41.6307,1830-01-01,,15,АКАК т. 7,поставлена после покорения Джаро-Белоканских обществ в 1830 году; ДЕНЬ НЕ УСТАНОВЛЕН,krepost,"джаро-белоканские общества, аварцы и цахуры"
post-aleksandrovsky,Александровский пост,142.1592,50.8975,1881-01-01,,12,"Чехов А. П. Остров Сахалин, глава IV","«Александровский пост основан в 1881 г.» — управление каторгой перенесено сюда из Дуэ, где «было тесно и мрачно»; ДЕНЬ И МЕСЯЦ ИСТОЧНИК НЕ ДАЁТ",katorga,айны и нивхи
post-korsakovsky,Корсаковский пост,142.781,46.6328,1869-01-01,,12,"Чехов А. П. Остров Сахалин, глава XII","«Годом основания Корсаковского считается 1869 год, но это справедливо лишь по отношению к нему как к пункту ссыльной колонии; на самом же деле первый русский пост на берегу бухты Лососей был основан в 1853-54 гг.»; ДЕНЬ НЕ УСТАНОВЛЕН",katorga,айны
post-rykovskoye,Рыковское (Тымовский округ),142.727,50.7069,1878-01-01,,10,"Чехов А. П. Остров Сахалин, глава X","«Рыковское, или Рыково, основано в 1878 г.; место для него довольно удачно выбрал и указал смотритель тюрьмы унтер-офицер Рыков»; ДЕНЬ НЕ УСТАНОВЛЕН",katorga,нивхи и орочи долины Тыми
priisk-bodaibo,Бодайбинская резиденция,114.1932,57.8507,1864-01-01,,15,"ВИКИПЕДИЯ, «Бодайбо»; pribaikal.ru, «История Бодайбо»","склад и база Ленского золотопромышленного района на реке с эвенкийским названием Бодайбо; ДНЯ И МЕСЯЦА ИСТОЧНИКИ НЕ ДАЮТ",priisk,эвенки и якуты
priisk-nadezhdinsky,Надеждинский прииск,114.5871,58.1888,1872-01-01,,12,"ВИКИПЕДИЯ, «Ленские золотые прииски»; ВИКИПЕДИЯ, «Апрельск»","центр приискового района, контора Лензото; 4 (17) апреля 1912 года здесь расстреляли рабочих, посёлок потом назвали Апрельском; ДНЯ ОСНОВАНИЯ ИСТОЧНИКИ НЕ ДАЮТ",priisk,эвенки и якуты
priisk-vasilievsky,Васильевский прииск (Соловьёвск),124.4398,54.2209,1867-01-01,,12,"портал правительства Амурской области, раздел истории; NEDRADV, история золотодобычи Приамурья","первый прииск Верхнеамурской золотопромышленной компании, в 1868 году взято более 800 кг золота; ДНЯ И МЕСЯЦА ИСТОЧНИКИ НЕ ДАЮТ",priisk,эвенки
priisk-zeysky-sklad,Зейский Склад,127.2666,53.7500,1879-01-01,,15,"ВИКИПЕДИЯ, «Зея (город)»","перевалочная база Верхнеамурской золотопромышленной компании на Зее; ДНЯ И МЕСЯЦА ИСТОЧНИКИ НЕ ДАЮТ",priisk,эвенки
udinsk,Удинский острог (Верхнеудинск),107.584,51.834,1666-01-01,,15,"Памятники сибирской истории XVIII в., кн. 1-2; разбор MAP-MATERIALS/loop_2026-09-03/D2_hubsugul.md","месяц условный; зимовье 1666, острог 1680",ostrog,"буряты (хори, табангуты)"
tunka,Тункинский острог,102.53,51.73,1676-01-01,,15,разбор MAP-MATERIALS/loop_2026-09-03/D2_hubsugul.md (Памятники сибирской истории XVIII в.),месяц условный,ostrog,буряты (тункинские)
