reg,frm,to,name,why,comment
KORELA_1600,1609-02-28,1617-02-27,Корельский уезд,"уступлен Швеции Выборгским трактатом 28.02.1609 за военную помощь Делагарди против Речи Посполитой; Столбовский мир 27.02.1617 (ПСЗРИ т. I № 19) подтверждает: «преже помянутому городу Корелѣ со всѣми уѣзды, съ землею и людьми... по своимъ прямымъ стариннымъ... рубежемъ и гранемъ» - Швеции. Разбор loop_2026-09-03/C5_baltika_fakt.md",
NOVGOROD_SWED,1611-07-16,1617-02-27,Новгородская земля,"войско шведского фельдмаршала Якоба Делагарди вошло в Новгород 16.07.1611 и держало город шесть лет; Новгород возвращён по Столбовскому миру 27.02.1617. Пруф: Новгородский оккупационный архив (Riksarkivet, Стокгольм); ПСРЛ т. 14; Атлас УІФ, розд. 20. Приближено Новгородской областью; Псков осаду 1615 г. выдержал и рамкой не затронут",
DEULINO_1618,1618-12-01,1654-01-08,"Черниговщина, Новгород-Северщина, Стародубщина","Деулинское перемирие 01.12.1618 на 14,5 лет: Речи Посполитой отошли Смоленск, Дорогобуж, Белая, Рославль, Серпейск, Трубчевск, Стародуб, Почеп, Новгород-Северский и Чернигов - по атласу УІФ (розд. 20) около 80 000 км². Поляновский мир 04.06.1634 их не вернул. Возвращены с Гетманщиной по Переяславской раде 08.01.1654. Пруф: тексты Деулинского и Поляновского договоров; Акты ЮЗР т. 10; Атлас УІФ, розд. 20, 22, 26",
MONGOLIA,,,"Северная Монголия (Хубсугул, Мурэн)","империи не принадлежала никогда: контур источника 1700 г. суёт кусок Северной Монголии в контур России (шум обзорного контура, как с Урянхаем). Единственная попытка присутствия - Косогольский острог 1716-1721/22 гг. по указу Петра I (Памятники сибирской истории XVIII века, кн. 1-2, акты № 28, 44) - сожжён по требованию Канси ещё до Буринского трактата, который отдал озеро монгольской стороне (ПСЗРИ т. VII № 5143). Разбор - MAP-MATERIALS/loop_2026-09-03/D2_hubsugul.md",
TUVA,,1914-04-04,Урянхайский край,источник рисует Урянхай внутри Московского царства в срезах 1650 и 1700 - шум обзорного контура; протекторат объявлен 04.04.1914,
DAGESTAN_COAST,1735-03-10,1796-05-10,приморский Дагестан между Гянджой и Зубовым,"контур источника 1783 г. красил берег Дагестана (кусок 5,4 тыс. км² у 47,7° в. д., 41,7° с. ш.); Персия вернула провинции по Гянджинскому трактату 1735, империя вернулась в Дербент только с Зубовым 1796 и Глазенапом 1806 (разбор D3_dagestan.md)","Западная Грузия вычитается по частям, каждая до своей даты: источник
держит их внутри империи с 1783 года, хотя Георгиевский трактат 1783
касался только Картли-Кахети"
DAGESTAN_COAST,1797-02-16,1806-06-23,приморский Дагестан после ухода Зубова,войска отозваны Павлом I; разбор D3_dagestan.md,
KARACHAY,,1828-10-20,Карачай,"источник держит верховья Кубани и Теберды внутри империи с контура 1783 года, хотя карачаевцы приведены в подданство только в 1828-м. Пруф - АКАК т. 7: «Въ первый годъ войны съ Турцiею ген. Эмануель привелъ въ подданство Россiи Карачаевцевъ, обитающихъ на сѣверо-восточномъ склонѣ Кавказскихъ горъ, близь верховьевъ рр. Кубани и Теберды, у подошвы Эльбруса». АКАК даёт ГОД; день 20 октября взят по описанию Хасаукинского сражения в литературе и при появлении документа подлежит проверке",
UA_ZAPOROZHYE,,1775-05-04,Вольности Войска Запорожского,"источник красит Запорожье с контура 1700 года, а Сечь стояла до 4 мая 1775-го. Империя сама признаёт, что присяги не было: манифест об уничтожении Сечи (ПСЗРИ, собр. 1-е, т. XX, № 14354) вспоминает переговоры времён Хмельницкого — «на вопросъ Министровъ Царскихъ, что еще Запорожцы на вѣрность къ присягѣ не приведены?». Андрусовское перемирие 1667 года держит Запорожье «въ послушаніи, подъ обороною и подъ высокою рукою обоихъ Великихъ Государей нашихъ», а Прутский договор 1711 года признаёт запорожцев под крымской рукой. Геометрия — одиннадцать районов OpenStreetMap, приближение земель восьми паланок","Ногайская степь: до 1 октября 1783 года империя её не держала, хотя
источник красит Прикубанье с контура 1783-го. Ногайские орды кочевали
здесь и подчиняться не собирались: 30-31 июля 1783 года, когда их гнали
на переселение в уральские степи, они «открыли бунт» и повернули назад.
Кончилось это не договором, а истреблением - см. RESIST ниже
--- УКРАИНА: что контур источника красит раньше срока (02.09.2026) -----"
GALICIA_AUSTRIA,1815-01-01,1880-01-01,Австрийская Галиция: прямая линия контура источника,"контур источника world_1815 проводит российско-австрийскую границу прямой - отрезок 285 км от Сокаля до Кракова и ещё 140 км до Тернополя, - и красное заходит в австрийскую Галицию: Подкарпатское воеводство на 49 %, Тернопольская область на 29 %, Львовская на 23 %, Малопольское на 28 %. Вычитаем австрийскую сторону, взятую из world_1880: граница с 1815 по 1914 год не двигалась, а в файле 1880 года источник рисует её по-настоящему. Плюс галицкие области Natural Earth - по Збручу world_1880 тоже мажет. Единицы, целиком имперские в это время, из вычитания исключены. Окно кончается 1880 годом: дальше срезы опираются уже на world_1880 и прямой не имеют",
RP_1667,1667-02-09,1704-01-01,Земля Речи Посполитой после Андрусова,"контур OpenHistoricalMap 1667-1773 (relation 2692682): что в нём лежит, польское - Белая Церковь, Фастов, Черкассы, Гомель, Орша, Полоцк. Киев с округой 1686 года в контур не входит. Окно 1704-1711 не вычитается: правый берег тогда под царской рукой (UA_KYIV_RIGHT)",
RP_1667,1711-07-12,1772-07-25,Земля Речи Посполитой до первого раздела,тот же контур 1667-1773 (relation 2692682) от Прутского договора до конвенции первого раздела,
RP_1773,1772-07-25,1793-01-12,Земля Речи Посполитой после первого раздела,"контур OpenHistoricalMap 1773-1793 (relation 2692511). Земли первого раздела в нём не лежат и не режутся; режутся приближения нынешними областями: запад Витебщины и Могилёвщины (3,5 град²), правобережье Киевщины, запад Кировоградщины, курляндские края в Лифляндии, и правобережье у Черкасс, которое красит контур источника 1783 года",
RP_1793,1793-01-12,1795-10-13,Земля Речи Посполитой после второго раздела,"контур OpenHistoricalMap 1793-1795 (relation 2692510). Черта трактата 1793 года шла от Пинска «чрезъ Куневъ между Вышгрода и Новогробли близь границы Галлиціи» (ПСЗРИ, т. XXIII, № 17141): Ровно и Дубно западнее неё и вошли третьим разделом, как и северо-запад Минщины (Вилейка, Молодечно) и Браслав",
PL_KINGDOM,1795-10-13,1813-01-27,Земля будущего Царства Польского,"по третьему разделу - Пруссия (Новая Восточная и Южная Пруссия, с Сувалкией за Неманом), с 1807 - Варшавское герцогство. Красили её контур источника 1800 года (1,14 град² в границах Царства) и строка LITHUANIA - вся нынешняя Литва с Сувалкией (BACKLOG Б6 п. 6)",
BIALYSTOK,,1807-07-09,Белостокская область до Тильзита,"контур источника красит Подляшье с 1800 года, разрезая воеводство прямой линией. По третьему разделу 1795 года Белосток отошёл Пруссии и стал российским только по Тильзитскому миру 1807 года",
UA_SLOBODA,,1656-03-28,Слободская Украина до воеводства,"контур источника красит Харьковщину с 1600 года — до всякого поселения. Первые переселенцы приходят в 1654-м, управление империи появляется с указа 28 марта 1656 года об учреждении Харьковского воеводства",
UA_WILD_FIELD,,1681-01-01,Дикое поле: юг Харьковщины,"источник красит эту степь с контура 1600 года — за полвека до первых слободских городов. Слободские полки подчинялись не гетману, а воеводе Белгородского разряда, и до Изюмской черты 1680-х годов управления империи здесь не было. Дата условная: взят 1681 год, когда поставлен Изюм и учреждён Изюмский полк; при появлении документа уточнить",
UA_LUGANSK_STEPPE,,1753-01-01,Луганская степь,"то же самое восточнее: контур источника красит Луганщину с 1600 года, а первым поселением империи здесь стала Славяносербия 1753 года (ПСЗРИ, собр. 1-е, тома XIII и XIV). Дата условная — год учреждения поселения; день не установлен",
UA_KIROVOHRAD_STEPPE,,1752-01-01,Степь между Гетманщиной и Запорожьем,"контур источника ведёт здесь прямые отрезки в 90-156 км на срезах 1700 и 1715 годов. До Новой Сербии 1752 года ни поселений империи, ни её управления тут не было: определение Сената и Военной коллегии (ПСЗРИ, собр. 1-е, т. XIII) велит селить сербов «въ Заднепрскихъ мѣстахъ, а именно: начавъ отъ устья рѣки Каварлыка прямою линіею до верховья рѣки Тура…», а живших там людей — «выслать въ прежнія ихъ мѣста; понеже они поселились собою, безъ указа». Дата условная: год поселения, дня нет",
UA_OCHAKOV,,1791-12-29,Междуречье Буга и Днестра,"источник красит всё Причерноморье контуром 1783 года, а Очаковская область получена Ясским миром: акт № 17008 в своде датирован 29 декабря 1791 года (ратификации разменяны в Яссах 29 января 1792-го). Указ о новой земле: «Новопріобрѣтенную къ Россійской Имперіи отъ Порты Оттоманской землю, между рѣкъ Буга и Днѣстра лежащую… присоединить къ Губерніи Екатеринославской, возлагая попеченіе о заселеніи ея приходящими изъ-за границъ жителями»",
UA_BUDJAK,,1812-05-28,Буджак,"юг нынешней Одесской области с Измаилом, Килией и Аккерманом вошёл в империю по Бухарестскому миру 16 (28) мая 1812 года вместе с Бессарабией, а не в 1783-м, как красит контур источника. Том XXXII свода на диске отсутствует — текст акта подлежит сверке",
UA_KYIV_RIGHT,,1654-01-08,Правобережная Киевщина до присяги,до Переяславской рады правый берег — Речь Посполитая,
UA_KYIV_RIGHT,1667-01-30,1704-01-01,Правобережная Киевщина после Андрусова,"Андрусовское перемирие 1667 года вернуло правый берег Речи Посполитой: царь отпускает правобережных казаков «отъ присяги, себѣ на подданство учиненной» и обещает «до мѣстъ и городовъ, тамъ будущихъ, вступатися во все время сего перемирья не будетъ и не велитъ»",
UA_KYIV_RIGHT,1711-07-12,1793-01-12,Правобережная Киевщина до второго раздела,"источник красит Киевщину целиком контуром 1783 года. По документам она разделена: левый берег с 1654-го, узкая полоса вокруг Киева с 1686-го («Вечный мир» называет её поимённо: Стайки, Треполье, Васильковъ, Вышгородъ, мѣстечко Демидовка), а правый берег — только со второго раздела 1793 года",
UA_CRIMEA,,1783-07-09,Крымское ханство,"манифест о принятии Крыма подписан 8 апреля 1783 года, но по правилу проекта «контроль, а не акт» земля краснеет днём присяги — 28 июня (9 июля) 1783 года у скалы Ак-Кая под Карасубазаром, где манифест и был обнародован. Сам манифест (ПСЗРИ, собр. 1-е, т. XXI): «рѣшились Мы взять подъ державу Нашу полуостровъ Крымскій, островъ Таманъ и всю Кубанскую сторону… Возвѣщая жителямъ тѣхъ мѣстъ силою сего Нашего Императорскаго манифеста таковую бытія ихъ перемену». Даты присяги в своде нет — она из описаний",
NOGAI_STEPPE,,1783-10-01,Ногайская степь (Прикубанье),"источник держит Прикубанье внутри империи с контура 1783 года, хотя ногайские орды кочевали здесь сами по себе. Подчинены они были не договором, а истреблением: в ночь на 1 октября 1783 года войска Суворова с донскими казаками перешли Кубань и разорили аулы на Лабе. Пруф - собственный рапорт Суворова П. С. Потёмкину от 03.10.1783 (ЦГВИА, ф. 52, д. 296, л. 337): аулы «найденные при урочищах, по правую - Керменчик и по левую сторонам Лабы - Сарычигер... достойно наказаны. Просившие пощады взяты и яко пленные розданы по рукам для пропитания». В подробном рапорте: «на рассвете ударили на бунтовщиков... открылась полная победа! Побоище было по обеим сторонам Лабы». Публикация: Суворов А. В. Документы, т. 2 (М., 1951), док. № 254",
GEO_MEGRELIA,,1857-10-24,Мегрелия,источник держит Мегрелию внутри империи с 1783 года; до «Положения» 24.10.1857 страной правил дом Дадиани (22.09.2026),
GEO_LECHKHUMI,,1857-10-24,Лечхуми и Нижняя Сванетия,земли дома Дадиани до «Положения» 24.10.1857 (22.09.2026),
GEO_SVANETI_UPPER,,1858-06-30,Верхняя Сванетия,до единого пристава 1858 года правили князья Дадешкелиани и общества Вольной Сванетии (22.09.2026),
GEO_POTI,,1828-07-15,Поти,турецкая крепость до взятия 14-15.07.1828; российский гарнизон 1809-1812 - точка (22.09.2026),
GEO_SAMURZAKANO,,1840-01-01,Самурзакано,до приставства 1840 года - в Мегрельском владении (22.09.2026),
GEO_ABKHAZIA,,1864-07-12,Абхазия,источник держит Абхазию внутри империи с 1783 года; до 1864 года внутренним управлением ведал дом Шервашидзе (22.09.2026),
GEO_IMERETI,,1810-02-20,Имеретия,"источник держит Имеретию внутри империи с 1783 года, хотя царь Соломон II низложен 20.02.1810",
GEO_RACHA,,1810-02-20,Рача,уезд Имеретинского царства до его низложения (22.09.2026),
GEO_GURIA,,1828-10-02,Гурия,источник держит Гурию внутри империи с 1783 года; до бегства правительницы 02.10.1828 правил дом Гуриели (22.09.2026),
DON_HOST,,1775-02-14,Земля Войска Донского,"контур источника красит землю Войска с 1700 года (Волгоградская область целиком, Ростовская на 73-78 %), а до 14.02.1775 ею правил войсковой круг: у империи были только точки - Азов 1696-1711, укрепление с гарнизоном у Черкасска не позже 1727, крепости Св. Анны и Св. Димитрия, заставы с 1749. 14.02.1775 войсковое правление заменено государственным Войсковым гражданским правительством под Потёмкиным, Черкасск и «все жилища вѣрнаго Нашего войска Донского» включены в Азовскую губернию (ПСЗРИ, т. XX). Тот же случай и тот же год, что у Запорожья. Граница земли - линия 1786 года (Сухоруков), районами OSM; Азов и Таганрог (регион AZOV) из вычитания исключены",
KALMYK_KHANATE,,1771-01-26,Кочевья Калмыцкого ханства,"контур источника красит калмыцкие степи с 1700 года, а внутри ханства правили хан или наместник, суд Зарго и свои нойоны; подати шли им, не в казну; крепости Царицынской линии (1718-1720) и Енотаевск (1742) стояли на краю степи. Россия утверждала ханов и держала внешнюю политику (с 1715 - представитель с отрядом при ставке), но это власть над престолом, не над землёй. 26.01.1771, после исхода улусов левобережья 05.01.1771, калмыцкие дела переведены в Астрахань, в улусы посланы приставы; 19.10.1771 ханство упразднено. Геометрия - Калмыкия и степные районы Астраханской и Волгоградской областей; Астрахань с дельтой и Царицын с линией не вычитаются",
MEMELLAND,1795-10-13,1920-01-10,Мемельский край,"строка третьего раздела LITHUANIA - вся нынешняя Литва, с Клайпедским уездом, и контур CShapes 1886-1914 тоже держит Мемель: край был красным на 0,35 из 0,46 град² во всех срезах 1800-1914 годов. Мемель, Хайдекруг и заречье Тильзита - прусские до Версаля, с 10.01.1920 под Антантой, с 1923 года литовские (найдено 19.09.2026 розыском якорей Первой мировой)",
GEO_SAMTSKHE,,1828-08-16,Ахалцихский пашалык,"контур источника 1800 года заходит на османский пашалык: кусок у Адигени около 1100 км² был красным с 1800 года до Адрианопольского мира, а в 1800-1810 годах висел отдельным островом (найдено проверкой 22.09.2026). Пашалык османский до взятия Ахалкалаки и Ахалциха войсками Паскевича летом 1828 года",
GEO_AJARIA,,1878-08-25,Аджария (Батум),"источник держит Батум внутри империи с 1783 года, хотя Батум сдан только 25.08.1878 (22.09.2026)",
AMUR_LEFT,,1858-05-16,Приамурье,"источник держит левобережье Амура внутри империи с 1815 года, хотя граница по Амуру установлена Айгунским договором 16.05.1858. СЕВЕРНЫЙ КРАЙ ВЫЧИТАНИЯ - ПРЯМАЯ ПО 54,5 ГРАДУСА С. Ш., по устью Уды (07.09.2026, куратор: «делай как по факту было»; прежняя линия по 51,5 оставляла красными низовья Амура с Николаевском). Нерчинский договор 1689 года (ПСЗРИ, собрание первое, № 1346) провёл границу по Горбице и далее «по самым тех гор вершинам, даже до моря», а всем рекам, которые «с полудневные стороны с их гор впадают в реку Амур, быти под владением Хинского государства» - весь амурский бассейн до 1858 года цинский. Земли «меж тою вышепомянутою рекою Удью и меж горами» договор оставил неразграниченными «до иного благополучного времени»; управления империи там не было, и по правилу «контроль, а не акт» они тоже не красные. Севернее Уды - охотское побережье, российское с XVII века (Охотск 1647), оно остаётся. Удской острог 1679 года показан точкой",
PRIMORYE,,1860-11-02,Приморье,"источник держит Приморье внутри империи с 1815 года, хотя Уссурийский край получен по Пекинскому трактату 02.11.1860",
BASHKIRIA,,1740-01-01,Башкирские земли,"ПОДДАНСТВО 1554-1557 ГОДОВ БЫЛО СЛОВАМИ (правка 28.08.2026 по итогам аудита). После него башкиры воевали с империей почти двести лет: 1662-1664, 1681-1684 (Сеитовское), 1704-1711 (в эти годы у Башкирской орды был свой хан), 1735-1740. Последняя война и решила дело: указ о посылке войск 16.02.1736, кампании Кирилова, Татищева и Урусова, по подсчётам историков 45-60 тысяч убитых и пленных башкир и 1175 сожжённых селений. Только после этого империя завела здесь управление: Оренбургская экспедиция, Оренбургская губерния, сам Оренбург заложен в 1743 году. Красное приходит 1740 годом. Уфа до того - точка, как Якутск до 1684-го. Разбор - data/crosscheck/control_vs_act.csv",
CHEREMIS_LAND,,1585-01-01,"Черемисские земли: Марий Эл, Чувашия, Удмуртия, Мордовия","КАЗАНЬ ВЗЯЛИ В 1552-м, А ЛЕСНУЮ ЗЕМЛЮ - НЕТ (правка 28.08.2026). За взятием Казани пошли три черемисские войны подряд: 1552-1557, 1571-1574, 1581-1585 - марийцы, чуваши, эрзя, мокша и татары против царской администрации. Весной 1585 года, по летописному выражению, «черемиса добила челом... вековым миром»; тогда же поставлены Козьмодемьянск, Царевококшайск и Царевосанчурск - то есть управление на этой земле завелось только теперь. Татарстан и Ульяновская область в вычитание НЕ входят: сама Казань взята и удержана с 1552 года. Разбор - data/crosscheck/control_vs_act.csv",
KZ_YOUNGER,,1824-01-01,Младший жуз,"ПРИСЯГА ХАНА - НЕ УПРАВЛЕНИЕ СТЕПЬЮ (правка 28.08.2026). Абулхаир присягнул 19.02.1731, но степь этим имперской не стала: в 1783-1797 годах здесь четырнадцать лет шла война Срыма Датова. Управление появилось Уставом об оренбургских киргизах 1824 года - ханская власть упразднена, заведено окружное управление. Это ровно тот же признак, по которому карта уже датирует Средний жуз Уставом о сибирских киргизах 22.06.1822: оставлять Младший жуз на присяге 1731 года было непоследовательно. Разбор - data/crosscheck/control_vs_act.csv",
KABARDA,,1822-01-01,Кабарда,"ЕРМОЛОВСКАЯ ЛИНИЯ, А НЕ КОНТУР 1783 ГОДА (правка 28.08.2026). До этой правки Кабарда краснела просто потому, что её держал внутри себя контур источника на 1783 год, своей строки у неё не было вовсе. С 1806 по 1822 год в Кабарде работали шариатские суды - мехкеме, то есть своя юрисдикция. В 1822 году Ермолов построил укрепления по Малке, Баксану, Чегему, Нальчику, Урвани, Череку и Уруху, закрыв выходы с гор на равнину, распустил мехкеме и учредил в Нальчике Временный суд под своим надзором. Разбор - data/crosscheck/control_vs_act.csv",
INGUSHETIA,,1858-07-01,Ингушетия,"ТА ЖЕ ВОЙНА, ЧТО В ЧЕЧНЕ, НО СВОЕЙ СТРОКИ НЕ БЫЛО (правка 28.08.2026). Земля краснела контуром источника с 1783 года - за год до Владикавказской крепости и за двадцать семь лет до Назрановского укрепления, которые по нашему же правилу остаются точками. В мае-июне 1858 года около пяти тысяч повстанцев осадили Назрановское укрепление и звали на помощь имама Шамиля; восстание подавил Барятинский, руководителей казнили и сослали. Красное приходит после этого - на год раньше чеченской даты 19.08.1859. Месяц взят по подавлению, точный день не выверен. Разбор - data/crosscheck/control_vs_act.csv",
YAKUTIA,,1684-01-01,Якутия,"ОСТРОГ - НЕ ЗАХВАТ (решение куратора 28.08.2026). Ленский острог, позже Якутск, поставлен Петром Бекетовым 25.09.1632, и сам источник называет эту дату УСЛОВНОЙ датой вхождения. Якуты подняли СЕМЬ антиколониальных восстаний: 1633-1634, 1636-1637, 1639-1640, 1642, 1675-1676, 1681-1682 и 1683-1684. В 1642 году восстали якуты и тунгусоязычные народы по Лене, воевода Пётр Головин жёг поселения и убил сотни людей. Население якутов упало на 70 процентов между 1642 и 1682 годами, главная причина - оспа и другие завозные болезни. Красное приходит после последнего восстания. До того на месте Якутска стоит острог точкой. Разбор - data/crosscheck/siberia_control_vs_act.md",
YAKUTIA_ARCTIC,,1822-01-01,"Арктическая Якутия: Яна, Индигирка, Алазея, Колыма, Оленёк и Анабар","ВТОРАЯ СТУПЕНЬ ЗАХВАТА ЯКУТИИ (правка 28.08.2026 по вопросу куратора «я не вижу как земли захватываются»). Красное по всей республике приходило одной датой 1684 года - после последнего якутского восстания. Но восстания шли в Ленско-Амгинском междуречье, вокруг Якутска, а тундра и лесотундра севера жили иначе: там стояли ясачные зимовья, куда кочевники приходили сами, и юкагиры дрались с империей до конца XVII века - восстание Пелевы 1645, побег аманатов на Алазее 1649, уничтожение отряда Фёдора Чюкичёва ходынцами 1661, восстание омолоевских и хромовских юкагиров 1663-1664, последнее восстание Канивы 1681-1684 с осадой Анадырского острога. Управление на самой земле завелось не тогда: в 1805 году из Жиганского и Зашиверского комиссарств собрано Верхоянское комиссарство, и только по Учреждению для управления Сибирских губерний 1822 года Якутская область разделена на пять округов - Якутский, Вилюйский, Олёкминский, Верхоянский и Среднеколымский, - то есть на севере появились свои окружные центры с постоянной администрацией. Красное здесь приходит 1822 годом. Геометрия - тринадцать современных улусов OpenStreetMap (data/sakha/arctic_uluses.geojson, 1,5 млн км²): Анабарский, Оленёкский, Булунский, Жиганский, Усть-Янский, Верхоянский, Эвено-Бытантайский, Аллаиховский, Абыйский, Момский, Верхнеколымский, Среднеколымский, Нижнеколымский. Якутск, Вилюйск и Олёкма в группу не входят - там красное с 1684 года. Разбор - data/crosscheck/siberia_control_vs_act.md",
BURYAT_LAND,,1727-08-20,Бурятия и Забайкалье,"Сеть острогов в Прибайкалье стоит с середины XVII века, но контроля не даёт: в 1658 году буряты балаганской степи восстали против Ивана Похабова, и почти всё население, подчинённое Балаганскому острогу, откочевало в Халху - одну часть казаки подавили силой, другая ушла. Нерчинский договор 1689 года провёл первую границу, а Буринский договор 20.08.1727 разделил бурятские земли между империей и Цинами. Разбор - data/crosscheck/siberia_control_vs_act.md",
KHAKASSIA,,1757-01-01,Хакасия (Хонгорай),"Полтора века войны за Средний Енисей. 1608 - первые ясачные сборщики; 1667 - кыргызы с ойратами осадили Красноярский острог; 1687 - Еренак Ишеев погиб в бою у Телецкого озера; 1692 - красноярские казаки ударили по тубинцам, погибло около 500 воинов. ПЕРЕЛОМ НЕ ЗА ИМПЕРИЕЙ: в 1703 году джунгарский хунтайджи Цэван-Рабдан увёл кыргызов Хонгорая на Эмель - около 15 тысяч человек, осталось 600 «луков». Только после этого поставлены Абаканский острог (1707) и Саянский (1718). Год фактического закрепления источник называет прямо: 1757, клятва хонгорцев о «вечном подданстве Белого царя». Разбор - data/crosscheck/siberia_control_vs_act.md",
ALTAI_MTN,,1756-09-30,Горный Алтай,"Алтай держали телеуты и Джунгария. В 1755 году Джунгарию захватили Цины и их войска вторглись в Горный Алтай; с осени 1755 года алтайские зайсаны просят принять их в подданство, спасаясь от разорения. 02.05.1756 Елизавета Петровна подписала указ о принятии; с 01.06.1756 в крепостях Колывано-Кузнецкой линии шёл приём, 21.06.1756 в Бийскую крепость приехали зайсаны Буктуш, Бурут, Черен, Номык и демичи Менгош Сергеков; к концу сентября 1756 года присягнуло большинство кочевого населения. Разбор - data/crosscheck/siberia_control_vs_act.md",
KAMCHATKA,,1748-01-01,Камчатка,"ОСТРОГ - НЕ ЗАХВАТ. Атласов 1697-1699, Верхне-Камчатский острог 1697, Нижне-Камчатский 1703. Дальше полвека войны: 1700 коряки уничтожили отряд Потапа Сюрюкова, 1705 убит отряд Фёдора Протопопова, 1708 из семнадцати человек отряда Петра Чирикова убиты семеро, 06.08.1714 казаки штурмом заняли корякскую крепость Большой Посад, 1731-1732 восстание ительменов Фёдора Харчина. ПОСЛЕДНЕЕ ВЫСТУПЛЕНИЕ - 1746 год, и оно оказалось не ительменским, а корякским: восстали карагинцы и укинцы восточного побережья. В середине марта 1746 убиты ясачные сборщики в Ентанском острожке (пять казаков и шесть новокрещенных), 26.04.1746 налёт на Столбовской острожек - девятнадцать убитых, двадцать пленных; 18.05.1746 братья Алексей и Иван Лазуковы явились с повинной в Нижнекамчатск, и активных действий больше не было; к 1748 году участников переловили и выслали в Охотск. Разбор - data/crosscheck/siberia_control_vs_act.md",
BARABA,,1755-01-01,Барабинская степь,"ДВОЕДАНСТВО. Барабинские татары платили ясак и Русскому царству, и джунгарскому контайше - это прямо записано в документе 1731 года. Пока народ платит дань двум державам, ни одна из них им не распоряжается. Двоеданство кончилось с самим Джунгарским ханством, разгромленным Цинами в 1755 году. ОГОВОРКА: точной даты последней выплаты джунгарам источник не даёт, 1755 год взят по гибели Джунгарии. Разбор - data/crosscheck/siberia_control_vs_act.md",
