reg,frm,to,kind,name,act,src,clip,comment
ALASKA,1799-07-08,1867-10-18,территория,Русская Америка,привилегии Российско-Американской компании 08.07.1799,ПСЗРИ т. 25 № 19030; геометрия - западное полушарие среза источника 1815 г. (не приближение),,
GEO_EAST,1801-09-12,,территория,Картли-Кахети (Восточная Грузия),манифест Александра I 12.09.1801 об упразднении царства,ПСЗРИ т. 26 № 20007; Георгиевский трактат 1783,,
FINLAND,1809-09-05,,территория,Великое княжество Финляндское,Фридрихсгамский мир 05.09.1809,ПСЗРИ т. 30 № 23883; Боргоский сейм 1809,,
MOLDOVA,1812-05-16,,территория,Бессарабия,Бухарестский мир 16.05.1812,"ПСЗРИ т. 32 № 25110; приближена современной Молдовой, включая Приднестровье (российское с 1792) - историческая Бессарабия только между Прутом и Днестром",,
AZ_GANJA,1804-01-03,,территория,Гянджинское ханство,"штурм Гянджи в ночь на 03.01.1804; ханство упразднено, город переименован в Елисаветполь",АКАК т. 2 (рапорты кн. Цицианова о взятии Гянджи),,"ХАНСТВА ПО ОДНОМУ, А НЕ РАЗОМ ПО ГЮЛИСТАНУ (правка 01.09.2026).
Гюлистанский мир 12.10.1813 закрепил то, что империя забрала за девять
лет до него. Даты - по фактическому взятию: штурм, трактат с ханом или
занятие войсками. Где день по нашим источникам не установлен, стоит
1 января и это сказано прямо в акте."
AZ_KARABAKH,1805-05-14,,территория,Карабахское ханство,Кюрекчайский трактат с Ибрагим-ханом 14.05.1805 о вступлении в подданство,АКАК т. 2 № 1436 (всеподданнейший рапорт кн. Цицианова 22.05.1805 о заключении трактата на р. Курак-чай),,
AZ_SHEKI,1805-05-21,,территория,Шекинское ханство,трактат с Селим-ханом Шекинским 21.05.1805 «о вступлении со всем его владением в вечное подданство»,АКАК т. 2 (переписка кн. Цицианова с Селим-ханом),,
AZ_SHIRVAN,1805-12-25,,территория,Ширванское ханство,трактат с Мустафа-ханом Ширванским 25.12.1805,"АКАК т. 2 (переговоры кн. Цицианова с Мустафа-ханом, октябрь-декабрь 1805)",,
AZ_BAKU,1806-10-03,,территория,Бакинское ханство,занятие Баку войсками генерала Булгакова 03.10.1806; ханство упразднено,АКАК т. 3 (донесения о занятии Баку),,
AZ_QUBA,1806-01-01,,территория,Кубинское ханство,"занято в 1806 году в ходе похода на прикаспийские ханства; ДЕНЬ ПО НАШИМ ИСТОЧНИКАМ НЕ УСТАНОВЛЕН, стоит 1 января",АКАК т. 3,,
RP_P1,1772-07-25,,территория,Первый раздел Речи Посполитой: земли по контуру OHM,"конвенция о разделе 25.07.1772; земли, которые контур OpenHistoricalMap 1667-1773 держит, а 1773-1793 - уже нет","ПСЗРИ т. 19 № 13850; OpenHistoricalMap, relations 2692682 и 2692511",,
RP92_P2_SOUTH,1792-05-07,1793-01-12,оккупация,Речь Посполитая: юг Брацлавского воеводства,"армия Каховского перешла Днестр у Могилёва и Сорок в ночь на 07/08.05.1792, ольвиопольский корпус Дерфельдена - в те же дни","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,"Речь Посполитая 1792-1796 (пачка 7, 22.09.2026): оккупация по дням
документов. Земли второго раздела - до конвенции 12.01.1793 (дальше RP_P2),
остаток - до восстания 1794 года и с возврата до третьего раздела 13.10.1795
(дальше RP_P3) или до ухода войск 29.12.1795"
RP92_P2_KIEV,1792-05-11,1793-01-12,оккупация,Речь Посполитая: Киевское воеводство (правобережье),васильковский корпус Леванидова перешёл границу 11.05.1792,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_P2_VITEBSK,1792-05-11,1793-01-12,оккупация,Речь Посполитая: Полоцкое воеводство,армия Кречетникова вступила в Великое княжество Литовское 11.05.1792 - корпуса от Полоцка и Динабурга,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_P2_GOMEL_MOGILEV,1792-05-12,1793-01-12,оккупация,Речь Посполитая: восток Минского воеводства,авангард рогачёвского корпуса (Кнорринг) перешёл границу 12.05.1792,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_P2_VINNYTSIA,1792-05-20,1793-01-12,оккупация,Речь Посполитая: Брацлавское воеводство (Винница),корпус Кутузова и генерал-майор Морков вступили в Винницу 20.05.1792; ставка Каховского «при местечке Винницы»,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_P2_MINSK,1792-05-23,1793-01-12,оккупация,Речь Посполитая: Минское воеводство,"«городъ Минскъ ... занятъ безъ всякой потери» - донесение Кречетникова, 23.05.1792","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_P2_ZHYTOMYR,1792-05-27,1793-01-12,оккупация,Речь Посполитая: Киевское воеводство (Житомир),отряд корпуса Леванидова в Житомире не позднее 27.05.1792,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_P2_KHMELNYTSKYI,1792-06-06,1793-01-12,оккупация,Речь Посполитая: Подолия и восточная Волынь,"корпуса Дунина и Леванидова заняли укрепление Полонное 06.06.1792, Каховский в Заславе 09.06 (Каменец-Подольский держал польский гарнизон до 21.04.1793)","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_WILNO,1792-06-03,1794-04-11,оккупация,Речь Посполитая: Виленское воеводство,генерал-майор Денисов занял Вильну 03.06.1792; гарнизон Арсеньева взят в плен восставшими Ясинского в ночь на 11/12.04.1794,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_WILNO,1794-08-01,1795-10-13,оккупация,Речь Посполитая: Виленское воеводство,Вильна взята штурмом войск Кнорринга 01.08.1794; дальше - третий раздел,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_TROKI_LT,1792-06-09,1794-04-21,оккупация,Речь Посполитая: Трокское воеводство (Ковно),отряд Хрущова занял Ковно 09.06.1792 с приказом оставить гарнизон; команду Герцберга Цицианов стянул к Гродно не позднее 21.04.1794,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_TROKI_LT,1794-08-31,1795-10-13,оккупация,Речь Посполитая: Трокское воеводство (Ковно),Ковно снова под российскими войсками не позднее 31.08.1794,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_TROKI_BY,1792-06-25,1794-04-29,оккупация,Речь Посполитая: Трокское воеводство (Гродно),"авангард полковника Толстого занял Гродно 25.06.1792; колонна Цицианова ушла из-под Гродно около 29.04.1794, 08.05 - акт восстания в городе","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_TROKI_BY,1794-11-06,1795-10-13,оккупация,Речь Посполитая: Трокское воеводство (Гродно),Гродно - ставка Репнина не позднее 06.11.1794 (повстанцы ушли в конце сентября),"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_TROKI_PL,1792-07-27,1794-04-21,оккупация,"Речь Посполитая: Трокское воеводство (Сувалки, Сейны)",по росписи 27.07.1792 войска Долгорукова стоят в Трокском воеводстве; ковенскую команду Цицианов стянул к Гродно не позднее 21.04.1794; возврат - дня нет,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_ZMUDZ,1792-07-27,1794-04-05,оккупация,Речь Посполитая: Жмудь,по росписи 27.07.1792 войска Долгорукова стоят в Жмуди; 05.04.1794 генералы в Шавлях присягнули акту восстания,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_ZMUDZ,1794-09-01,1795-10-13,оккупация,Речь Посполитая: Жмудь,«Cała Żmudź w ręku Moskwy» - донесение Ясинского 12.09.1794 н. ст.,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
