people,people_ru,date,from_territory,to_territory,decree,people_count,source,confidence,note
latvians_1941,латыши,1941-06-14,latvia,Сибирь,постановление ЦК ВКП(б) и СНК СССР от 14.05.1941 № 1299-526сс,15 500 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 10",высокая,
lithuanians_1941,литовцы,1941-06-14,lithuania,Сибирь,постановление ЦК ВКП(б) и СНК СССР от 14.05.1941 № 1299-526сс,17 500 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 11",высокая,
west_belarus_1941,белорусы и поляки Западной Беларуси,1941-06-20,west_belarus,"Казахстан, Сибирь",постановление ЦК ВКП(б) и СНК СССР от 14.05.1941 № 1299-526сс,около 21 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 12",высокая,в ночь с 19 на 20 июня 1941 г.
volga_germans,немцы Поволжья,1941-08-28,volga_germans,"Казахстан, Сибирь, Алтайский край","указ Президиума Верховного Совета СССР от 28.08.1941: «О переселении немцев, проживающих в районах Поволжья»; постановление СНК СССР и ЦК ВКП(б) от 26.08.1941 № 2060-935сс",около 1 200 000 из примерно 1 500 000 немцев СССР,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 13",высокая,"вместе с депортацией упразднена АССР немцев Поволжья - см. слой ликвидированных автономий, data/peoples/abolished.csv"
crimean_italians,итальянцы Крыма,1942-01-29,crimea,Казахстан,"решение Военного совета Крымского фронта, январь 1942 г.",около 1 500 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 13",средняя,точный номер постановления в нашей выписке не установлен
leningrad_finns,финны и немцы Ленинградской области,1942-03-20,ingermanland,"Сибирь, Якутия, Красноярский край",постановление Военного совета Ленинградского фронта от 26.08.1941 № 196сс и от 20.03.1942 № 00713,около 58 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 14",высокая,вывозили по льду Ладоги из блокадного кольца
karachays,карачаевцы,1943-11-02,karachay,"Казахстан, Киргизия",постановление СНК СССР от 12.10.1943 № 1118-342сс и указ Президиума Верховного Совета СССР от 12.10.1943 об упразднении Карачаевской автономной области,около 69 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 15",высокая,вместе с депортацией упразднена Карачаевская автономная область
kalmyks,калмыки,1943-12-28,kalmyk,"Казахстан, Киргизия, Таджикистан, Иркутская область, Дальний Восток",указ Президиума Верховного Совета СССР от 27.12.1943 и постановление СНК СССР от 28.12.1943 № 1432-425сс; операция «Улусы»,"93 139 человек за первую волну (по атласу 91 919, из них 69 267 в декабре)","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 16",высокая,"РАСХОЖДЕНИЕ С АТЛАСОМ: атлас датирует выселение калмыков 02.11.1943 - это дата выселения карачаевцев. Ставим дату указа и операции, 27-28.12.1943, и оставляем расхождение куратору"
chechens_ingush,чеченцы и ингуши,1944-02-23,chechen_ingush,"Казахстан, Киргизия",постановление ГКО от 31.01.1944 № 5073сс; операция «Чечевица»; указ Президиума Верховного Совета СССР от 07.03.1944 об упразднении Чечено-Ингушской АССР,"более 490 000 человек: 239 768 чеченцев и 78 470 ингушей в Казахстан, 70 097 чеченцев и 2 278 ингушей в Киргизию","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 17",высокая,"вместе с депортацией упразднена Чечено-Ингушская АССР, земли разделены между Ставропольским краем, Дагестаном, Северной Осетией и Грузинской ССР"
balkars,балкарцы,1944-03-08,balkar,"Казахстан, Киргизия",постановление ГКО от 05.03.1944 № 5309сс; указ Президиума Верховного Совета СССР от 08.04.1944 о переименовании Кабардино-Балкарской АССР в Кабардинскую АССР,"около 37 000 человек, в местах поселения осталось 33 000","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 18",высокая,"остальные погибли при перевозке или были возвращены, попав в списки по ошибке вместе с кабардинцами; часть Приэльбрусья передана Грузинской ССР"
crimean_tatars,крымские татары,1944-05-18,crimea,"Узбекистан, Урал, Сибирь",постановление ГКО от 11.05.1944 № 5859сс,около 200 000 человек - почти всё крымскотатарское население,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 19",высокая,"поводом объявили обвинение целого народа в измене и сотрудничестве с немецкой оккупационной администрацией; настоящий мотив - убрать мусульманское население из приграничного региона, важного в отношениях с Турцией"
crimean_others,"болгары, армяне, греки и иностранцы Крыма",1944-06-27,crimea,"Узбекистан, Урал, Сибирь",постановление ГКО от 02.06.1944 № 5984сс,более 43 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 20",высокая,
meskhetian_turks,"турки-месхетинцы, курды и хемшилы",1944-11-15,meskheti,"Казахстан, Киргизия, Узбекистан",постановление ГКО от 31.07.1944 № 6279сс,около 92 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 21",высокая,
oun_families,участники ОУН и их семьи,1947-10-21,west_ukraine,"Кемеровская, Омская, Карагандинская, Челябинская, Красноярская области, Сибирь, Урал",постановление Совета Министров СССР от 10.09.1947 № 3214-1050сс; операция «Запад»,более 25 000 семей (около 77 000 человек) за 21-26 октября 1947 г.,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 22",высокая,"по официальным данным, за 1944-1946 гг. из западных областей УССР вывезено 14 729 семей (36 609 человек), к началу 1948 г. их число превысило 77 000"
forest_brothers_families,участники прибалтийского подполья и их семьи,1948-05-22,baltics,Сибирь,постановление Совета Министров СССР от 21.02.1948 № 417-160сс; операция «Весна»,около 40 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 23",средняя,
greeks_armenians_caucasus,греки и армяне побережья Кавказа,1949-05-29,caucasus_coast,"Казахстан, Южный Казахстан",постановление Совета Министров СССР от 29.05.1949 № 2214-856сс,около 57 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 24",высокая,"первая волна прошла в 1942 г., основная - в 1949 г."
baltic_insurgents,повстанцы прибалтийских республик и их семьи,1949-03-25,baltics,"Иркутская, Омская, Томская, Амурская области, Красноярский и Новосибирский края",постановление Совета Министров СССР от 29.01.1949 № 390-138сс; операция «Прибой»,"29 687 семей (89 874 человека) за трое суток; за месяц 30 630 семей (94 779 человек): 42 149 из Латвии, 31 917 из Литвы, 20 173 из Эстонии","Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 25",высокая,
moldova_insurgents,повстанцы Молдавии и их семьи,1949-07-06,moldova,"Сибирь, Казахстан",постановление Совета Министров СССР от 06.04.1949 № 1290-467сс; операция «Юг»,около 35 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 26",высокая,
kurkuli_1951,"хозяйства, объявленные зажиточными («куркулі»)",1951-04-01,baltics_west_ussr,"Сибирь, Казахстан",постановление Совета Министров СССР от 03.03.1951 № 667-339сс; операция «Север»,около 9 800 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 27",средняя,"атлас прямо пишет, что за словом стояло нелояльное население прибалтийских республик, западных областей БССР и УССР и Молдавии"
east_prussia_germans,немцы Восточной Пруссии,1947-10-15,east_prussia,советская зона оккупации в Германии,постановление Совета Министров СССР от 15.10.1947 № 3547-1169сс,около 100 000 человек,"Атлас російського імперіалізму та колоніалізму (УІФ, 2026), розд. 48, п. 28",средняя,выселение шло в 1947-1949 гг.
